""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g04739"	118.290083910823	-1.08846003746946	0.310536761689553	-3.50509238116422	0.000456448869130833	0.00216490574127567
"CaT2T08g00592"	48.7920653792724	-1.0103372274482	0.352438732238115	-2.86670316009874	0.00414771846694233	0.0141577678005483
"CaT2T04g01385"	84.6315934872636	-1.72905631211931	0.323414977700859	-5.34624686961341	8.97967137961257e-08	1.11147408173476e-06
"CaT2T05g00131"	132.855363452967	-1.03420121134487	0.258976746914315	-3.9934133997252	6.51288723638052e-05	0.000398812677121111
"CaT2T05g02960"	40.6430020630373	-2.05617580896128	0.434842941845849	-4.7285481977311	2.2613094963905e-06	1.96252108709888e-05
"CaT2T05g02961"	84.1323110015074	-2.23071662087595	0.376074519050859	-5.93158139643669	3.00030758850494e-09	5.08655870290552e-08
"CaT2T03g03176"	41.292981541041	-1.1230615137294	0.371846187204414	-3.02023135472416	0.002525816678847	0.00930683145624869
"CaT2T03g03177"	44.739301394692	-1.51115822940614	0.388862188958365	-3.88610225502778	0.000101866611798451	0.000590032390162059
"CaT2T02g03432"	41.24447350179	-1.06150809156872	0.41596670277339	-2.5519064013809	0.0107135295774236	0.0310636316994707
"CaT2T02g03436"	97.3841298308391	-1.07308979108663	0.308558703533422	-3.47774922177943	0.000505642750693529	0.00236566584535479
"CaT2T09g01377"	65.1247184675175	-1.83632189014988	0.361112365991455	-5.08518140913883	3.67274853480476e-07	3.89549676125007e-06
"CaT2T07g03178"	171.373314048298	-1.64645825604575	0.240583620127438	-6.84360080363579	7.72269367340648e-12	2.232576454473e-10
"CaT2T03g00089"	56.6924905847078	-1.89254133236647	0.41632336414521	-4.54584463750241	5.47153865998856e-06	4.34528873300989e-05
"CaT2T03g00086"	168.467552992535	-1.658694072693	0.304409937668022	-5.44888279732151	5.06871995872835e-08	6.62780623116182e-07
"CaT2T03g00081"	710.613858534567	-3.98946123686676	0.249088817810249	-16.016219724106	9.84569115734803e-58	3.13806791412575e-54
"CaT2T12g01712"	74.0277713476373	-1.4338339422683	0.334393049707185	-4.28787004850686	1.80394572962467e-05	0.000126489255821971
"CaT2T09g00316"	272.729652915689	-3.00813663082225	0.276718020048319	-10.8707652298791	1.58862768773336e-27	3.43278210015467e-25
"CaT2T12g02197"	135.972655189214	-1.20775256920533	0.258170252015053	-4.67812445383873	2.89510818825017e-06	2.44775938643468e-05
"CaT2T06g02741"	50.5861114366543	-1.20851817503253	0.343627147312933	-3.51694615656184	0.00043654232546896	0.0020836683292414
"CaT2T04g00480"	679.16083992994	-2.52231907707321	0.267444877653715	-9.43117362800675	4.05525736533286e-21	4.03909969926786e-19
"CaT2T10g00438"	124.000253142399	-2.01254649150677	0.344467271617822	-5.84248971478383	5.14263625992519e-09	8.30969197437089e-08
"CaT2T07g00821"	108.594706687878	-1.51566945347261	0.288427266183399	-5.25494511503243	1.4806862124484e-07	1.74144543565541e-06
"CaT2T05g00176"	186.538874057622	-1.10297784999508	0.222516898668119	-4.95682735377396	7.16535937304503e-07	7.06105113794689e-06
"CaT2T05g00172"	134.125235143685	-1.16056346525879	0.258061232459685	-4.49724065175148	6.88410547744519e-06	5.32964653653403e-05
