""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T08g00594"	34.2105586426646	1.48102167943106	0.371977786083998	3.98147882706259	6.84878227846759e-05	0.000417975707363252
"CaT2T05g00137"	106.823937186616	1.2414792076782	0.244940223894065	5.06849870528058	4.00965709938546e-07	4.21774903960934e-06
"CaT2T11g02057"	28.7605336063146	1.29393895773395	0.370432344733156	3.49305069098665	0.000477535850606844	0.00225151795835305
"CaT2T03g02622"	36.9603830774104	1.31234039198448	0.356183138165175	3.68445401077886	0.000229193401144786	0.00119070361499384
"CaT2T03g02625"	50.4628189966865	1.99899107260477	0.333506608738703	5.99385745357432	2.04921013767701e-09	3.63863231827913e-08
"CaT2T03g02629"	24.8572069765846	3.91544149290787	0.473919887279531	8.2618214554867	1.43466189018781e-16	8.20201992735621e-15
"CaT2T07g03171"	14.3538016435592	2.36685043274534	0.570480920560239	4.1488686955928	3.34122378422016e-05	0.000219800113648209
"CaT2T07g03173"	19.9774614610208	1.03801074162475	0.443608995506536	2.33992266193677	0.0192877334599543	0.0496703884451715
"CaT2T01g00290"	18.4525503849733	1.33196031748868	0.495037563336015	2.69062474474202	0.00713183660779527	0.0223823002552274
"CaT2T02g01054"	14.4816339407203	1.75154933380577	0.529854838636167	3.30571546409618	0.00094734235880635	0.00406792446359789
"CaT2T01g03211"	60.552005702327	1.40431896246741	0.316016054677929	4.44382157703549	8.83749022104297e-06	6.69454324587503e-05
"CaT2T01g03217"	70.3565725091746	1.70899129544751	0.357879417799801	4.77532713659306	1.79415352194254e-06	1.59065808423125e-05
"CaT2T08g00620"	20.6384737539912	1.53246788894073	0.421639535682656	3.63454505389204	0.000278471593091605	0.00141240761944753
"CaT2T08g00621"	142.952668303681	1.73056073429775	0.218914659472762	7.90518432372537	2.67537426046457e-15	1.30184528422377e-13
"CaT2T09g02197"	22.3934129338637	1.1254092662006	0.429312820529989	2.62142012160567	0.00875642797080696	0.0263602597874423
"CaT2T04g01387"	21.644349612344	1.580404042513	0.427232611250543	3.69916528114985	0.000216309707280138	0.00113207407968575
"CaT2T07g00468"	42.3237500330404	1.25495490380507	0.371214553214564	3.38067269436954	0.000723086202062237	0.00323233730367863
"CaT2T12g02195"	22.4067860074216	1.40409054202916	0.438448700040882	3.20240553090531	0.00136284992436015	0.00554048905792971
"CaT2T12g02193"	76.5360080140573	2.08470055888336	0.371542808793812	5.61092964132774	2.01242579008153e-08	2.86024709005011e-07
"CaT2T12g02198"	115.625994281634	1.02762518827007	0.249790889239486	4.11394183110031	3.88959487538076e-05	0.000252230137671563
"CaT2T06g01599"	20.9722235147283	1.22447893340959	0.424025263891443	2.88774994718965	0.00388008193040703	0.0133839730873266
"CaT2T06g01627"	119.598624126436	1.11055533935526	0.279571785760435	3.97234412025715	7.11688073333107e-05	0.00043185679423721
"CaT2T07g00706"	13.4970370804144	1.29724199518056	0.511742092179224	2.5349526939563	0.0112462512127713	0.0322779056081993
"CaT2T07g00705"	61.661011233856	1.43996984467621	0.31388226863691	4.58761130703413	4.48346397331698e-06	3.62228657768176e-05
"CaT2T01g02501"	40.3714217623041	2.39773827856098	0.420005665869542	5.70882365026413	1.13759685140669e-08	1.69826958531427e-07
"CaT2T08g01809"	110.07059983848	1.39259935707671	0.235788610023807	5.90613497800468	3.50227057070989e-09	5.86733869986601e-08
"CaT2T08g01805"	482.292061168589	1.71557317760251	0.189262223144786	9.06453041233743	1.25142119760908e-19	9.97148053019887e-18
"CaT2T03g02128"	13.0888471162773	1.53218750750701	0.543572846728856	2.8187344469605	0.00482133872468943	0.016082482313204
