""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T06g03478"	475.72747352325	-1.07162910758937	0.173362117070677	-6.18144912912254	6.35158284621525e-10	4.04139307286839e-07
"CaT2T07g00251"	52.9082077645314	-2.06027077188804	0.383093721225002	-5.37798104677887	7.53257437872197e-08	2.84019901713256e-05
"CaT2T01g05750"	116.147628122139	-1.97173600284862	0.280246010703423	-7.03573263326577	1.98216703905348e-12	1.70718258709462e-09
"CaT2T07g03308"	104.103050300816	-1.4608230039633	0.358934950322665	-4.06988230778334	4.70368935279156e-05	0.00731082587115946
"CaT2T05g02891"	231.393079693812	-1.26180632337185	0.272100865579779	-4.6372741986074	3.53033944500491e-06	0.000835828388834245
"CaT2T03g05057"	150.085255834235	-1.98131186428422	0.36524328035036	-5.42463604637336	5.80727450521261e-08	2.27388300385835e-05
"CaT2T02g01800"	180.901107561687	-1.1241159907324	0.227603092477806	-4.93893109489282	7.85519607869834e-07	0.000228485210511967
"CaT2T08g02606"	1471.08146243132	-1.23922832663693	0.350858517462723	-3.53198872183171	0.00041244694564618	0.038171964819554
"CaT2T01g03698"	1184.40502238905	-1.33629388447683	0.18379183487823	-7.27069233169243	3.57649690499441e-13	3.46766921345672e-10
"CaT2T03g02475"	46.2747967746292	-2.25917956379198	0.547342606611429	-4.12754193900316	3.66661575161064e-05	0.0060249854809336
"CaT2T03g01297"	7494.25268567996	-1.44791140031194	0.314032863117594	-4.61070024945047	4.01314851038464e-06	0.000918109177752153
"CaT2T02g03457"	1558.77784150415	-1.21502273861392	0.198086081113203	-6.13381178417857	8.57980200122761e-10	5.29373783475744e-07
"CaT2T06g03072"	440.957027015887	-1.0273012560298	0.248966533828842	-4.12626243467744	3.68706502055497e-05	0.0060249854809336
"CaT2T02g02342"	424.572332218417	-1.69559856599073	0.248427359531183	-6.82532942100483	8.7723781112212e-12	6.3790853829491e-09
"CaT2T04g01197"	64.883878884569	-2.301916692478	0.406827696807016	-5.65821036902003	1.52959577229244e-08	7.07820443628324e-06
"CaT2T06g03337"	202.159874600317	-1.35728765238327	0.263423058805564	-5.15250129786513	2.57034838047634e-07	8.18188762280337e-05
"CaT2T03g00218"	3901.50467312576	-1.25495258186148	0.135849458723979	-9.23781804984087	2.51574849677103e-20	8.53719252379248e-17
"CaT2T02g01837"	257.278851893712	-1.06501306838906	0.255277400515246	-4.17198336491778	3.01959686907109e-05	0.00534626190010056
"CaT2T06g03499"	4607.64157093539	-1.1158590080359	0.116961139608027	-9.54042523675377	1.42247831169155e-21	7.24077022608792e-18
"CaT2T10g00359"	118.519577365313	-1.11187734019504	0.240746486982123	-4.61845717515125	3.8660374489828e-06	0.000894504414758396
"CaT2T03g00815"	3672.39971377001	-1.21581988502383	0.157846907497767	-7.70252584797095	1.33402622053298e-14	1.69763174226701e-11
"CaT2T09g01045"	1828.67813953548	-1.1125033775577	0.174162349551031	-6.38773753584282	1.68357972176994e-10	1.14264555716526e-07
"CaT2T01g01605"	550.389804970022	-1.65727905566972	0.171592030712778	-9.65825189424898	4.53536774803176e-22	3.07815409058915e-18
"CaT2T07g00942"	292.992868930801	-1.60020600732145	0.233270278223777	-6.85987953332986	6.89186410281728e-12	5.19723129620232e-09
"CaT2T02g02185"	926.396255203178	-2.58226866417683	0.481630749326219	-5.36151121536429	8.2528597695851e-08	3.0552086867004e-05
"CaT2T02g03885"	3047.59838101605	-1.12948447512092	0.179021246180004	-6.30922026978429	2.80444746970308e-10	1.84197919131047e-07
"CaT2T08g02850"	1126.92993738055	-1.08669279162936	0.142703657334648	-7.61503112061803	2.63627942513928e-14	2.98207140973672e-11
"CaT2T09g00420"	4656.96714723789	-1.1359007610581	0.169571289787506	-6.69866203460222	2.10336412181126e-11	1.47677920290342e-08
"CaT2T04g00810"	32.6068212494249	-1.78073406759055	0.46926414383418	-3.79473712404456	0.000147799968195455	0.0173951164880212
"CaT2T03g04406"	107.560498965788	-1.16778729517989	0.300573842047321	-3.88519269416679	0.000102248756056653	0.0134155539517819
"CaT2T09g00670"	5699.44447862635	-1.06113635615202	0.138164055515784	-7.6802635257822	1.5876165675228e-14	1.90149770184304e-11
"CaT2T07g00612"	414.093406298983	-1.00218055825667	0.258033311006831	-3.88391930617879	0.000102786032929521	0.0134155539517819
"CaT2T05g00707"	377.31003715603	-1.20922184324215	0.220464964358841	-5.48487079005421	4.13771737208771e-08	1.68496126826156e-05
"CaT2T01g01421"	231.114440405328	-1.2211018545985	0.252507335379726	-4.83590646094373	1.32540241590248e-06	0.000359820247869204
"CaT2T01g00199"	181.139871397667	-1.21458602992865	0.24759715614572	-4.90549265119112	9.31931300483099e-07	0.000259932235741594
"CaT2T11g00562"	59.9087191178288	-1.9567335728124	0.391975124431578	-4.99198405931999	5.97621885453087e-07	0.000176595809534115
"CaT2T01g05692"	31.9731073048687	-2.14261247568586	0.522863432535652	-4.09784341829978	4.17017207477873e-05	0.00664978651908482
"CaT2T07g00181"	95.8695775825701	-1.57648088634234	0.367095882415033	-4.29446627396379	1.7511409783187e-05	0.00346164868539291
"CaT2T11g03318"	1499.48098006355	-1.13422978844088	0.143550457116088	-7.90126211526892	2.76093364458561e-15	4.34055492475543e-12
"CaT2T01g03754"	3608.66278224978	-1.7115113539921	0.128960682975678	-13.2715748280807	3.38393618138384e-40	6.89003245891564e-36
"CaT2T10g02197"	256.404431572963	-1.02458872972622	0.264327814581478	-3.87620474730781	0.000106098414436583	0.0136725937743245
"CaT2T06g01125"	1086.18528033329	-1.73013501051222	0.479362394638414	-3.60924225567855	0.000307092725173185	0.0310924372024017
"CaT2T02g03497"	140.990070041232	-1.247430650588	0.349224025058154	-3.57200696710448	0.000354255984701366	0.0343476481166882
"CaT2T08g02641"	1181.98356684831	-1.16205158692079	0.123837451204847	-9.38368462540926	6.37066270456325e-21	2.59426126655225e-17
"CaT2T03g04832"	270.621143834488	-1.20745139050923	0.288470477138364	-4.18570178302884	2.84286390989561e-05	0.00521473442066528
"CaT2T06g01608"	4576.74972779088	-1.55655793706308	0.188461628593577	-8.25928306297218	1.4655001889964e-16	2.71264084983234e-13
"CaT2T04g02566"	196.963908634744	-1.40522144905953	0.242501533965172	-5.79469096991917	6.84470984739816e-09	3.50472053128576e-06
"CaT2T06g01573"	113.343006126055	-1.02770007170739	0.264477137588339	-3.88578037813996	0.000102001691254108	0.0134155539517819
"CaT2T03g02046"	258.884821308969	-1.0829151109975	0.198514314487167	-5.45509835799525	4.89457449767243e-08	1.95408688915899e-05
"CaT2T02g01813"	1297.11806287086	-1.02844735192134	0.130170137017872	-7.90079334233267	2.77133804930114e-15	4.34055492475543e-12
"CaT2T01g02184"	1502.7543503314	-1.4485969461712	0.186111219876372	-7.78350143066851	7.05443546889534e-15	9.57569070547853e-12
