""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T05g03467"	91.8160646741118	1.55700016140914	0.430541928580058	3.6163728966983	0.000298759910426845	0.0305680931467386
"CaT2T09g02419"	27.26426789276	1.81629382112341	0.510868210846155	3.55530796898689	0.00037753660596524	0.0360893090800857
"CaT2T06g00372"	133.50997525877	1.05915500567047	0.257648569604401	4.11085148773274	3.94202700209941e-05	0.00637012791982111
"CaT2T09g02576"	904.297581283328	1.1843546622849	0.229864806484844	5.1523966647891	2.5717833498326e-07	8.18188762280337e-05
"CaT2T10g00985"	69.1919242367775	1.64756909808396	0.335564622055034	4.90984147254281	9.11500486383232e-07	0.000259932235741594
"CaT2T10g00361"	45.7195679704368	1.4215620060662	0.38594024496447	3.68337333204799	0.000230167681543682	0.0250611987374915
"CaT2T07g00903"	119.277058390237	1.13156313372482	0.280081848209916	4.04011591953197	5.34247892386778e-05	0.00817881303525352
"CaT2T10g00980"	100.366783425993	1.37436189232147	0.315804224304768	4.35194271180847	1.34936524465458e-05	0.0027474425746412
"CaT2T07g02887"	53.2833654470128	1.65922095448373	0.376330202919391	4.40894975107573	1.03873120337334e-05	0.0021803717558644
"CaT2T03g04635"	164.30931429188	1.25495886007549	0.273758272376949	4.58418607474072	4.55758245286338e-06	0.00101974655299727
"CaT2T09g02552"	1094.15629974494	1.24174269476622	0.214326301883641	5.79370186418079	6.88516385498896e-09	3.50472053128576e-06
"CaT2T01g04109"	130.634091852004	1.31667737687027	0.362845379133349	3.62875608341806	0.000284790160359878	0.0295847574239157
