""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T05g00251"	46.7362643581109	-1.06028171597624	0.337306645508443	-3.14337630193443	0.00167010986834449	0.00979553815875624
"CaT2T05g00137"	117.177360780482	-2.21289891014312	0.324972110110198	-6.80950408142016	9.79357548720124e-12	4.7662067371046e-10
"CaT2T02g03432"	126.759893880248	-1.0157488138506	0.380630606151104	-2.66859468848747	0.0076169305146641	0.0337752747168815
"CaT2T11g02057"	36.3230399418141	-1.19760182190094	0.398542454065949	-3.00495420169909	0.00265620841571826	0.0143281153807874
"CaT2T11g02059"	154.093790740816	-1.19474361423729	0.288747933262332	-4.13766983797544	3.50850733092065e-05	0.000352147711852505
"CaT2T09g00772"	34.1173317426459	-1.36711149627926	0.502106267362364	-2.72275329973651	0.00647403823985099	0.0297143048961308
"CaT2T01g00294"	173.892067256182	-1.23981165602841	0.242348972662729	-5.11581147799553	3.12394960545471e-07	5.32186053326547e-06
"CaT2T06g02357"	67.7041735955894	-1.28295680049642	0.301256243804642	-4.25868949401225	2.05628865079023e-05	0.000221232614524118
"CaT2T02g01053"	65.9954306172928	-1.41791658463264	0.412071609346799	-3.44094704044346	0.000579681980729174	0.00399401789062464
"CaT2T01g03211"	67.6679709039565	-1.55128951728405	0.359246311957316	-4.31817799000359	1.57322539279467e-05	0.000175016371467951
"CaT2T01g03217"	67.115644481603	-1.57315168940438	0.370284624384191	-4.24849314772559	2.15213228397691e-05	0.00023028206498326
"CaT2T09g02521"	630.252876950374	-1.64486481397044	0.325058272422699	-5.06021520914101	4.18783530213526e-07	6.9207014450441e-06
"CaT2T03g00735"	1263.33639543839	-1.57711578880288	0.40871966894806	-3.85867358148429	0.000114004082719043	0.000986286055491975
"CaT2T05g01445"	125.838152615525	-1.1121317060813	0.261187649204873	-4.2579796918688	2.06282682988161e-05	0.000221800966382767
"CaT2T12g03825"	40.4163230783419	-3.18780874847112	0.423104739805959	-7.5343253066205	4.90866163759899e-14	3.906144886929e-12
"CaT2T11g00242"	154.690689099521	-1.11649897973711	0.262279044473754	-4.25691264041813	2.0726929846239e-05	0.000222726242496142
"CaT2T10g00014"	31.8274198396999	-1.40950083963156	0.505462968020807	-2.78853433150723	0.0052947135231168	0.0252755852622694
"CaT2T05g00756"	36.0823975096429	-1.11154103856657	0.420474369799732	-2.64354053041564	0.00820439424342924	0.0358848300827979
"CaT2T07g00701"	43.4452370110854	-1.00765581788022	0.340759538060189	-2.95708763903252	0.00310559834570206	0.0162445589651216
"CaT2T01g02500"	1078.93020888926	-1.90557430449831	0.339692126439431	-5.60970995846171	2.02665985501685e-08	4.66184544254266e-07
"CaT2T01g02501"	25.4431931700748	-1.73011918123627	0.589613687723193	-2.9343266909511	0.00334272171425601	0.0172819788715384
"CaT2T04g01463"	270.875122648	-2.15900312032066	0.318137571809982	-6.78638209261934	1.14980389142641e-11	5.519683572266e-10
"CaT2T03g03034"	599.380324431831	-1.22300463821518	0.206865746198482	-5.91206935265998	3.37836227889038e-09	9.35456865499646e-08
"CaT2T03g00787"	27.1422809171278	-2.69433596672144	0.48128166645589	-5.59825182322498	2.16524082496048e-08	4.96123792655665e-07
"CaT2T08g01391"	793.532246010652	-3.44391929243477	0.363087813404182	-9.48508643169762	2.42182291890356e-21	8.38900464418634e-19
"CaT2T10g02868"	46.5264693529022	-1.35938900625582	0.486822533946067	-2.79237075415746	0.00523233657897107	0.0250672581060044
"CaT2T10g02862"	817.524047807124	-1.004903195798	0.245143478669185	-4.09924506763687	4.14499956314705e-05	0.000405906664537449
"CaT2T03g00438"	146.044177504908	-1.28793284475956	0.368981190925264	-3.49051083479328	0.000482098064229649	0.00343694285822477
"CaT2T03g00431"	19.860588321185	-1.17026251937897	0.44883255044236	-2.60734770289183	0.00912466514068157	0.039143630401463
"CaT2T03g00432"	83.2185749973915	-1.21001234500404	0.298068849243702	-4.05950621164954	4.91765997807846e-05	0.000473693463319161
"CaT2T03g00435"	1658.30694554064	-1.28092116022519	0.292654877861175	-4.37690008649988	1.20379121686584e-05	0.000138361585147378
"CaT2T12g01696"	417.591234468884	-1.31968375735223	0.309526154230472	-4.26356138024316	2.01194199667281e-05	0.000217122585908502
"CaT2T12g01527"	50.4473452960467	-1.05847192716568	0.423046642611782	-2.50202181166348	0.0123486316805465	0.0497834156249508
"CaT2T12g03785"	45.8532374423538	-1.67895659313933	0.363635031299678	-4.61714754801956	3.89050661504369e-06	5.0536536662766e-05
"CaT2T12g03780"	46.8933334981517	-1.64495218386993	0.367229369111928	-4.47935901163876	7.48675214083053e-06	9.03421880600493e-05
"CaT2T12g03783"	46.7225803296337	-1.76531845920938	0.375442589550991	-4.70196644797439	2.57667847686469e-06	3.52865131568153e-05
"CaT2T11g00629"	40.0747517926207	-1.19812779227611	0.362326624526578	-3.30676166522844	0.000943811562986539	0.00605600108760361
"CaT2T11g00624"	77.6482056403351	-1.42613544067637	0.314083118443223	-4.54063067045794	5.60862051890491e-06	6.95311509382275e-05
"CaT2T06g00038"	291.010800753922	-1.25319547571472	0.316661205380841	-3.95752764917172	7.57295239302807e-05	0.000690318766642074
"CaT2T01g05032"	22.5575807535651	-1.09833996542127	0.428612687298539	-2.56254655536188	0.0103907655853637	0.0434572123179533
"CaT2T03g04529"	36.9092010014201	-1.45707998818186	0.403794115015709	-3.60847257054546	0.000308005071645886	0.00235959132510678
"CaT2T02g03827"	284.932969600394	-1.10079742632461	0.23210607390381	-4.74264808244874	2.10942529005394e-06	2.94120814318018e-05
"CaT2T02g03826"	182.602777349235	-1.47976903740056	0.291461223743342	-5.07707000744508	3.83299672318165e-07	6.4122841014893e-06
"CaT2T10g03411"	4574.24449509721	-1.66037286408125	0.325799208696983	-5.09630723389976	3.46342880545317e-07	5.83269144681943e-06
"CaT2T09g01645"	45.7459180769437	-1.44936866879536	0.352837570066017	-4.10775039779403	3.99531531311941e-05	0.000394529012417929
"CaT2T09g01642"	44.1460574258436	-1.49696848202691	0.398327355403085	-3.75813627088721	0.000171183651267151	0.00140200759540357
"CaT2T02g03643"	49.573949179779	-1.21722355507065	0.382692295035155	-3.18068477171413	0.0014692740945217	0.00879572895758059
"CaT2T03g05106"	50.1281942397868	-1.4849167487247	0.370310846398418	-4.00991967469155	6.07394070322889e-05	0.000570756576932136
"CaT2T01g01011"	2466.37125905072	-1.0003256911679	0.248685668484029	-4.02245009640408	5.75958599334919e-05	0.000544111476783459
"CaT2T05g00562"	197.839894201338	-1.00048331501278	0.256190924025807	-3.90522544394273	9.41375832295647e-05	0.000834019330658721
"CaT2T09g00066"	25.5357297947079	-1.37155654661332	0.442617650552642	-3.09873893393276	0.00194346189963668	0.0110931172597679
"CaT2T08g00233"	36.6121782701327	-1.56615954095275	0.412425234439677	-3.79743868747639	0.000146198922517424	0.00122405221099186
"CaT2T09g03085"	134.303794370811	-1.2547636310899	0.272238229616259	-4.60906476235388	4.04484334689753e-06	5.21578120921838e-05
"CaT2T09g03080"	38.0278095421897	-1.74919222471066	0.512911795878495	-3.41031779492361	0.000648872237443474	0.00440375603022529
"CaT2T01g00056"	882.748515544463	-1.27788271624077	0.243317434231544	-5.25191596022141	1.50525143931817e-07	2.79913388705209e-06
"CaT2T02g02837"	607.692799902252	-1.13565713219974	0.302304425772179	-3.75666723799667	0.000172191215150328	0.00140830092909523
"CaT2T12g01224"	101.876205134525	-1.0613925139531	0.292805529280964	-3.62490597960884	0.000289066596045143	0.00223583646485705
"CaT2T03g00338"	29.5762633099411	-1.96639078167538	0.459513784654074	-4.27928573058086	1.87494038902527e-05	0.000203456369241526
"CaT2T06g02940"	76.4212913067518	-1.1655903673533	0.348490800082322	-3.34468045376795	0.000823774209665676	0.005407991307283
"CaT2T01g06062"	21.7525078147085	-1.68772732947416	0.457717766095206	-3.68726637786463	0.000226676038217974	0.00180706628662398
"CaT2T11g00187"	324.90551557523	-1.17190285783913	0.25203093439594	-4.6498373727333	3.32196866121035e-06	4.39924275629251e-05
"CaT2T03g00697"	23.4628888246691	-1.33865139309099	0.447157028955026	-2.99369417544285	0.00275622063061125	0.0147460307875161
"CaT2T05g00246"	127.770505297907	-1.21089684912064	0.279607412161458	-4.33070368113638	1.48633587702272e-05	0.000167139462784745
"CaT2T04g00887"	23.028009239855	-1.86512729867172	0.571232987912291	-3.26509031890521	0.00109429177279359	0.00686009881411337
"CaT2T03g00346"	78.2951328955242	-2.47919940233645	0.382954554302885	-6.47387366067363	9.55217805562382e-11	3.74997283401445e-09
"CaT2T09g03245"	25.2937075402114	-1.1841500948856	0.429094947025701	-2.75964586181592	0.00578640495004291	0.027143555456043
"CaT2T08g01576"	63.9122879821682	-1.39373589170601	0.334742492883976	-4.16360611913436	3.13260329342502e-05	0.000317684097483618
"CaT2T02g03670"	43.0173858993121	-1.12987611567674	0.407024813698207	-2.77593915076269	0.0055042508930998	0.0261111966373526
"CaT2T06g01961"	33.0302591575701	-1.80401380218604	0.56969496213058	-3.16663113087622	0.00154215798859315	0.00916681124713549
"CaT2T06g01962"	117.49612151185	-2.10749705887704	0.374105305208678	-5.63343269805135	1.76657477428389e-08	4.10635657401304e-07
"CaT2T03g02099"	37.5263632856085	-1.65610441708204	0.436678864343261	-3.79249959709573	0.000149138492580926	0.00124571187230952
"CaT2T03g02542"	44.8570753563617	-1.21936627859852	0.449294287848079	-2.71395900544104	0.00664843929569756	0.0303693912516858
"CaT2T09g02961"	420.771978386498	-1.1104133836378	0.204534099324512	-5.4289890404828	5.66741637237667e-08	1.17100090800475e-06
"CaT2T10g00951"	25.8137698722197	-1.99630145035633	0.485544580549488	-4.11146891619535	3.93149810907655e-05	0.000388879314641357
"CaT2T04g00627"	221.768281524324	-1.55664191238519	0.298666202004567	-5.21197879752523	1.86836907216459e-07	3.37836315546158e-06
"CaT2T04g02120"	46.5387117469575	-1.63541483427662	0.351841819852366	-4.64815363609377	3.34919425703959e-06	4.4319749621619e-05
"CaT2T04g00189"	18.5891230642176	-1.40711660107567	0.487318434732038	-2.8874684411424	0.00388355562646012	0.0196525046396575
"CaT2T04g00182"	279.045639622322	-1.23978879419115	0.302207168125167	-4.10244668213052	4.08804079531275e-05	0.000401664786929895
"CaT2T04g00180"	673.979665799538	-1.08322266627652	0.257027641900141	-4.21442090145839	2.50419894915961e-05	0.000262859053094793
"CaT2T09g01149"	111.768564992733	-1.38510238307406	0.371948315374894	-3.72391089250663	0.000196160186136287	0.00158743282101862
"CaT2T03g05066"	27.6364742536536	-1.53989054137265	0.614386202547652	-2.5063885467923	0.0121971504170226	0.0493523609285901
"CaT2T09g03160"	76.3970920472855	-1.0474609940781	0.347240012882526	-3.01653310453153	0.00255683297327821	0.0138853400878982
"CaT2T08g00891"	15.9775646757424	-1.8475608277647	0.730338283321833	-2.52973296067865	0.0114149367538338	0.0468750052750412
"CaT2T10g03306"	72.16264257082	-1.17401537515905	0.31107957677293	-3.77400338311509	0.00016064858013669	0.00132432002645579
"CaT2T12g03709"	172.298441844328	-1.11281672655611	0.264222498685871	-4.2116652900142	2.53494964756356e-05	0.000265613407318255
"CaT2T09g00379"	51.3403136755221	-1.12509517510582	0.416045727630576	-2.70425845138072	0.0068457020728035	0.0310331467329091
"CaT2T12g01939"	46.0159067810392	-1.15410805950426	0.450858107780448	-2.5598032720003	0.0104731431157762	0.0437189381576801
"CaT2T05g01275"	16.8173797687339	-1.70331894126947	0.559028061286357	-3.04692923169193	0.00231192133134734	0.0127592634300475
"CaT2T07g00067"	131.465721841702	-1.06024009699627	0.293685705213651	-3.61011815752139	0.000306057553306137	0.00234772589522632
"CaT2T08g02349"	189.070777528634	-1.14417425058569	0.297258981830802	-3.84908218260985	0.00011856122805552	0.00102170861211161
"CaT2T08g02344"	2023.08206918873	-1.41229315619496	0.220833823512058	-6.39527556845404	1.60258069458445e-10	5.93526007348613e-09
"CaT2T02g03326"	551.482561401424	-1.44904923325553	0.209484910364191	-6.91720100858982	4.60654254309629e-12	2.42199942161723e-10
"CaT2T02g03320"	116.833359445662	-1.02607938943324	0.307595789015928	-3.3358044097935	0.000850529801088275	0.00555264577458443
"CaT2T02g01873"	250.393486048215	-1.39657063481564	0.345641741155169	-4.04051498568479	5.33339567751599e-05	0.000509847229648255
"CaT2T01g00588"	42.2476320201557	-1.51040886250648	0.37544314046764	-4.02300295225841	5.74607758964715e-05	0.000543416524083012
"CaT2T12g00868"	125.822757295909	-1.26460109589211	0.30845087475095	-4.09984603516907	4.13425088141696e-05	0.000405303418818601
"CaT2T01g03961"	37.6302700977136	-1.42279266797255	0.440463327050382	-3.23021822838341	0.00123695763547622	0.00763792156180461
"CaT2T06g00892"	44.6142627320444	-1.45454281581466	0.366501425162187	-3.96872349178719	7.22586684366621e-05	0.00066416318241523
"CaT2T04g02427"	63.3572080840887	-2.10663946124626	0.391344177105333	-5.38308625626808	7.32194290356166e-08	1.47322828398998e-06
"CaT2T04g02396"	44.0659883198467	-1.85259723845978	0.355348673196237	-5.21346322133783	1.85347291558233e-07	3.35830282324896e-06
"CaT2T06g01138"	56.4947458161953	-1.58596762262005	0.32498658323507	-4.88010183938233	1.06031073885328e-06	1.59961140158686e-05
"CaT2T02g03900"	152.862840132048	-1.56286158255175	0.286599660168134	-5.45311736111236	4.94943798297212e-08	1.03720962523352e-06
"CaT2T03g04414"	204.472263601112	-1.86133694861417	0.372433794967597	-4.9977659754967	5.79983112446933e-07	9.28919461875568e-06
"CaT2T03g02010"	93.0243992035978	-1.9419079438144	0.344120309575464	-5.64310762770759	1.67007870949881e-08	3.91814216228498e-07
"CaT2T02g00666"	170.358356150603	-1.67949055160743	0.337014815070279	-4.98343240862333	6.24661407500912e-07	9.94168326568569e-06
"CaT2T09g00109"	141.73506616201	-1.06412820832136	0.242458102611748	-4.38891584508259	1.1391713732226e-05	0.000131533343002291
"CaT2T07g02892"	35.2280502666108	-1.21015534457223	0.441666680122567	-2.73997428159261	0.00614439921554705	0.0285124656006972
"CaT2T08g01738"	39.9241752531105	-1.20860108582437	0.392822029939085	-3.07671411914395	0.00209295924249902	0.0117677332838917
"CaT2T07g00251"	48.3596100960095	-1.12799071507891	0.393246106746311	-2.86840911004006	0.00412541710357331	0.0206165823342931
"CaT2T07g00253"	125.087986810417	-1.11410785757055	0.261008403262047	-4.26847505155611	1.96813834921292e-05	0.000212915689388826
"CaT2T01g04843"	138.233415817556	-1.92587374158798	0.302299953642109	-6.37073779994028	1.88121013703205e-10	6.86641700016698e-09
"CaT2T06g00143"	281.14093920243	-1.07233665118083	0.26115759791229	-4.10609019133716	4.02412410885022e-05	0.000396930075415678
"CaT2T05g03187"	64.4509104172613	-1.74799687235051	0.33456973162167	-5.22461151484899	1.74521125472343e-07	3.19160476459049e-06
"CaT2T08g02658"	295.141566095064	-1.18375920266349	0.281039802375823	-4.21206958109264	2.53041566634487e-05	0.000265295686419279
"CaT2T03g00125"	220.802684170126	-1.27075189987033	0.32157490703332	-3.95165130138298	7.76137769648409e-05	0.000705363227576314
"CaT2T02g02975"	15.6706458399601	-1.55326963041332	0.520190264321774	-2.98596443829736	0.00282685514562547	0.0150464667076287
"CaT2T03g05088"	17.9958827263	-1.41435973708828	0.485580807204171	-2.91271754588437	0.00358298529536427	0.0183469618051899
"CaT2T04g02453"	54.4841916468556	-1.15829740631253	0.38367356681346	-3.01896587751037	0.00253639097179448	0.0137955304518846
"CaT2T02g02124"	65.0314997926584	-2.07474025630993	0.306338324205162	-6.77270877450004	1.26393217451927e-11	5.98622675470709e-10
"CaT2T01g00875"	573.942317402177	-1.16808904592832	0.193132018677195	-6.04813771392658	1.46529683231873e-09	4.39219685096984e-08
"CaT2T10g00375"	1289.02898474944	-1.2782633431179	0.223314797575086	-5.72404228021701	1.04018844881247e-08	2.54514807987826e-07
"CaT2T08g00344"	505.955419757355	-1.87251058254631	0.3199613043919	-5.85230325306084	4.84811601623193e-09	1.28526232587818e-07
"CaT2T01g00381"	146.518343455521	-1.09039515277154	0.283478447228067	-3.8464834396891	0.000119825225616735	0.00102858718938058
"CaT2T01g00384"	266.362418401973	-1.06846657736069	0.342105388615692	-3.12320885001016	0.00178890758411271	0.0103446289299296
"CaT2T05g02073"	17.3456353023582	-1.40400539645125	0.561360760523339	-2.50107505758389	0.0123816933944794	0.049871180006127
"CaT2T07g01919"	230.345980874181	-1.22473693021876	0.274427355763949	-4.46288208698928	8.08645568013204e-06	9.67854512501441e-05
"CaT2T02g03576"	86.8367470181443	-1.45638716824172	0.321188858362729	-4.53436391182965	5.77773395029369e-06	7.1377236339782e-05
"CaT2T03g05010"	16.6900738003266	-2.24944903218531	0.690142135692833	-3.25939964515728	0.0011164827200761	0.00698434268160922
