""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g04733"	1038.41565196315	1.91141814268114	0.311632088324948	6.13357293517236	8.59269964940441e-10	2.71068985725676e-08
"CaT2T03g03176"	297.90685208079	1.30552311988626	0.231660247082206	5.63550775901138	1.74543284874919e-08	4.07646639096655e-07
"CaT2T03g03177"	305.052925960683	1.02730532039311	0.231072211077679	4.44581940685097	8.7557481167967e-06	0.000103811440423712
"CaT2T11g02055"	69.2162873150737	2.00537652360726	0.389394728408925	5.14998374991174	2.60509028791023e-07	4.54309230268728e-06
"CaT2T11g02056"	139.913562157306	1.12574884125674	0.401659357153258	2.80274521483934	0.00506696808459516	0.0244370893209004
"CaT2T03g02622"	145.318450473303	1.80980780796578	0.302577606576824	5.98130122199335	2.21362079937939e-09	6.4152914864931e-08
"CaT2T01g00740"	1800.29150589568	1.59642985059281	0.307384959059247	5.19358479828906	2.06282917896699e-07	3.70344921500313e-06
"CaT2T02g01059"	149.797161151406	3.31281040909765	0.520037830942028	6.37032579552266	1.88627081751477e-10	6.87069283757031e-09
"CaT2T03g00080"	879.4213283214	3.19796086486498	0.389405843078038	8.21241109169515	2.16790572589386e-16	2.49820048547469e-14
"CaT2T12g01718"	363.268715316825	2.80168691286696	0.405489624398621	6.90939235997007	4.86734025056882e-12	2.53763114381934e-10
"CaT2T02g00868"	362.703063268517	5.26522722389894	0.969202053490391	5.43253824621734	5.55580406632005e-08	1.15063112116776e-06
"CaT2T12g00040"	721.660557582103	3.70722440700502	0.424577256933516	8.73156615542768	2.51170041375664e-18	4.67070521151839e-16
"CaT2T07g00466"	352.807944690007	1.73702785998225	0.294727576270587	5.89367266532092	3.77705030483346e-09	1.03933599198112e-07
"CaT2T12g02192"	87.3401007605919	2.52899169971317	0.430943441821776	5.86850025846101	4.39754714532621e-09	1.18787565549438e-07
"CaT2T04g01469"	112.847711069966	3.74636714928369	0.438916586186594	8.53548776051725	1.39565381647284e-17	2.07190086737892e-15
"CaT2T02g02194"	760.845539054257	1.26191503579447	0.269205854590979	4.68754677609731	2.76499516170965e-06	3.75164397286964e-05
"CaT2T08g01806"	7176.84968871489	1.00528484802648	0.23692180045351	4.24310825809273	2.20445024289496e-05	0.000235310078495361
"CaT2T11g02245"	58.4229127110503	1.61718157749527	0.429649659179679	3.76395405638846	0.000167247624440926	0.00137104247488325
"CaT2T10g02241"	16.429829802087	1.66341474666789	0.527016852381197	3.1562837870405	0.0015979330740849	0.00944116578153306
"CaT2T08g01392"	166.800424199155	1.26510305352011	0.318014837533418	3.97812587403935	6.94605991725019e-05	0.000642119803757938
"CaT2T01g00465"	167.228396654434	1.24947757753661	0.480762572361352	2.59894935539508	0.00935095680778695	0.0398634177042385
"CaT2T01g00461"	2223.12037528057	3.39880314158187	0.424475629521475	8.00706308019013	1.17480239019508e-15	1.19276201294174e-13
"CaT2T07g02073"	568.092400846166	1.4843809538569	0.238786372234729	6.21635539735804	5.08834855376427e-10	1.68967604418796e-08
"CaT2T07g02070"	325.334278560062	2.84950014662149	0.248984536827767	11.4444864043609	2.50584093902246e-30	5.53352325359635e-27
"CaT2T06g03316"	345.290260178595	1.16568973354265	0.318735340335616	3.65723403095253	0.000254951583962632	0.00200020756826043
"CaT2T11g00622"	82.5848375212451	1.74282629701136	0.35751425583114	4.8748442015541	1.0889436204915e-06	1.63443313505546e-05
"CaT2T07g02915"	924.831064224081	3.33092451388816	0.83526166602503	3.98788146203317	6.66659571848815e-05	0.000619201261634131
"CaT2T07g02914"	1435.67277699316	3.97464938041451	0.456303310201575	8.71054250879459	3.02423884057182e-18	5.50785601624141e-16
"CaT2T05g01962"	321.363709510928	2.57134398247404	0.291676395060881	8.81574246670641	1.18894495051905e-18	2.44231412742669e-16
"CaT2T06g00035"	535.478251019713	1.18691636178183	0.324541841096151	3.65720597927522	0.00025497947717211	0.00200020756826043
"CaT2T04g01073"	304.022185321114	1.18109588097131	0.280264768050646	4.21421461279742	2.50648864328466e-05	0.000262943161355503
"CaT2T04g01076"	236.245165624023	1.08412218911883	0.302767523348096	3.5807083174915	0.000342664017693224	0.00258365451838178
"CaT2T01g05038"	651.00887940071	4.98088427724902	0.881792468681223	5.64859017757121	1.61768987737867e-08	3.80028050183132e-07
"CaT2T01g05037"	35.4529439391628	3.61169049615309	0.625857587049292	5.77078647105805	7.89024050707221e-09	1.9969769168759e-07
"CaT2T05g01105"	16.9554122615647	1.41153152884327	0.516087134264224	2.73506436244659	0.0062368079871231	0.0288050849413115
"CaT2T03g00231"	284.220395625364	1.77296566997957	0.276837420157403	6.4043570012013	1.51004406021098e-10	5.62794058390026e-09
"CaT2T10g00732"	41.2315714823126	1.63254948956919	0.472728761810473	3.45345919574852	0.000553446024519086	0.0038538342408964
"CaT2T04g00675"	660.211322903178	1.57207821128961	0.361504117513881	4.34871453775142	1.36937818324517e-05	0.000155073301187238
"CaT2T04g00674"	29.3505029217188	2.11520219834025	0.57723460673986	3.66437177127445	0.000247946420207605	0.00195522102501522
"CaT2T12g00634"	1087.12256793552	1.18515122523835	0.252573023887084	4.69231118588575	2.70135811442734e-06	3.67942887042971e-05
"CaT2T02g02014"	33.5960692258967	1.68125596411027	0.600465754343408	2.79991981549168	0.0051115301965517	0.0246251138402734
"CaT2T02g02016"	25.9827774425804	2.30177178654183	0.638537506328437	3.60475581109858	0.000312446562283884	0.00238435303189796
"CaT2T02g02011"	34.0322393188916	2.00643879868334	0.606747659590606	3.30687521734679	0.000943429073275428	0.00605600108760361
"CaT2T02g02013"	29.8350993766239	2.34101195286137	0.605128527581397	3.86861938606335	0.000109453341765948	0.000950640479664324
"CaT2T05g02055"	92.2139475825287	1.61448798299057	0.329526570844834	4.89941669605391	9.61215933969147e-07	1.47147666286819e-05
"CaT2T10g01104"	1011.78740003165	5.83752348372019	0.8858569602229	6.58969082576418	4.40743416529606e-11	1.85385076105048e-09
"CaT2T01g00054"	14.9189260116277	1.76689577879384	0.693585133120852	2.54748219709314	0.0108503389263891	0.0449852352672117
"CaT2T07g00196"	4476.27568615262	1.17058435255423	0.202909609072322	5.76899417383929	7.97460611245453e-09	2.01544193966555e-07
"CaT2T03g03240"	185.956422001089	1.40716159710246	0.245600510138019	5.72947342947979	1.00742867128833e-08	2.47872352464897e-07
"CaT2T04g01137"	195.170347591158	1.05682376913514	0.411661709917311	2.56721415588401	0.0102519274856657	0.0430089173502183
"CaT2T03g00348"	75.1341533334482	3.90075418581807	0.58841974761753	6.6292033902872	3.37503278350434e-11	1.46135610670068e-09
"CaT2T02g00527"	472.909086269273	1.18989327571748	0.268084960028075	4.43849321346809	9.05908403041801e-06	0.000107048681258438
"CaT2T01g00212"	243.996464952364	2.9345206466139	0.312560899251067	9.38863643419683	6.07820128382807e-21	1.94909360552034e-18
"CaT2T01g00214"	133.969249156563	1.00360162510391	0.314867511799331	3.18737750798347	0.00143569255050655	0.0086268519038261
"CaT2T01g03744"	49.3603766553836	2.04598714933312	0.573319127777027	3.5686706586368	0.000358797109352206	0.00268808724928586
"CaT2T01g03747"	359.833179957262	1.40276304717012	0.393044863731263	3.56896419877714	0.000358395391716509	0.00268621679680265
"CaT2T01g03743"	629.5712711538	2.05786000674526	0.331158587100876	6.21412243831807	5.16122734168486e-10	1.70745771944204e-08
"CaT2T03g05182"	20.6234885213375	1.24090400599384	0.495212564935478	2.50580072853264	0.0122174453525768	0.0493939714138281
"CaT2T01g05591"	408.732524856802	1.12129024678391	0.27352370914841	4.09942615312925	4.14175794742552e-05	0.000405814175813751
"CaT2T12g00778"	35.6202857213361	1.0384811761317	0.385727201968609	2.69226844990884	0.00709677961237003	0.0319337006194928
"CaT2T02g03983"	2314.99279648447	1.3391049572894	0.244678332980991	5.47292006192244	4.42679831570077e-08	9.34717652788902e-07
"CaT2T12g01791"	103.704637165035	1.47249498209137	0.40657239986634	3.62172883003236	0.000292640787394849	0.00225952454113523
"CaT2T08g01575"	24.1630385313596	2.71893011651486	0.509898542336332	5.33229631145216	9.6978522189702e-08	1.88473330363397e-06
"CaT2T02g03673"	135.329241571977	1.36156117078101	0.262320202860492	5.19045485606429	2.09780980955828e-07	3.7472101208955e-06
"CaT2T02g03674"	340.77428551294	1.059802610328	0.218643671504827	4.84716801101008	1.25236362704745e-06	1.84985416684116e-05
"CaT2T06g01966"	445.86925649154	1.43370645062635	0.344626364362714	4.16017635005251	3.18001957787794e-05	0.000322122854717842
"CaT2T03g02091"	332.423067843148	2.83796152063639	0.461804950104031	6.14536834219095	7.97781625910387e-10	2.53482197901671e-08
"CaT2T06g02431"	15.2159793281579	1.69655475856667	0.620731898999502	2.73315220516488	0.00627313359452403	0.0289350334414782
"CaT2T09g02964"	603.498367462208	1.03266587778821	0.260627591635521	3.96222775688447	7.4253654657331e-05	0.00068002336090016
"CaT2T09g02965"	63.4824838056501	1.18552076120624	0.412112311980025	2.87669338368058	0.00401865870706548	0.0201743747425458
"CaT2T12g02661"	127.398106301407	1.83056910517466	0.337466751326223	5.4244428465342	5.81355874666345e-08	1.19618372521465e-06
"CaT2T09g00231"	390.706724001001	1.64996758249642	0.306947336801018	5.37540934445713	7.64088893266767e-08	1.52898821778936e-06
