""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T01g04218-mRNA"	609.02030451106	1.67178914819833	0.221874213400689	7.53485104273565	4.88892581804478e-14	3.94860718874234e-12
"CaT2T03g01722-mRNA"	48.1463913823004	1.1137249959011	0.337655881962376	3.29840247244739	0.000972366517949693	0.00923427631661675
"CaT2T10g02075-mRNA"	155.382392697538	2.72556542226661	0.283876483502032	9.6012370896059	7.89905851018812e-22	1.2641419193527e-19
"CaT2T04g01455-mRNA"	860.049739817615	1.14488428830216	0.167183971912635	6.84805053501444	7.48631223027988e-12	4.62119359243419e-10
"CaT2T07g02752-mRNA"	720.277260612417	3.66007779304683	0.184700769542678	19.8162563269727	2.15560437790425e-87	1.2419155355899e-83
"CaT2T01g04557-mRNA"	37.6776718224876	1.44547959692161	0.40588063011322	3.56134165978406	0.000368964591463097	0.00421214266766722
"CaT2T02g02930-mRNA"	45.5059723233303	3.00453285451303	0.402546521312265	7.46381522492985	8.40524509927435e-14	6.51463032716851e-12
"CaT2T07g02674-mRNA"	148.167823434517	1.93352369795082	0.239449165797865	8.0748817458109	6.75420707338428e-16	6.63293835547579e-14
"CaT2T07g03311-mRNA"	79.1129021638395	1.0859972642265	0.276075636597261	3.93369468458657	8.36500261855283e-05	0.00122318701572815
"CaT2T03g02819-mRNA"	57.313423564676	2.69474721977901	0.397384412929994	6.78121016350415	1.19173364347694e-11	7.12730944424064e-10
"CaT2T04g00118-mRNA"	333.696449088227	1.04594772179995	0.187669253959211	5.57335684846536	2.49876990824729e-08	9.20868637401838e-07
"CaT2T02g01915-mRNA"	309.459396724886	1.65395857618413	0.212247225231303	7.79260399932989	6.56421017060847e-15	5.878539305119e-13
"CaT2T09g02176-mRNA"	37.9320957107907	2.10903098379395	0.400812016022162	5.2618956006482	1.42577721939367e-07	4.51339440659345e-06
"CaT2T07g02070-mRNA"	167.972362756429	2.84817891258962	0.247520383660531	11.5068459028241	1.21853958385059e-30	3.19109669201116e-28
"CaT2T06g00607-mRNA"	87.2533652882387	1.83538540651612	0.271907734631616	6.75003014902362	1.47814437205175e-11	8.77946643523797e-10
"CaT2T07g02675-mRNA"	215.64505311335	2.2526046864902	0.256105610729483	8.79560849945438	1.42274838020546e-18	1.76912107938642e-16
"CaT2T08g02718-mRNA"	30.6486752197751	1.41284188120058	0.425913410713043	3.31720449664938	0.000909230403340073	0.00876960842150101
"CaT2T03g04984-mRNA"	192.216326421195	1.15943691546425	0.196305773899324	5.90628025061996	3.49918515276053e-09	1.48235088677238e-07
"CaT2T07g01608-mRNA"	177.05107780144	1.01625638337982	0.223919858477529	4.53848260841861	5.66604678477841e-06	0.000121211651931709
"CaT2T11g00622-mRNA"	29.3523661812039	1.35889442885865	0.423446443403055	3.20912939529686	0.00133137560560818	0.0118799669423499
"CaT2T06g03753-mRNA"	318.53107306608	2.15487793308157	0.237561262895584	9.07083043260596	1.18113338212683e-19	1.63317675013441e-17
"CaT2T03g01647-mRNA"	137.272919610896	1.5574342890023	0.248337746637722	6.27143601844105	3.57733296764783e-10	1.75157572274292e-08
"CaT2T02g02311-mRNA"	421.722065075287	1.30709869258049	0.17561121391855	7.44313909923049	9.83204627469584e-14	7.51934016866562e-12
"CaT2T10g02987-mRNA"	136.248473537452	1.34437764137081	0.236856149289027	5.67592458716501	1.37941542577393e-08	5.32183397747245e-07
"CaT2T05g00281-mRNA"	25.5623810993743	1.66279341168855	0.437763567521237	3.7983823576362	0.000145643527860905	0.00196204422100381
"CaT2T02g03504-mRNA"	573.569306397101	2.65434293953899	0.176305359271796	15.0553729648513	3.18299227441664e-51	2.50067447595533e-48
"CaT2T04g01072-mRNA"	463.578081384075	3.08206444837686	0.2157701353626	14.2840177728835	2.75263124139424e-46	1.76209179171326e-43
"CaT2T02g03097-mRNA"	36.5235976141296	1.30298075667056	0.37005596622759	3.52103702030089	0.000429862598625256	0.00478104578805594
"CaT2T07g02700-mRNA"	28.6238211841147	1.77535756122777	0.41869455439373	4.24022128445994	2.23299544200622e-05	0.000398298175641234
"CaT2T10g03276-mRNA"	1284.8942299837	1.04074719804763	0.170331465576034	6.1101288275069	9.95507476399479e-10	4.60062866900764e-08
"CaT2T02g03981-mRNA"	1399.69681732369	2.57540984674393	0.162047032802911	15.8929775028727	7.08793507795387e-57	7.65674186795967e-54
"CaT2T12g02348-mRNA"	623.950992103908	1.43872357436569	0.182214576468689	7.89576554328469	2.8853864515875e-15	2.69573077995883e-13
"CaT2T12g01339-mRNA"	611.773927496389	1.62776703146519	0.171713698854655	9.47954090047871	2.55404272247339e-21	3.87228722940615e-19
"CaT2T04g01192-mRNA"	16.6472754868605	2.34692011641826	0.648006138004767	3.62175599701031	0.000292610050704647	0.00347115450678045
"CaT2T01g02864-mRNA"	47.8566441329455	2.0312976683973	0.405028332970888	5.0151989454607	5.29786184068663e-07	1.43523893502238e-05
"CaT2T12g02579-mRNA"	24.2153360226159	2.50360743251197	0.514865420334768	4.8626443603148	1.1582784593662e-06	2.92685451632827e-05
"CaT2T09g01417-mRNA"	42.8811556836158	1.30762669751194	0.355560842890693	3.67764539784807	0.000235396897880703	0.00289580069962283
"CaT2T09g00522-mRNA"	36.9315776402102	1.00799789571113	0.3587126659941	2.81004266441964	0.00495349330282593	0.0339477312633003
"CaT2T03g02671-mRNA"	498.157885262456	1.74572068079935	0.171002088419759	10.2087681906792	1.81149902582209e-24	3.59884473129989e-22
"CaT2T12g01890-mRNA"	24.6246159957944	1.47661227271449	0.443577245413678	3.32887290315671	0.000871981865660618	0.00853899975415191
"CaT2T11g00717-mRNA"	17.3681989964775	1.65541344316763	0.570089871969552	2.90377627206126	0.00368691521186471	0.0269334921901394
"CaT2T10g00211-mRNA"	223.959326998976	1.19770769862527	0.18577975933275	6.44692243615224	1.14144164746367e-10	5.90678965112636e-09
"CaT2T05g00576-mRNA"	89.1861714689591	1.19509228953049	0.282487779013746	4.2305982003998	2.33070666529619e-05	0.000412745225440362
"CaT2T05g03087-mRNA"	1183.78808558857	1.19596249006206	0.158260103373593	7.55694242938055	4.12654499287771e-14	3.36430205928766e-12
"CaT2T02g01889-mRNA"	80.9792324821354	1.11948665557312	0.263204412059731	4.25329745353611	2.10645470062114e-05	0.000380438485324303
"CaT2T03g00401-mRNA"	34.9614538048713	2.53808013306852	0.456672226275183	5.55777204532493	2.73239909920071e-08	9.98452135953171e-07
"CaT2T06g00762-mRNA"	35.205730388177	1.75127778185302	0.383453632512048	4.56711746445118	4.94476944656886e-06	0.000108184044448729
"CaT2T02g01812-mRNA"	722.587936190382	1.11994479894913	0.182335991442271	6.14220368721727	8.13844016603233e-10	3.8120541959269e-08
"CaT2T12g02497-mRNA"	49.8554219040759	3.68241008986382	0.483462863521428	7.61673825998139	2.60166134317193e-14	2.19097886845095e-12
"CaT2T01g05302-mRNA"	625.013314228889	1.94824730631786	0.198223357948026	9.82854556842231	8.48350799730064e-23	1.48110052752873e-20
"CaT2T02g03465-mRNA"	184.787660013737	1.55082146027008	0.297805331529303	5.20750065926031	1.9140115820502e-07	5.8655631532191e-06
"CaT2T08g02783-mRNA"	398.65779604592	1.17036225770238	0.199973919275637	5.85257448542175	4.84021355055342e-09	2.00139356477908e-07
"CaT2T03g01227-mRNA"	83.8980432576254	1.10428343838654	0.300502937657486	3.67478417014746	0.000238050562141434	0.00291806093337059
"CaT2T07g01916-mRNA"	63.1619270695227	1.04895255933838	0.318660389826435	3.29175697020177	0.000995636103160273	0.00940873395681912
"CaT2T02g01916-mRNA"	41.1642005864908	1.81897187389465	0.367750059888014	4.94621775030724	7.56693118758257e-07	1.98161876736632e-05
"CaT2T07g01915-mRNA"	64.553374426414	1.0327273462341	0.312407191487608	3.30570926141777	0.000947363328495348	0.00903654954178455
"CaT2T11g00994-mRNA"	87.8090412578679	1.79551101693789	0.302999455517282	5.92578958227031	3.10800353741746e-09	1.32312150592915e-07
"CaT2T03g04833-mRNA"	729.664117785697	1.87768143095319	0.211439703440399	8.88045811832341	6.65855608017892e-19	8.6531190443468e-17
"CaT2T03g00351-mRNA"	41.6425446232147	1.03980879244339	0.352408865053131	2.95057501543448	0.00317183011252264	0.0238667443033702
"CaT2T11g01949-mRNA"	205.465564027863	1.99209998586873	0.247870862742135	8.03684613766463	9.21802990761132e-16	8.95081061366034e-14
"CaT2T02g03983-mRNA"	157.650251678737	3.33272144091716	0.28581512723177	11.6604095563305	2.03063277711115e-31	5.57102490787128e-29
"CaT2T03g02213-mRNA"	40.9143770914316	1.0038331817007	0.357375433019678	2.80890371567714	0.00497105113586536	0.0340318562865571
"CaT2T10g01820-mRNA"	427.368268587037	2.19349348933581	0.219161848152824	10.0085553567985	1.39778679738057e-23	2.65487329735448e-21
"CaT2T01g05747-mRNA"	254.532337212812	2.36444035394441	0.241516098319917	9.78999068961617	1.24307332937223e-22	2.14852794248696e-20
"CaT2T02g01879-mRNA"	157.607214432589	1.09320365360177	0.233004745006851	4.6917656272177	2.70857311543072e-06	6.43062880866821e-05
"CaT2T01g04029-mRNA"	54.8035649469293	2.05605465599038	0.337647492834892	6.08935265216312	1.13368150216421e-09	5.18374367285879e-08
"CaT2T02g00272-mRNA"	2060.93254290939	1.38072365077461	0.145581861261657	9.48417363817745	2.44311104930844e-21	3.73687888285372e-19
"CaT2T02g04034-mRNA"	35.4584819768108	1.91703425230563	0.39932539891069	4.80068199402056	1.58126197396142e-06	3.88217783493597e-05
"CaT2T07g01791-mRNA"	28.3520162542206	2.5149140617909	0.484634601741006	5.18929942838646	2.11086732579141e-07	6.38870331797468e-06
"CaT2T04g02750-mRNA"	149.716751113155	1.07501095108469	0.258386993897764	4.16046850837252	3.17595409152052e-05	0.000533980452508177
"CaT2T06g01948-mRNA"	2600.40593162317	2.06369494884085	0.167351615791413	12.3314910291218	6.13017820022046e-35	2.20737500026272e-32
"CaT2T02g03314-mRNA"	47.1287590747078	1.18703673331373	0.368289707853658	3.22310590820366	0.00126808658465513	0.0114273245720434
"CaT2T06g03062-mRNA"	337.854804972182	1.14446011581353	0.188308264181042	6.07758836708957	1.22003451145039e-09	5.53466574695763e-08
"CaT2T04g01049-mRNA"	31.5680392131437	2.2930708419813	0.442300092719955	5.18442315460506	2.16684462808163e-07	6.52469382434894e-06
"CaT2T07g02778-mRNA"	186.800315202431	1.79611146580591	0.228309222706239	7.86701231126759	3.63210912394999e-15	3.33922202650807e-13
"CaT2T03g02525-mRNA"	107.394266907179	1.61460158792991	0.280932667525152	5.74729027476078	9.06849730776832e-09	3.5785367001705e-07
"CaT2T03g00930-mRNA"	20.0975647990509	1.78698628478717	0.532582413679095	3.3553234933963	0.000792722257304318	0.00794745446360083
"CaT2T06g01227-mRNA"	46.2147723943245	1.26475696139347	0.343512953715248	3.68183193010497	0.000231564052162829	0.00285520865515915
"CaT2T10g03398-mRNA"	337.118079758919	1.13327750329207	0.177833543688966	6.37268695086115	1.85744783442463e-10	9.41470926976025e-09
"CaT2T06g02337-mRNA"	26.4637005577009	1.24201434656245	0.418759919844014	2.96593414915422	0.00301765094454934	0.0229766867513616
"CaT2T05g00709-mRNA"	324.981960927917	1.09170020344205	0.195826618544118	5.57483048810393	2.47771008137264e-08	9.17018009559844e-07
"CaT2T04g00128-mRNA"	64.5851647298802	1.04232032625652	0.290433830914236	3.58883923052445	0.00033215358570777	0.00385039743485788
"CaT2T04g00021-mRNA"	51.4947050321435	2.03180546785768	0.381568169276394	5.32488197773624	1.01018607991238e-07	3.31310364425154e-06
"CaT2T08g00671-mRNA"	179.524260330133	1.56120306252456	0.2190529341132	7.12705843838537	1.02536566919733e-12	7.20423586439293e-11
"CaT2T02g03772-mRNA"	173.025713947448	1.00656150243627	0.2335546693585	4.30974685798822	1.63441524851609e-05	0.000306935317536652
"CaT2T03g03320-mRNA"	137.905218228429	1.63839009230895	0.244908267872684	6.68981127726021	2.23458585319949e-11	1.30042363254882e-09
"CaT2T03g00644-mRNA"	72.0575073156072	1.499031495462	0.289482188514807	5.17832030755608	2.23892583030428e-07	6.70668874367055e-06
"CaT2T03g00193-mRNA"	1205.70411058218	1.69311958695423	0.182900908093552	9.25703215255892	2.10193340897308e-20	3.1051125675804e-18
"CaT2T09g00046-mRNA"	30.0838893346818	1.23869072205262	0.398419257833461	3.10901317568938	0.00187713347173202	0.0156963594220688
"CaT2T07g00196-mRNA"	921.564383062773	1.22464970342193	0.159830185868868	7.66219282524446	1.82784923829477e-14	1.56398743736073e-12
"CaT2T07g02986-mRNA"	25.1506600718495	1.42044256690957	0.433884047642696	3.27378380151765	0.00106117768807029	0.0098875445609741
"CaT2T02g03494-mRNA"	109.141557120299	1.1772621016873	0.246885876214671	4.76844653787991	1.85651924578573e-06	4.52582209367567e-05
"CaT2T05g00678-mRNA"	27.1750035429646	1.41151847450676	0.453749877975497	3.11078535338578	0.00186590517068192	0.0156100217667311
"CaT2T02g02418-mRNA"	242.045588435628	1.06180625554322	0.18233640289727	5.82333663860558	5.76841975346253e-09	2.35144733535015e-07
"CaT2T05g01635-mRNA"	168.247956403871	1.91432993772974	0.243084931098774	7.87514852967944	3.40338303419937e-15	3.14567231888245e-13
"CaT2T01g04022-mRNA"	873.756944332975	1.32474768929863	0.156469288494204	8.46650292876933	2.52870476846507e-17	2.81975053020324e-15
"CaT2T01g05750-mRNA"	25.0458478686201	2.7362196270784	0.497795617077623	5.49667279744597	3.87023845685451e-08	1.35411339045088e-06
"CaT2T12g01346-mRNA"	60.2760365253824	1.19507239469918	0.330884693801997	3.61174879674042	0.000304139104264365	0.0035833267062749
"CaT2T10g00332-mRNA"	101.086267226839	1.08340352062954	0.23521667095843	4.60598101407962	4.10525847067397e-06	9.26309235080012e-05
"CaT2T06g01800-mRNA"	140.131198999874	1.0730071441504	0.214808425297203	4.99518183546951	5.87803568750818e-07	1.57269301583423e-05
"CaT2T03g00980-mRNA"	209.754204246273	1.04777023771803	0.205895969668889	5.08883315881801	3.60273399132527e-07	1.02249021849041e-05
"CaT2T03g03270-mRNA"	147.381939368633	2.12477327678456	0.234816133908526	9.04866817035782	1.44722651378838e-19	1.98522722732685e-17
"CaT2T02g00623-mRNA"	32.113318605034	1.29173148344952	0.403865288097875	3.19842165572911	0.00138182073398619	0.0122393758216364
"CaT2T07g02680-mRNA"	135.611043701905	1.04234427330512	0.23788744378731	4.38166998943019	1.17773103428403e-05	0.000231843999960878
"CaT2T05g01183-mRNA"	639.421760670937	1.50410142165507	0.200113140853781	7.51625513066179	5.63675049615634e-14	4.48965878228415e-12
"CaT2T06g01466-mRNA"	1749.02915906953	3.21954378947818	0.182069446271448	17.683053666666	5.6643493279545e-70	1.50573614790869e-66
