""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T12g01890"	608.899335069055	2.18787012084408	0.157865809381142	13.8590498437937	1.12148944329705e-43	2.26395073918376e-39	"Yes"	"Yes"	"No"
"CaT2T03g00739"	2035.14074644235	1.38370493473966	0.102578832965068	13.4891857778384	1.81089363250993e-41	1.8278254879739e-37	"Yes"	"Yes"	"No"
"CaT2T09g02147"	342.079054688695	-2.89961573733553	0.236207043157871	-12.2757378381708	1.22272009683525e-34	8.22768353160437e-31	"Yes"	"No"	"Yes"
"CaT2T07g02693"	2231.77810293149	-1.35619720796942	0.112247446341576	-12.0822099047352	1.31146886586523e-33	6.61865549880534e-30	"Yes"	"No"	"Yes"
"CaT2T03g00919"	7747.62898112137	0.956642807900289	0.0827378187092611	11.5623402069846	6.39420796080525e-31	2.58159752209551e-27	"Yes"	"No"	"No"
"CaT2T02g03196"	8835.64723325886	1.04043267573559	0.0926637831145998	11.2280401335315	2.96993120304189e-29	9.99233353263444e-26	"Yes"	"Yes"	"No"
"CaT2T03g04445"	385.523292475177	1.86317041811624	0.168600125033344	11.0508246524003	2.17210351664287e-28	6.26403624149567e-25	"Yes"	"Yes"	"No"
"CaT2T03g00718"	454.711199018962	1.59890863002317	0.146686064696824	10.9002080963032	1.14993989843464e-27	2.90172959121252e-24	"Yes"	"Yes"	"No"
"CaT2T03g00600"	7229.71641392833	1.16040412339189	0.109087636478074	10.6373569073075	1.99714311075985e-26	4.47959199743434e-23	"Yes"	"Yes"	"No"
"CaT2T05g01932"	152.692229227674	2.49194524508894	0.234587097856045	10.6226867029922	2.33735270990117e-26	4.71841391547748e-23	"Yes"	"Yes"	"No"
"CaT2T01g03414"	1586.9523352523	1.20105812037488	0.114109459753503	10.5254912517277	6.5916698913594e-26	1.20969127360793e-22	"Yes"	"Yes"	"No"
"CaT2T08g02714"	927.557336583258	1.39703400009841	0.133876172292729	10.4352699675616	1.71126625640976e-25	2.87877765984532e-22	"Yes"	"Yes"	"No"
"CaT2T03g02371"	6879.6378108604	1.37041933440631	0.133205317371767	10.2880227414764	7.97981409365186e-25	1.23914236237346e-21	"Yes"	"Yes"	"No"
"CaT2T10g03283"	1597.01388916044	1.38925070247257	0.13516590416149	10.278114966129	8.84403780040682e-25	1.27524707912009e-21	"Yes"	"Yes"	"No"
"CaT2T08g02671"	1736.72658617591	-0.988051295528209	0.0976018644236644	-10.1232830065554	4.35555849048693e-24	5.49535370296622e-21	"Yes"	"No"	"No"
"CaT2T07g02514"	3194.41248520472	1.14705984407156	0.113292917253232	10.1247268750937	4.29175246233719e-24	5.49535370296622e-21	"Yes"	"Yes"	"No"
"CaT2T02g02739"	5550.9498681368	1.32188316018237	0.130857245863492	10.1017192548996	5.42820708462879e-24	6.44583625984714e-21	"Yes"	"Yes"	"No"
"CaT2T03g02470"	433.447469730858	1.87401111521492	0.185650764037258	10.0942817280237	5.85581855804595e-24	6.56730051284853e-21	"Yes"	"Yes"	"No"
"CaT2T05g00354"	251.096069588853	2.71296062578997	0.269637666993204	10.0615045963083	8.17394374121187e-24	8.68460012125495e-21	"Yes"	"Yes"	"No"
"CaT2T02g03256"	17329.3825031755	1.11259121859601	0.111506283686286	9.97783426919865	1.90581063629146e-23	1.92362996574078e-20	"Yes"	"Yes"	"No"
"CaT2T05g03221"	3145.55935956362	1.02330732014012	0.104413312494114	9.80054454452636	1.11980313552437e-22	1.07645075699192e-19	"Yes"	"Yes"	"No"
"CaT2T07g00518"	4145.35871637124	0.882032701692717	0.0903584600427656	9.76148443958941	1.6472617879628e-22	1.51151244152751e-19	"Yes"	"No"	"No"
"CaT2T07g03027"	2291.89286816021	-0.974989299182808	0.0999898355087615	-9.75088411959009	1.82868635398717e-22	1.60503006208431e-19	"Yes"	"No"	"No"
"CaT2T02g01867"	9465.62807891708	1.13638152380909	0.117595608860024	9.66346902597137	4.31016057160637e-22	3.6253838107924e-19	"Yes"	"Yes"	"No"
"CaT2T04g02662"	1693.26003730189	1.09691546933217	0.11372371345905	9.64544188690384	5.1389384672397e-22	4.14959003352672e-19	"Yes"	"Yes"	"No"
"CaT2T07g03297"	4903.00813156159	-1.01334725521229	0.105170478535789	-9.63528234653278	5.67358101086437e-22	4.40509922562765e-19	"Yes"	"No"	"Yes"
"CaT2T07g00196"	5309.59456090123	1.07143608935442	0.112007276624398	9.56577216806498	1.1136699570351e-21	8.32653904543241e-19	"Yes"	"Yes"	"No"
"CaT2T04g01311"	2460.70699088553	1.23866542190227	0.130293459726452	9.50673521528103	1.96740178047843e-21	1.41842641937565e-18	"Yes"	"Yes"	"No"
"CaT2T03g00484"	1086.27664618241	0.956413566406433	0.100687394218817	9.49884117894562	2.12238909686195e-21	1.4774023689087e-18	"Yes"	"No"	"No"
"CaT2T07g00210"	15350.5338752747	-1.12577779630367	0.119078356976525	-9.45409245548796	3.25836172279503e-21	2.19255160326877e-18	"Yes"	"No"	"Yes"
"CaT2T02g03074"	10775.9832937874	1.02483420372344	0.108631207125553	9.4340680808137	3.94485248946165e-21	2.48858553764882e-18	"Yes"	"Yes"	"No"
"CaT2T08g02820"	5635.71238427954	0.955260173220489	0.10124936654564	9.43472740434271	3.92012227172422e-21	2.48858553764882e-18	"Yes"	"No"	"No"
"CaT2T03g02394"	7493.19003824918	0.90669110644294	0.096924471624703	9.35461490008116	8.3904809788397e-21	5.13268604605567e-18	"Yes"	"No"	"No"
