""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T01g05747"	1257.53126581265	3.53729456733555	0.292992152016473	12.073001078666	1.4668550794567e-33	1.2956730916841e-29	"Yes"	"Yes"	"No"
"CaT2T10g01820"	2255.92323334311	3.89071354196776	0.32089059573971	12.1247353260664	7.811214962446e-34	1.2956730916841e-29	"Yes"	"Yes"	"No"
"CaT2T09g01511"	1421.53775437647	5.45039175965414	0.456448325429686	11.9408736016795	7.24581301862395e-33	3.20011331967527e-29	"Yes"	"Yes"	"No"
"CaT2T02g03911"	1037.0541780088	4.13238440713074	0.34600628888592	11.9430904577957	7.05521466705838e-33	3.20011331967527e-29	"Yes"	"Yes"	"No"
"CaT2T04g00970"	579.305618754016	-4.39392693808325	0.369638896184503	-11.8870794806455	1.38153378461679e-32	4.88123516780804e-29	"Yes"	"No"	"Yes"
"CaT2T08g01398"	530.425775164197	4.42777039739087	0.379534172486802	11.666328669113	1.89422610105408e-31	5.57723305020355e-28	"Yes"	"Yes"	"No"
"CaT2T03g00718"	2183.0905244529	2.34131042489313	0.202071816665255	11.5865263327229	4.82298171853872e-31	1.2171827862815e-27	"Yes"	"Yes"	"No"
"CaT2T07g02070"	325.334278560062	2.84950014662149	0.248984536827766	11.444486404361	2.50584093902118e-30	5.53352325359352e-27	"Yes"	"Yes"	"No"
"CaT2T05g01264"	335.432862528643	4.51126049637371	0.396967598732756	11.3643040660624	6.29642576097929e-30	1.235918416594e-26	"Yes"	"Yes"	"No"
"CaT2T05g00576"	2346.71775626108	2.74147031641102	0.244682889435311	11.2041766497767	3.88953364065535e-29	6.87125012958174e-26	"Yes"	"Yes"	"No"
"CaT2T01g00311"	999.021943252934	3.67539724364731	0.329247142342343	11.1630346052502	6.18438672737912e-29	9.93212508417087e-26	"Yes"	"Yes"	"No"
"CaT2T01g03698"	1546.44704709788	2.1142819370464	0.190655552680229	11.0895376889049	1.41014642735938e-28	2.07597056547757e-25	"Yes"	"Yes"	"No"
"CaT2T12g01807"	1836.08947193598	4.41958304362165	0.400821223279636	11.0263199325109	2.85301997857123e-28	3.87703468780303e-25	"Yes"	"Yes"	"No"
"CaT2T02g00830"	3237.9710948286	4.43826601580966	0.403936232197079	10.9875412553837	4.38714864471815e-28	5.53595485411363e-25	"Yes"	"Yes"	"No"
"CaT2T03g02046"	313.891049621907	3.87601796470119	0.355411432026654	10.905721131701	1.08231663192027e-27	1.27468037463357e-24	"Yes"	"Yes"	"No"
"CaT2T11g00467"	923.547937324964	4.90965429761557	0.453590930404429	10.8239692827148	2.65044361983862e-27	2.92642106175431e-24	"Yes"	"Yes"	"No"
"CaT2T07g00837"	5149.72168252207	-2.97809802106556	0.275845049757012	-10.7962713983409	3.58466357380065e-27	3.72509804086837e-24	"Yes"	"No"	"Yes"
"CaT2T03g00420"	220.647608268563	4.13023658241532	0.383770791923624	10.7622483767271	5.18884865362485e-27	5.09256668416315e-24	"Yes"	"Yes"	"No"
"CaT2T05g01149"	248.602771903281	5.22509177194368	0.492099789471742	10.6179516507266	2.45897600873092e-26	2.28633000896003e-23	"Yes"	"Yes"	"No"
"CaT2T10g02625"	780.210228658011	3.26537658303925	0.308796412133472	10.5745288958469	3.91138274126295e-26	3.45492437535756e-23	"Yes"	"Yes"	"No"
"CaT2T03g01206"	371.3526011507	5.29425366367195	0.500927105297766	10.5689103418049	4.15291746413361e-26	3.49359237720878e-23	"Yes"	"Yes"	"No"
"CaT2T03g00944"	345.776295014051	5.28449871282812	0.501681422541702	10.5335746459474	6.04927193070059e-26	4.85756536035257e-23	"Yes"	"Yes"	"No"
"CaT2T03g04518"	336.599040724973	3.84586387690142	0.365477525155886	10.5228464466072	6.77939626741571e-26	5.20716584609417e-23	"Yes"	"Yes"	"No"
"CaT2T09g02122"	804.567798353751	4.52162460552738	0.436216823775141	10.3655438284017	3.55729144025681e-25	2.61846294098237e-22	"Yes"	"Yes"	"No"
"CaT2T09g00297"	647.355468636936	4.43752283896844	0.429153160311986	10.3401844594187	4.6364422655401e-25	3.27629556252125e-22	"Yes"	"Yes"	"No"
"CaT2T02g00953"	246.966001470223	3.79357040690508	0.367103023056403	10.3338032340916	4.95559022119399e-25	3.36713295567743e-22	"Yes"	"Yes"	"No"
"CaT2T06g00498"	591.033360666465	3.0084882903055	0.291383299054877	10.3248480611749	5.44048712512378e-25	3.55969057601618e-22	"Yes"	"Yes"	"No"
"CaT2T10g02075"	5727.89191399541	2.62147315982902	0.255136657749118	10.2747805154945	9.1552588052437e-25	5.77631435905126e-22	"Yes"	"Yes"	"No"
"CaT2T10g00523"	515.906261939599	3.85768742971587	0.375958931579733	10.2609277388526	1.05686431068829e-24	6.4381258319377e-22	"Yes"	"Yes"	"No"
"CaT2T12g02364"	268.289052814967	3.98296414505711	0.388865002834238	10.2425369113377	1.27839511238739e-24	7.52804268514522e-22	"Yes"	"Yes"	"No"
"CaT2T11g00978"	192.70887449931	3.91960829495516	0.383272722477725	10.2266821119339	1.50590497744057e-24	8.58171526821456e-22	"Yes"	"Yes"	"No"
"CaT2T06g01866"	180.921255213336	3.03085597563909	0.296656219072122	10.2167282557533	1.66878431233936e-24	9.2127323943085e-22	"Yes"	"Yes"	"No"
