""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T03g00081"	7941.47879399905	3.79813117582424	0.0496432383076714	76.5085297676344	0	0	"Yes"	"Yes"	"No"
"CaT2T12g00040"	5726.86160199051	4.50070678450885	0.0572678290011193	78.5904907347	0	0	"Yes"	"Yes"	"No"
"CaT2T03g02872"	2962.86477721963	2.48926174731307	0.0543779997663638	45.7770009564205	0	0	"Yes"	"Yes"	"No"
"CaT2T08g01391"	1985.69617580463	-3.05660530224336	0.073396207384644	-41.6452758413627	0	0	"Yes"	"No"	"Yes"
"CaT2T01g00461"	5598.99761839297	4.53181881095868	0.0584705700850158	77.5059795786059	0	0	"Yes"	"Yes"	"No"
"CaT2T07g02919"	2336.8464959121	-3.05390848499283	0.0684372826079263	-44.6234620753211	0	0	"Yes"	"No"	"Yes"
"CaT2T07g02914"	22574.19805321	5.93567453354305	0.0478951469264813	123.930604966183	0	0	"Yes"	"Yes"	"No"
"CaT2T01g05038"	7999.92296572423	8.36238831688037	0.13718947857879	60.9550266063424	0	0	"Yes"	"Yes"	"No"
"CaT2T01g05037"	3370.08285211549	7.62738621610321	0.163550987195766	46.6361368211948	0	0	"Yes"	"Yes"	"No"
"CaT2T01g02486"	1974.24458312149	3.381750822664	0.0818787968383609	41.3019115234436	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00231"	3736.85480539857	5.68881037165343	0.0892773460172465	63.7206483552331	0	0	"Yes"	"Yes"	"No"
"CaT2T12g00634"	4400.13624883261	3.68104096832924	0.0562468321178784	65.4444140181043	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00740"	3571.10600256916	2.42562515409545	0.0544225703159592	44.5702057071742	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03050"	4268.91614252243	-2.60287298201408	0.0537816750045984	-48.3970233688618	0	0	"Yes"	"No"	"Yes"
"CaT2T10g01104"	6635.34502546559	9.64505327822485	0.228832184557523	42.1490241719049	0	0	"Yes"	"Yes"	"No"
"CaT2T07g00196"	6029.38450435233	2.80943704539485	0.044610126729096	62.9775625264579	0	0	"Yes"	"Yes"	"No"
"CaT2T11g01582"	1852.83788267614	-2.53593571469036	0.0632733841870133	-40.0790276555313	0	0	"Yes"	"No"	"Yes"
"CaT2T01g03743"	3369.64646502003	4.46359870541166	0.0746844180515064	59.7661308993975	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00952"	1527.26914790682	3.45285277545845	0.0856576236274577	40.3099295688566	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04084"	1238.51781364407	3.50169938252254	0.0912829659659063	38.3609290678658	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00188"	4853.33710987252	-2.43445353466123	0.0469231162824153	-51.8817531216177	0	0	"Yes"	"No"	"Yes"
"CaT2T01g05074"	3444.24891722744	4.12622541022272	0.0703683779250541	58.6374950210925	0	0	"Yes"	"Yes"	"No"
"CaT2T07g02785"	2507.81921166147	-2.36667168758602	0.0544059367764766	-43.5002469915984	0	0	"Yes"	"No"	"Yes"
"CaT2T02g02460"	3111.86438333213	-3.41435567406487	0.0571643464100143	-59.728762567759	0	0	"Yes"	"No"	"Yes"
"CaT2T02g02461"	4459.84749858863	-2.05404545633302	0.0458642105862808	-44.785365976569	0	0	"Yes"	"No"	"Yes"
"CaT2T07g00548"	2974.07013267817	2.31921135824806	0.0593863876944572	39.0529117578324	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02254"	1475.51623391002	5.72100533479632	0.13684934935432	41.8051336143653	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02344"	3692.17238637041	-4.03748960012763	0.0603215955701853	-66.9327387971682	0	0	"Yes"	"No"	"Yes"
"CaT2T04g00395"	3096.30836063648	3.29033778942521	0.0654206279295004	50.2951117034676	0	0	"Yes"	"Yes"	"No"
"CaT2T02g01879"	1871.32449632302	3.69819846676842	0.0817725136165292	45.2254468305947	0	0	"Yes"	"Yes"	"No"
"CaT2T06g01276"	1392.27914527185	3.77476744941112	0.0939922980942711	40.1603910740128	0	0	"Yes"	"Yes"	"No"
"CaT2T12g01875"	5214.19753769664	4.08388237069095	0.0554697291952929	73.6236219274259	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00774"	2205.09894169962	2.69086165460662	0.0626449655703804	42.9541564929665	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00604"	1804.72938870235	-2.9076201820994	0.0683101556839016	-42.5649766566794	0	0	"Yes"	"No"	"Yes"
"CaT2T06g03749"	5579.94282709888	2.64892519322325	0.0464907335709775	56.9774875498388	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00108"	11818.8224094501	3.37427477476577	0.0406212946117481	83.0666478509991	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02430"	5358.05451782145	2.60627777455258	0.0516052422005071	50.5041283291753	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00739"	18389.8723075239	4.42911827940767	0.0417842081712842	105.999813643747	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01914"	6598.45968486308	1.91163581305803	0.0444599868490315	42.9967696470354	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01915"	7854.87625332492	7.43878586785982	0.103734840062429	71.7096190959861	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01916"	8227.13161374455	7.49950138516879	0.103489336324037	72.4664168459542	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04139"	4439.87283348671	5.71371745398945	0.0848576493340823	67.3329687874655	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02441"	4432.55590966012	2.16292135350218	0.0502125423955677	43.0753204341453	0	0	"Yes"	"Yes"	"No"
"CaT2T02g00994"	1593.2982399251	3.39727140755632	0.0790679746329871	42.9664655421562	0	0	"Yes"	"Yes"	"No"
"CaT2T05g03262"	6823.16945139154	-3.60018626323527	0.0475944113270383	-75.6430463756993	0	0	"Yes"	"No"	"Yes"
"CaT2T05g03263"	1638.79025769112	6.54420282642764	0.165894969041303	39.4478679145377	0	0	"Yes"	"Yes"	"No"
"CaT2T05g03261"	5648.20440467856	-3.5965733665016	0.0485549564314273	-74.0722190036549	0	0	"Yes"	"No"	"Yes"
"CaT2T05g03269"	2132.31823848281	3.16271542949912	0.0758949322384735	41.6722874138867	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02221"	1717.22456607997	3.06972504471685	0.0759589413526197	40.4129519192013	0	0	"Yes"	"Yes"	"No"
"CaT2T11g02082"	12552.1410178449	-1.64289311823437	0.0395601677615243	-41.5289724790356	0	0	"Yes"	"No"	"Yes"
"CaT2T03g00435"	7863.25214170615	-4.16342772169403	0.0453818419461173	-91.7421493520986	0	0	"Yes"	"No"	"Yes"
"CaT2T12g01726"	3014.28922309583	-2.98355335107333	0.0535794923627127	-55.6846140100734	0	0	"Yes"	"No"	"Yes"
"CaT2T07g02368"	1727.35738499682	-3.55560116254532	0.0735080717060476	-48.3702140462052	0	0	"Yes"	"No"	"Yes"
"CaT2T03g04518"	2471.88021852496	6.39360386725938	0.130445986101012	49.0134197177094	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04510"	4527.63081947438	2.02823543900445	0.046088252796411	44.0076443766249	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00401"	3079.37119509056	6.70287410375011	0.12858384265667	52.1284320429542	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01316"	1042.99015413354	3.78235084445856	0.100599468269626	37.5981196473238	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01626"	5469.8146291208	1.99596961520194	0.0447262857790544	44.626321645887	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04000"	2018.66846064582	-4.05963256309043	0.0803640907565694	-50.5155041869067	0	0	"Yes"	"No"	"Yes"
"CaT2T02g02379"	1289.18891897935	4.82291936740622	0.11534459791732	41.8131360678314	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01812"	29194.5986645112	-2.17985682418636	0.0376787418392146	-57.853758320498	0	0	"Yes"	"No"	"Yes"
"CaT2T01g00264"	1373.12077294694	4.55931064363194	0.108110424765149	42.1727197311106	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04218"	2736.38684002112	2.53155416588422	0.0578212131627223	43.7824463966165	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04204"	11226.7383544673	4.80022802804246	0.0478468805444106	100.324785512129	0	0	"Yes"	"Yes"	"No"
"CaT2T01g02118"	4278.93112742273	4.93728930495548	0.0697041113526056	70.8321103181372	0	0	"Yes"	"Yes"	"No"
"CaT2T06g00498"	1418.27517560356	4.95738070806949	0.113385219103543	43.7215780616202	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03523"	2343.23048581513	2.77934761662193	0.0615461602402849	45.158749234249	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00991"	2973.03080349676	2.71488931810776	0.0559870123147395	48.4914126663091	0	0	"Yes"	"Yes"	"No"
"CaT2T03g05059"	45540.6373962599	-1.87596474521415	0.0293581031867052	-63.8993852322067	0	0	"Yes"	"No"	"Yes"
"CaT2T12g00225"	3830.79145665401	-2.81634947881163	0.0545033863465332	-51.672926539009	0	0	"Yes"	"No"	"Yes"
"CaT2T05g01932"	1697.13262649246	5.15800571806806	0.109672673258366	47.0309108442802	0	0	"Yes"	"Yes"	"No"
"CaT2T09g01635"	3264.31025412068	8.27557920970464	0.205003857640246	40.3679194380194	0	0	"Yes"	"Yes"	"No"
"CaT2T06g01864"	6101.62816911252	4.16247260875975	0.0528513053544891	78.7581797808179	0	0	"Yes"	"Yes"	"No"
"CaT2T05g00424"	3276.58403989608	5.49090197558243	0.0917394092330125	59.8532519610616	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02140"	4032.55848546721	3.93475179283759	0.0604442388823825	65.0972179580946	0	0	"Yes"	"Yes"	"No"
"CaT2T12g00723"	9205.667376364	3.71110579818292	0.0428267980306456	86.6538235131976	0	0	"Yes"	"Yes"	"No"
"CaT2T10g01057"	1312.74475890092	4.92725999023222	0.118789837688239	41.4788005954152	0	0	"Yes"	"Yes"	"No"
"CaT2T08g00451"	1916.13412009973	3.0842331665395	0.0706106623859042	43.6794254907768	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00158"	4079.89684275247	4.42404599107859	0.0669979545059564	66.0325531383987	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00155"	3292.19664744851	1.97170006058693	0.0518135453988883	38.053756897115	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00153"	22580.8342230884	1.78819058206036	0.0318192179986914	56.1984452959814	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02606"	2237.61226941885	2.8304550099613	0.0647609787498825	43.7061802430903	0	0	"Yes"	"Yes"	"No"
"CaT2T09g03138"	5840.48363102499	2.34286451308328	0.044165922482458	53.0468827864702	0	0	"Yes"	"Yes"	"No"
"CaT2T01g03698"	1256.59766047024	4.28856124859971	0.103838142455259	41.3004426619779	0	0	"Yes"	"Yes"	"No"
"CaT2T01g01528"	10364.3760890121	4.62302469030566	0.0488873791632731	94.5647888970644	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03566"	1516.45703835974	3.01000122030169	0.0773958180518954	38.8910059492287	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03569"	1093.7852260566	-4.94510268387195	0.115854707491616	-42.6836577549495	0	0	"Yes"	"No"	"Yes"
"CaT2T05g00576"	2835.68807160365	4.98535541655846	0.084516332908344	58.9868874453528	0	0	"Yes"	"Yes"	"No"
"CaT2T01g01652"	1858.52081543072	2.97744836746072	0.0715981518724904	41.5855478052462	0	0	"Yes"	"Yes"	"No"
"CaT2T08g00325"	2304.89678241317	4.04879171457672	0.0766444881022731	52.8256084008818	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04980"	4368.73161030551	-3.52939806606636	0.0603323619346107	-58.4992523563321	0	0	"Yes"	"No"	"Yes"
"CaT2T03g01737"	4609.50383103453	6.80730162252408	0.110248328067918	61.7451687641961	0	0	"Yes"	"Yes"	"No"
"CaT2T08g00689"	16122.6197635946	4.79417868831988	0.0427951023862205	112.026339954816	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01751"	2474.12042912491	2.63649519047415	0.0627412928704997	42.0216904984086	0	0	"Yes"	"Yes"	"No"
"CaT2T05g01645"	17943.6505231928	2.46373359366793	0.0337915593419292	72.9097337219028	0	0	"Yes"	"Yes"	"No"
"CaT2T01g03612"	2750.53427491532	5.24477091667399	0.0922753963676653	56.8382377440737	0	0	"Yes"	"Yes"	"No"
"CaT2T02g02686"	4876.50213237439	4.66713967687426	0.0645802536260815	72.2688347416056	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03225"	20655.8770536772	4.08475562710196	0.038049614826424	107.353402806728	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02721"	4146.89158719267	2.78784874935904	0.0544891790680703	51.1633465036487	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01125"	3457.64128324258	3.36000737392157	0.0563333205531892	59.6451148436935	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01127"	2595.07621054497	2.66288307618636	0.0579482105648535	45.95280941775	0	0	"Yes"	"Yes"	"No"
"CaT2T07g03166"	12447.8318433468	-3.44479327630361	0.0410809226472007	-83.8538439335257	0	0	"Yes"	"No"	"Yes"
"CaT2T07g03165"	2859.65393905532	-4.75608612572486	0.0717545806102191	-66.2826830744171	0	0	"Yes"	"No"	"Yes"
"CaT2T02g00272"	1570.87878296098	-2.87890146654617	0.0750045468195113	-38.383025944732	0	0	"Yes"	"No"	"Yes"
"CaT2T09g01352"	1988.32875929656	2.73796866855813	0.066208943698777	41.3534564305201	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01197"	3065.39312580825	4.89433871107903	0.0810351846063416	60.397699281554	0	0	"Yes"	"Yes"	"No"
"CaT2T01g04485"	893.374850070858	-4.15613665491956	0.107726823276683	-38.5803324418564	0	0	"Yes"	"No"	"Yes"
"CaT2T12g00029"	3467.7631754552	4.72371758996709	0.0739164151413081	63.90620514992	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03412"	3188.16327654449	4.16566776006277	0.0679374121147166	61.316256100965	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03411"	2905.16097143102	4.31119971359154	0.0711364241503651	60.6046728533713	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00351"	2939.80679117041	5.47922134195862	0.0954943424695305	57.377444571723	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02507"	1143.64343573089	3.62073050236773	0.0937555097552588	38.6188557005274	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02918"	2213.03140398303	3.80002616681988	0.0740412204390655	51.3231162896244	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00960"	2116.40491676491	3.65897559561875	0.076752198403614	47.6725836096242	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02984"	3072.51965070868	3.09678198829285	0.0595644215536967	51.9904652394068	0	0	"Yes"	"Yes"	"No"
"CaT2T02g02032"	4352.03685678656	-2.2715760897893	0.0515219880532598	-44.089449487879	0	0	"Yes"	"No"	"Yes"
"CaT2T02g02853"	1151.08693013211	4.67294348235532	0.117567682964409	39.7468365840804	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03589"	1274.67955986385	3.80173099419737	0.0974349324980919	39.0181518755794	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03650"	1692.29113262404	3.22687852668507	0.0765810609598363	42.1367696691671	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03654"	8410.98561919025	-3.92766179687987	0.0438495602448908	-89.5712927323485	0	0	"Yes"	"No"	"Yes"
"CaT2T02g01792"	10784.4299957985	-3.65712400599188	0.0408042246422796	-89.6261119541659	0	0	"Yes"	"No"	"Yes"
"CaT2T02g01791"	3757.12762031231	-3.57665912544727	0.0570491258816373	-62.6943720902569	0	0	"Yes"	"No"	"Yes"
"CaT2T02g01790"	3575.41733322444	-3.34617149971055	0.0586922608069952	-57.0121418684853	0	0	"Yes"	"No"	"Yes"
"CaT2T03g03093"	2956.38699722107	-4.01261103862772	0.0698084933483441	-57.4802698950228	0	0	"Yes"	"No"	"Yes"
"CaT2T01g06029"	5940.50740028474	-4.41164454186182	0.0588827670939818	-74.9225072052145	0	0	"Yes"	"No"	"Yes"
"CaT2T02g04160"	5257.07473055489	3.53159990322529	0.0588405967316996	60.0197839482936	0	0	"Yes"	"Yes"	"No"
"CaT2T02g01856"	1119.23318089864	4.79245893382168	0.122384940477179	39.1588941836789	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01510"	2754.84528672692	2.80167503518705	0.0612025142895426	45.7771231739373	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00012"	4505.98857663542	2.78429022696077	0.0547691683714976	50.8368176795202	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04431"	1462.15606515754	2.93096190433723	0.0767419330838067	38.192442991193	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01311"	10605.5320159958	3.61482606054281	0.0484895531902723	74.54855371338	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01313"	11081.34159601	5.36851547296406	0.110476810900287	48.5940481917921	0	0	"Yes"	"Yes"	"No"
"CaT2T08g02248"	4708.54978549232	-2.99519345893672	0.0506831742104863	-59.0964063635348	0	0	"Yes"	"No"	"Yes"
"CaT2T11g02351"	7994.97587395651	2.50274754563537	0.0409255715906684	61.1536369159968	0	0	"Yes"	"Yes"	"No"
"CaT2T06g03207"	1631.0534018861	2.99153630805577	0.0751470736678795	39.8090858637714	0	0	"Yes"	"Yes"	"No"
"CaT2T11g02393"	2328.61382884661	4.01982765836105	0.0829357705378412	48.4691663475522	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00813"	9493.04380167139	-4.43245217293266	0.0488538062551079	-90.728901444997	0	0	"Yes"	"No"	"Yes"
"CaT2T06g00761"	3062.79021035418	3.26258271199145	0.0650908575808453	50.1235170843954	0	0	"Yes"	"Yes"	"No"
"CaT2T06g00762"	1043.07052298764	4.75926239833707	0.12505683897346	38.0567943137208	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04115"	3071.28513231761	3.23072079475239	0.060666864203483	53.2534660752568	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00798"	1897.96719949998	3.88881808935482	0.0818724981538578	47.4984662376713	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03897"	2456.76084180301	3.20112427433754	0.0690878259836108	46.3341294759646	0	0	"Yes"	"Yes"	"No"
"CaT2T10g02559"	2767.04682738499	3.21310821696491	0.0627792436407606	51.1810597042417	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00543"	2085.7110180362	3.54371408674136	0.078417433304131	45.1903860841449	0	0	"Yes"	"Yes"	"No"
"CaT2T02g04044"	14202.5825686274	3.73098603763286	0.0399043301087963	93.4982751861915	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01600"	13420.2009676742	-1.76195632949732	0.0388058472215421	-45.4044030900378	0	0	"Yes"	"No"	"Yes"
"CaT2T05g01955"	5737.76837230741	3.08385095416574	0.0510634842490704	60.3924898489841	0	0	"Yes"	"Yes"	"No"
"CaT2T09g01511"	3292.39581169226	7.41503229974512	0.154731055535405	47.9220688703209	0	0	"Yes"	"Yes"	"No"
"CaT2T01g05041"	2456.44187634632	6.42476446018033	0.132804348302063	48.3776664116991	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00919"	6398.02645315473	1.9529746906617	0.0411237080062828	47.4902382431887	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00918"	3863.25311194352	2.28088002329626	0.0522758825172308	43.631592877355	0	0	"Yes"	"Yes"	"No"
"CaT2T03g01636"	1393.9820944403	5.58500114619241	0.135882083806299	41.1018214450837	0	0	"Yes"	"Yes"	"No"
"CaT2T09g03099"	5967.59842577455	2.07253262371731	0.0466436275985074	44.433349857712	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01833"	15691.5490456517	5.01694719269778	0.0475176683560528	105.580668544287	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02056"	1074.33913059437	-3.30797796213611	0.0858736783026395	-38.5214425132461	0	0	"Yes"	"No"	"Yes"
"CaT2T12g02053"	1459.16677457473	5.42059545361685	0.127682967658575	42.4535515818489	0	0	"Yes"	"Yes"	"No"
"CaT2T11g00467"	1682.51526355119	2.70173595569921	0.0711468126707114	37.9740968608622	0	0	"Yes"	"Yes"	"No"
"CaT2T11g01597"	1300.32600629578	5.27584013499489	0.131226026008269	40.2042208811721	0	0	"Yes"	"Yes"	"No"
"CaT2T04g00450"	2381.21486808812	2.67323690659734	0.0645309885782188	41.425630778259	0	0	"Yes"	"Yes"	"No"
"CaT2T01g05587"	1781.54067164678	4.69157915723823	0.0989582046056867	47.4097036817968	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02124"	1473.99127783751	4.10953958594165	0.0945370355298948	43.4701549811356	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03665"	1620.56063526127	3.59594206585254	0.0876095142053784	41.045109066839	0	0	"Yes"	"Yes"	"No"
"CaT2T09g00227"	6410.30566244196	4.68961161671007	0.0570551529220116	82.1943571533369	0	0	"Yes"	"Yes"	"No"
"CaT2T06g01693"	1816.37276593008	6.97403600720785	0.180539337651382	38.6288999280288	0	0	"Yes"	"Yes"	"No"
"CaT2T02g00348"	1542.67506843763	4.97867715272872	0.111404941067369	44.6899132572408	0	0	"Yes"	"Yes"	"No"
