""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T05g00252"	168.387156167526	-1.76946731871482	0.20857766056767	-8.48349393649826	2.18530610465116e-17	9.05242463346243e-17
"CaT2T05g00251"	65.9545091523445	-3.13399030993449	0.342035320999875	-9.16276804621482	5.05828521191647e-20	2.29359745713258e-19
"CaT2T11g01315"	39.8704417819037	-2.16619632202866	0.372754048268124	-5.81132876247263	6.19789095433759e-09	1.80603728316981e-08
"CaT2T04g00258"	51.6662570230739	-1.83370673694164	0.352391527305198	-5.20360620178451	1.95457967679757e-07	5.22065046094578e-07
"CaT2T03g04738"	97.5807092340129	-1.40330143226929	0.250526663215007	-5.60140551213485	2.12620677784205e-08	6.00408083189089e-08
"CaT2T02g02455"	141.20490383069	-1.62648038737448	0.19971789244414	-8.14388920025981	3.82779520077634e-16	1.52240912048212e-15
"CaT2T05g02960"	114.069258484397	-1.61401288385529	0.217992905266218	-7.40396978463231	1.32172510313028e-13	4.82791328715549e-13
"CaT2T03g03173"	914.511113232244	-1.96471769963157	0.0868943139615266	-22.6104288078214	3.42198530350598e-113	5.4193736191417e-112
"CaT2T05g00137"	113.975103102624	-4.52303692533629	0.309659800335573	-14.606471102916	2.55408988992867e-48	2.03738895826339e-47
"CaT2T11g02059"	99.8100984649253	-3.19141519350144	0.267648519947334	-11.9239037605343	8.88458173273176e-33	5.43769582208374e-32
"CaT2T02g00016"	18.0554471870294	-1.72915748591104	0.5158339861191	-3.35215889693588	0.000801839831187851	0.00156989547748832
"CaT2T09g00779"	182.368425772923	-1.62870579490344	0.166488864379385	-9.78267105715877	1.33636365255954e-22	6.4600881861286e-22
"CaT2T07g03173"	25.0797499944995	-1.25462834918373	0.473039911366533	-2.65226742825847	0.00799531878699514	0.013702528135882
"CaT2T01g00292"	270.311477550784	-2.40968187431022	0.167346442811892	-14.3993611923909	5.22239785339939e-47	4.08250053659053e-46
"CaT2T01g00293"	47.9532728132099	-1.69244480563748	0.347047390415375	-4.87669653303494	1.07877202348044e-06	2.75509398789251e-06
"CaT2T01g00294"	209.062108743692	-2.17650461467031	0.164995952675265	-13.1912606302166	9.85237774165225e-40	6.87083561732626e-39
"CaT2T06g02357"	34.5001919029254	-1.64755798708934	0.40077166830128	-4.11096421579078	3.94010267661001e-05	8.81206100026523e-05
"CaT2T01g00744"	11.8169273775852	-2.27252508704661	0.693464493561256	-3.27706048131773	0.00104893897867675	0.00202346557578684
"CaT2T02g01053"	102.010930243261	-3.03725823394607	0.28930587046099	-10.4984327801797	8.78261144499593e-26	4.61640415443586e-25
"CaT2T06g02359"	50.6651767441056	-2.05179427084988	0.343011369609588	-5.98170921618492	2.20808204274423e-09	6.59979578156168e-09
"CaT2T03g00088"	445.659610768786	-1.01538483908016	0.110323462580021	-9.20370712933046	3.45808902371126e-20	1.57423670709871e-19
"CaT2T01g05432"	95.1408612631412	-1.04096539676777	0.218504381503973	-4.76404816051179	1.8974718542435e-06	4.75144555042829e-06
"CaT2T08g00620"	32.105214963874	-1.41087915354583	0.413834149374704	-3.40928643921156	0.000651330520890483	0.00128938435191381
"CaT2T08g00621"	280.995187810909	-3.92927203605773	0.176192848021722	-22.3009735081489	3.61549264270071e-110	5.58605786673161e-109
"CaT2T09g02192"	237.838137632986	-1.56980105250782	0.150291394263996	-10.4450494999758	1.54374833538539e-25	8.0681949589974e-25
"CaT2T09g02197"	85.1790093320541	-1.75731298010836	0.252982264737434	-6.94638804792203	3.74757062207413e-12	1.28070487373246e-11
"CaT2T06g01648"	795.63915796456	-1.12772311468286	0.0863186722679925	-13.0646485291344	5.24261997572361e-39	3.61081762305467e-38
"CaT2T04g01387"	33.5518384976213	-1.36411665046568	0.383003297426203	-3.56163160900335	0.000368557280779121	0.00074917813016376
"CaT2T02g00863"	375.065247552091	-1.26524108880607	0.129924461872388	-9.73828231090762	2.07024001440608e-22	9.9608799130083e-22
"CaT2T09g02521"	362.001885805803	-1.13521879526582	0.121706819794684	-9.32748712998086	1.08410606121956e-20	5.00597905753084e-20
"CaT2T10g02739"	32.621682459758	-1.66897249801684	0.397152458463863	-4.202347140119	2.64161623647803e-05	6.00530914299656e-05
"CaT2T07g00468"	179.840414638164	-1.44471156023306	0.161723074465906	-8.93324323077738	4.136987858674e-19	1.81878831487332e-18
"CaT2T05g01445"	120.627901989935	-1.17048377367439	0.202278284408182	-5.78650237764743	7.18670701325414e-09	2.08589511746173e-08
"CaT2T12g03824"	76.3322520793828	-1.18552366792477	0.25232687110656	-4.69836471528279	2.62252811889332e-06	6.49352537734884e-06
"CaT2T12g02193"	21.7802628147298	-2.80046904122547	0.52916473885024	-5.2922442400646	1.20824378315607e-07	3.26906170988056e-07
"CaT2T06g02744"	329.669012011554	-1.50486991070381	0.141956152144828	-10.6009488702434	2.94972067836753e-26	1.56706579020075e-25
"CaT2T06g02747"	14.8071848596438	-1.44091069478797	0.591240617820693	-2.43709693034818	0.0148057100275992	0.0243119348324014
"CaT2T10g02485"	171.763043587196	-1.93191879468289	0.174643122975528	-11.0620948696251	1.91570185045342e-28	1.07007630751894e-27
"CaT2T05g00756"	47.8841952114963	-1.93413961916583	0.364992759471306	-5.29911777419213	1.1636356020876e-07	3.15255077141224e-07
"CaT2T05g01334"	9.77177858863574	-1.59005658217068	0.713967395666237	-2.22707170078393	0.0259424821831873	0.0409330577213447
"CaT2T04g00489"	160.35431959856	-2.20074380050733	0.183458312506488	-11.9958794477056	3.7342956145005e-33	2.30551617908364e-32
"CaT2T05g00179"	196.226730788275	-1.16570963146859	0.179959726928548	-6.47761391598152	9.31844174591244e-11	2.98342923855264e-10
"CaT2T05g00176"	425.612098397402	-2.01037018792	0.121990936964169	-16.4796683913533	5.13658214236929e-61	4.8952214549942e-60
"CaT2T01g02501"	60.6398188450636	-2.52064423668708	0.309967957516845	-8.13195098254663	4.22435647109592e-16	1.67613625220418e-15
