""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g04739"	118.290083910823	-1.08846003746946	0.310536761689554	-3.50509238116421	0.00045644886913084	0.0021649057412757
"CaT2T08g00592"	48.7920653792724	-1.0103372274482	0.352438732238116	-2.86670316009872	0.00414771846694258	0.0141577678005491
"CaT2T04g01385"	84.6315934872636	-1.72905631211931	0.323414977700858	-5.34624686961342	8.97967137961227e-08	1.11147408173473e-06
"CaT2T05g00131"	132.855363452967	-1.03420121134487	0.258976746914315	-3.9934133997252	6.51288723638065e-05	0.000398812677121118
"CaT2T05g02960"	40.6430020630373	-2.05617580896128	0.434842941845848	-4.72854819773112	2.26130949639033e-06	1.96252108709872e-05
"CaT2T05g02961"	84.1323110015074	-2.23071662087595	0.376074519050859	-5.93158139643667	3.00030758850523e-09	5.08655870290601e-08
"CaT2T03g03176"	41.292981541041	-1.1230615137294	0.371846187204414	-3.02023135472416	0.002525816678847	0.00930683145624866
"CaT2T03g03177"	44.739301394692	-1.51115822940614	0.388862188958367	-3.88610225502777	0.000101866611798456	0.000590032390162056
"CaT2T02g03432"	41.24447350179	-1.06150809156872	0.41596670277339	-2.5519064013809	0.0107135295774235	0.0310636316994706
"CaT2T02g03436"	97.3841298308391	-1.07308979108663	0.308558703533422	-3.47774922177943	0.000505642750693529	0.00236566584535479
"CaT2T09g01377"	65.1247184675175	-1.83632189014988	0.361112365991456	-5.08518140913881	3.6727485348051e-07	3.89549676125044e-06
"CaT2T07g03178"	171.373314048298	-1.64645825604574	0.24058362012744	-6.84360080363575	7.72269367340878e-12	2.23257645447366e-10
"CaT2T03g00089"	56.6924905847078	-1.89254133236647	0.416323364145213	-4.54584463750238	5.47153865998941e-06	4.34528873300985e-05
"CaT2T03g00086"	168.467552992535	-1.65869407269299	0.304409937668021	-5.44888279732151	5.06871995872822e-08	6.62780623116165e-07
"CaT2T03g00081"	710.613858534567	-3.98946123686676	0.249088817810245	-16.0162197241062	9.84569115731373e-58	3.13806791411482e-54
"CaT2T12g01712"	74.0277713476373	-1.43383394226831	0.334393049707183	-4.28787004850688	1.80394572962451e-05	0.000126489255821964
"CaT2T09g00316"	272.729652915689	-3.00813663082225	0.276718020048317	-10.8707652298792	1.58862768773249e-27	3.4327821001528e-25
"CaT2T12g02197"	135.972655189214	-1.20775256920533	0.258170252015052	-4.67812445383874	2.89510818824998e-06	2.44775938643468e-05
"CaT2T06g02741"	50.5861114366543	-1.20851817503253	0.343627147312933	-3.51694615656185	0.000436542325468952	0.00208366832924136
"CaT2T11g01972"	50.4888941599479	-1.08447699159874	0.348980537777142	-3.10755722512893	0.00188640460145879	0.00725483326214121
