""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T11g01311"	11.0676944109717	1.64690443042495	0.588184787297076	2.79997794229442	0.00511060986504045	0.0168795764687567
"CaT2T08g00594"	34.2105586426646	1.48102167943106	0.371977786083998	3.98147882706259	6.84878227846744e-05	0.000417975707363242
"CaT2T05g00137"	106.823937186616	1.2414792076782	0.244940223894063	5.06849870528061	4.00965709938475e-07	4.21774903960859e-06
"CaT2T11g02057"	28.7605336063146	1.29393895773395	0.370432344733155	3.49305069098665	0.000477535850606844	0.00225151795835305
"CaT2T03g02622"	36.9603830774104	1.31234039198448	0.356183138165174	3.68445401077888	0.000229193401144776	0.00119070361499378
"CaT2T03g02625"	50.4628189966865	1.99899107260477	0.333506608738703	5.99385745357433	2.04921013767694e-09	3.63863231827901e-08
"CaT2T03g02629"	24.8572069765846	3.91544149290787	0.473919887279531	8.2618214554867	1.43466189018787e-16	8.20201992735658e-15
"CaT2T07g03171"	14.3538016435592	2.36685043274534	0.570480920560239	4.1488686955928	3.34122378422025e-05	0.000219800113648215
"CaT2T07g03173"	19.9774614610208	1.03801074162475	0.443608995506536	2.33992266193677	0.0192877334599545	0.0496703884451718
"CaT2T01g00290"	18.4525503849733	1.33196031748868	0.495037563336015	2.69062474474202	0.00713183660779528	0.0223823002552279
"CaT2T02g01054"	14.4816339407203	1.75154933380577	0.529854838636167	3.30571546409618	0.000947342358806348	0.00406792446359789
"CaT2T01g03211"	60.552005702327	1.40431896246741	0.316016054677931	4.44382157703547	8.83749022104362e-06	6.69454324587553e-05
"CaT2T01g03217"	70.3565725091746	1.70899129544752	0.357879417799802	4.77532713659305	1.79415352194261e-06	1.59065808423132e-05
"CaT2T08g00620"	20.6384737539912	1.53246788894073	0.421639535682655	3.63454505389205	0.000278471593091598	0.0014124076194475
"CaT2T08g00621"	142.952668303681	1.73056073429775	0.218914659472764	7.9051843237253	2.67537426046598e-15	1.30184528422446e-13
"CaT2T09g02197"	22.3934129338637	1.1254092662006	0.429312820529989	2.62142012160567	0.0087564279708069	0.0263602597874421
"CaT2T04g01387"	21.644349612344	1.580404042513	0.427232611250543	3.69916528114985	0.000216309707280138	0.00113207407968575
"CaT2T10g02733"	171.191862839197	1.04721001037041	0.279765982106208	3.74316420633604	0.000181717391575157	0.00097463821000912
"CaT2T10g02732"	126.230903576304	1.09679567280595	0.217530078046597	5.04204146228923	4.60591453515553e-07	4.73554874263692e-06
"CaT2T07g00468"	42.3237500330404	1.25495490380507	0.371214553214563	3.38067269436956	0.000723086202062206	0.0032323373036785
"CaT2T12g02195"	22.4067860074216	1.40409054202916	0.438448700040883	3.2024055309053	0.00136284992436018	0.00554048905792984
"CaT2T12g02193"	76.5360080140573	2.08470055888336	0.371542808793814	5.61092964132771	2.01242579008187e-08	2.86024709005059e-07
"CaT2T12g02198"	115.625994281634	1.02762518827007	0.249790889239486	4.11394183110031	3.88959487538069e-05	0.000252230137671558
"CaT2T06g01599"	20.9722235147283	1.22447893340959	0.424025263891444	2.88774994718964	0.00388008193040717	0.0133839730873271
"CaT2T06g01627"	119.598624126436	1.11055533935526	0.279571785760437	3.97234412025713	7.11688073333173e-05	0.00043185679423725
"CaT2T07g00706"	13.4970370804144	1.29724199518056	0.511742092179224	2.53495269395631	0.0112462512127713	0.0322779056081992
"CaT2T07g00705"	61.661011233856	1.43996984467621	0.31388226863691	4.58761130703413	4.48346397331704e-06	3.62228657768181e-05
"CaT2T01g02501"	40.3714217623041	2.39773827856098	0.420005665869541	5.70882365026415	1.13759685140654e-08	1.69826958531405e-07
"CaT2T08g01809"	110.07059983848	1.39259935707671	0.235788610023805	5.90613497800473	3.50227057070868e-09	5.86733869986399e-08
"CaT2T08g01805"	482.292061168589	1.71557317760251	0.189262223144786	9.06453041233745	1.25142119760884e-19	9.97148053019692e-18
"CaT2T03g02128"	13.0888471162773	1.53218750750701	0.543572846728855	2.81873444696051	0.00482133872468938	0.0160824823132038
"CaT2T03g02786"	189.475213992926	2.0837193926362	0.220356329028685	9.45613589507996	3.19533534026553e-21	3.20766379945239e-19
"CaT2T03g02789"	85.5853889305688	1.03366325656788	0.301839615055121	3.42454470855033	0.000615830507689883	0.0028030071911954
