""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g02629"	100.97922041134	-1.5821995427888	0.274685159022257	-5.76004742455198	8.40903063102932e-09	5.38898734439965e-07
"CaT2T07g03171"	120.061381682994	-1.07080597394938	0.285388604180348	-3.75209787028743	0.000175360975469315	0.00298483306222518
"CaT2T03g00430"	59.529291321841	-1.04241535946785	0.333588845006648	-3.1248507708556	0.00177895282653175	0.0190311185528333
"CaT2T03g00902"	24.5377586277009	-1.5703710475043	0.514359212609317	-3.05306293541023	0.00226518426090756	0.0230480215095469
"CaT2T03g04270"	55.9090791508616	-1.11493754973327	0.383767856229081	-2.90523953905023	0.00366972133881027	0.0332051388016866
"CaT2T02g03989"	70.1071481612058	-1.23237512059646	0.332166666978653	-3.71011074592763	0.000207168602678324	0.00341675864564324
"CaT2T12g01891"	137.768399897305	-1.13746375991969	0.265415133671992	-4.28560249818083	1.82244597496538e-05	0.000457015116728276
"CaT2T04g02427"	2197.17898079779	-1.03683417329028	0.125701257998815	-8.24839933821548	1.60530156471449e-16	4.15464393421685e-14
"CaT2T12g01878"	33.4844349592242	-1.45861802342293	0.430307320164472	-3.38971231738613	0.000699660053479837	0.00907235068126233
"CaT2T08g03085"	53.8166480411925	-1.09038170066444	0.354519141982043	-3.07566382612895	0.00210034507918418	0.021743418519739
"CaT2T11g02160"	50.6455363957051	-1.15370835963515	0.37961528240649	-3.03915151234551	0.00237245505014511	0.023874750796251
"CaT2T01g05750"	121.938728097764	-1.14026679790067	0.332918418549057	-3.42506372242857	0.000614655238247816	0.00818633792779627
"CaT2T01g01599"	68.7060067943555	-1.21758835138064	0.321628665508015	-3.78569599652274	0.000153278967928824	0.00265372429294955
"CaT2T04g01377"	129.726634944798	-1.17560012373692	0.21968289667788	-5.3513502485389	8.73003654345951e-08	4.38391163439843e-06
"CaT2T04g01431"	86.3005356846571	-1.08805114404669	0.350345072734696	-3.10565561991114	0.00189857688928728	0.0200767792897026
"CaT2T05g00396"	253.536745177324	-1.18211501817118	0.203408198766345	-5.81154066227724	6.19004932919307e-09	4.15144604014686e-07
"CaT2T01g04530"	66.4019388518656	-1.39032063213403	0.302191444455058	-4.60079415762812	4.20883192106032e-06	0.000132548658331427
"CaT2T12g00229"	37.3320491337417	-1.1964199076692	0.408577024014888	-2.92826037037658	0.00340864468446351	0.0314058923985691
"CaT2T09g02147"	342.079054688695	-2.89961573733553	0.236207043157871	-12.2757378381708	1.22272009683525e-34	8.22768353160437e-31
"CaT2T03g01594"	19.1306804574778	-1.73994936769165	0.587149053524962	-2.96338614061596	0.00304274606027913	0.0287045446882744
"CaT2T03g04167"	1056.3563388122	-1.40191790087683	0.158029973383631	-8.87121519329476	7.23519858338913e-19	3.24571008450836e-16
"CaT2T03g04162"	82.2998104298009	-1.29575163632815	0.349355480788243	-3.70897755319187	0.000208097873362464	0.00342928307719842
"CaT2T11g02135"	196.166035520359	-1.09338647713349	0.224457213218411	-4.87124677998009	1.10896223673327e-06	4.08514975783476e-05
"CaT2T08g02215"	68.1506534779238	-1.14234298567461	0.33513635368379	-3.4085916765462	0.000652991398942212	0.00858915334594086
"CaT2T10g00462"	53.9157219195322	-1.17681362472651	0.33347626916368	-3.52892764357062	0.000417247196314499	0.00600354180470477
