""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T05g00251"	46.7362643581109	-1.06028171597624	0.337306645508443	-3.14337630193443	0.00167010986834449	0.00979553815875624
"CaT2T05g00137"	117.177360780482	-2.21289891014312	0.324972110110198	-6.80950408142017	9.79357548720039e-12	4.76620673710419e-10
"CaT2T02g03432"	126.759893880248	-1.0157488138506	0.380630606151104	-2.66859468848746	0.00761693051466423	0.0337752747168821
"CaT2T11g02057"	36.3230399418141	-1.19760182190094	0.398542454065949	-3.00495420169908	0.00265620841571829	0.0143281153807876
"CaT2T11g02059"	154.093790740816	-1.1947436142373	0.288747933262334	-4.13766983797541	3.50850733092107e-05	0.000352147711852512
"CaT2T09g00772"	34.1173317426459	-1.36711149627926	0.502106267362365	-2.72275329973651	0.00647403823985103	0.029714304896131
"CaT2T01g00294"	173.892067256182	-1.23981165602841	0.242348972662726	-5.11581147799559	3.12394960545383e-07	5.32186053326397e-06
"CaT2T06g02357"	67.7041735955894	-1.28295680049642	0.301256243804641	-4.25868949401227	2.0562886507901e-05	0.000221232614524104
"CaT2T02g01053"	65.9954306172928	-1.41791658463264	0.412071609346799	-3.44094704044346	0.000579681980729175	0.00399401789062465
"CaT2T01g03211"	67.6679709039565	-1.55128951728405	0.359246311957318	-4.31817799000357	1.57322539279476e-05	0.000175016371467962
"CaT2T01g03217"	67.115644481603	-1.57315168940438	0.370284624384192	-4.24849314772559	2.15213228397697e-05	0.000230282064983266
"CaT2T09g02521"	630.252876950374	-1.64486481397044	0.325058272422698	-5.06021520914103	4.18783530213477e-07	6.9207014450433e-06
"CaT2T09g00311"	44.9050904515194	-1.98683036720742	0.378374552352902	-5.25096192344971	1.51306958000784e-07	2.80776126054816e-06
"CaT2T03g00735"	1263.33639543839	-1.57711578880288	0.40871966894806	-3.85867358148428	0.000114004082719047	0.000986286055492007
"CaT2T05g01445"	125.838152615525	-1.1121317060813	0.261187649204877	-4.25797969186874	2.06282682988218e-05	0.000221800966382828
"CaT2T12g03825"	40.4163230783419	-3.18780874847112	0.423104739805959	-7.53432530662051	4.90866163759836e-14	3.90614488692849e-12
"CaT2T10g00014"	31.8274198396999	-1.40950083963156	0.505462968020807	-2.78853433150722	0.00529471352311685	0.02527558526227
"CaT2T07g00701"	43.4452370110854	-1.00765581788022	0.340759538060189	-2.95708763903252	0.00310559834570205	0.0162445589651232
"CaT2T01g02500"	1078.93020888926	-1.90557430449831	0.339692126439432	-5.6097099584617	2.026659855017e-08	4.661845442543e-07
"CaT2T01g02501"	25.4431931700748	-1.73011918123627	0.589613687723193	-2.9343266909511	0.00334272171425601	0.0172819788715384
"CaT2T04g01463"	270.875122648	-2.15900312032066	0.318137571809982	-6.78638209261934	1.1498038914264e-11	5.51968357226596e-10
"CaT2T03g03034"	599.380324431831	-1.22300463821519	0.206865746198481	-5.91206935266003	3.37836227888939e-09	9.35456865499374e-08
"CaT2T03g00787"	27.1422809171278	-2.69433596672145	0.481281666455889	-5.598251823225	2.16524082496032e-08	4.96123792655629e-07
"CaT2T08g01391"	793.532246010652	-3.44391929243477	0.363087813404182	-9.48508643169761	2.42182291890365e-21	8.38900464418663e-19
"CaT2T08g01394"	72.5010492906649	-1.5303216737021	0.389344095336751	-3.93051208951429	8.47651310293646e-05	0.000762454584910771
"CaT2T10g02862"	817.524047807124	-1.00490319579801	0.245143478669185	-4.09924506763688	4.14499956314684e-05	0.000405906664537428
"CaT2T03g00438"	146.044177504908	-1.28793284475956	0.368981190925264	-3.49051083479328	0.000482098064229649	0.00343694285822477
"CaT2T03g00431"	19.860588321185	-1.17026251937897	0.44883255044236	-2.60734770289183	0.00912466514068147	0.0391436304014639
"CaT2T12g01696"	417.591234468884	-1.31968375735223	0.309526154230473	-4.26356138024313	2.01194199667302e-05	0.000217122585908525
"CaT2T12g01527"	50.4473452960467	-1.05847192716568	0.423046642611781	-2.50202181166348	0.0123486316805463	0.04978341562495
"CaT2T12g03785"	45.8532374423538	-1.67895659313933	0.363635031299679	-4.61714754801956	3.89050661504385e-06	5.05365366627682e-05
"CaT2T12g03780"	46.8933334981517	-1.64495218386993	0.36722936911193	-4.47935901163873	7.48675214083162e-06	9.03421880600624e-05
"CaT2T12g03783"	46.7225803296337	-1.76531845920938	0.37544258955099	-4.70196644797441	2.57667847686452e-06	3.52865131568128e-05
"CaT2T11g00629"	40.0747517926207	-1.19812779227611	0.362326624526577	-3.30676166522846	0.000943811562986484	0.00605600108760361
"CaT2T11g00624"	77.6482056403351	-1.42613544067638	0.314083118443224	-4.54063067045793	5.60862051890519e-06	6.9531150938231e-05
"CaT2T03g01297"	88.8440622995009	-1.05275831073604	0.289722516578059	-3.63367791765125	0.000279409618717343	0.00217255736103019
"CaT2T06g00038"	291.010800753922	-1.25319547571472	0.316661205380841	-3.95752764917171	7.57295239302827e-05	0.000690318766642092
"CaT2T01g05032"	22.5575807535651	-1.09833996542127	0.428612687298537	-2.56254655536188	0.0103907655853636	0.043457212317953
"CaT2T03g04529"	36.9092010014201	-1.45707998818186	0.403794115015709	-3.60847257054546	0.000308005071645885	0.00235959132510677
"CaT2T02g03827"	284.932969600394	-1.1007974263246	0.23210607390381	-4.74264808244871	2.10942529005423e-06	2.94120814318059e-05
"CaT2T02g03826"	182.602777349235	-1.47976903740056	0.291461223743343	-5.07707000744506	3.83299672318206e-07	6.41228410148999e-06
"CaT2T10g03411"	4574.24449509721	-1.66037286408125	0.325799208696984	-5.09630723389975	3.4634288054534e-07	5.83269144681981e-06
"CaT2T09g01645"	45.7459180769437	-1.44936866879536	0.352837570066017	-4.10775039779404	3.99531531311921e-05	0.000394529012417909
"CaT2T09g01642"	44.1460574258436	-1.49696848202691	0.398327355403086	-3.7581362708872	0.000171183651267157	0.00140200759540361
"CaT2T02g03643"	49.573949179779	-1.21722355507065	0.382692295035153	-3.18068477171414	0.00146927409452162	0.00879572895758011
"CaT2T03g05106"	50.1281942397868	-1.4849167487247	0.370310846398417	-4.00991967469157	6.07394070322843e-05	0.000570756576932093
"CaT2T03g05090"	44.4187364915702	-1.24985523864901	0.37082608433117	-3.37046203452293	0.000750422456470816	0.00499518107553146
"CaT2T01g01011"	2466.37125905072	-1.0003256911679	0.248685668484029	-4.02245009640409	5.75958599334889e-05	0.00054411147678343
"CaT2T05g00562"	197.839894201338	-1.00048331501278	0.256190924025806	-3.90522544394275	9.41375832295603e-05	0.000834019330658682
"CaT2T09g00066"	25.5357297947079	-1.37155654661332	0.442617650552642	-3.09873893393276	0.00194346189963665	0.0110931172597677
"CaT2T08g00233"	36.6121782701327	-1.56615954095275	0.412425234439677	-3.79743868747639	0.000146198922517426	0.00122405221099187
"CaT2T09g03085"	134.303794370811	-1.2547636310899	0.27223822961626	-4.60906476235387	4.04484334689767e-06	5.21578120921856e-05
"CaT2T09g03080"	38.0278095421897	-1.74919222471066	0.512911795878496	-3.41031779492361	0.000648872237443485	0.00440375603022536
"CaT2T01g00056"	882.748515544463	-1.27788271624077	0.243317434231544	-5.25191596022142	1.50525143931806e-07	2.79913388705189e-06
"CaT2T02g02837"	607.692799902252	-1.13565713219974	0.302304425772179	-3.75666723799666	0.000172191215150334	0.00140830092909528
"CaT2T12g01224"	101.876205134525	-1.0613925139531	0.292805529280965	-3.62490597960883	0.000289066596045159	0.00223583646485717
"CaT2T03g00338"	29.5762633099411	-1.96639078167538	0.459513784654074	-4.27928573058086	1.87494038902528e-05	0.000203456369241528
"CaT2T06g02940"	76.4212913067518	-1.1655903673533	0.348490800082321	-3.34468045376796	0.000823774209665647	0.00540799130728383
"CaT2T01g06062"	21.7525078147085	-1.68772732947416	0.457717766095205	-3.68726637786464	0.000226676038217964	0.0018070662866239
"CaT2T11g00187"	324.90551557523	-1.17190285783913	0.25203093439594	-4.64983737273329	3.32196866121052e-06	4.39924275629273e-05
"CaT2T03g00697"	23.4628888246691	-1.33865139309099	0.447157028955027	-2.99369417544284	0.00275622063061129	0.0147460307875164
"CaT2T05g00246"	127.770505297907	-1.21089684912064	0.279607412161459	-4.33070368113635	1.48633587702293e-05	0.000167139462784768
"CaT2T04g00887"	23.028009239855	-1.86512729867171	0.571232987912291	-3.26509031890521	0.00109429177279359	0.0068600988141134
"CaT2T03g00346"	78.2951328955242	-2.47919940233645	0.382954554302885	-6.47387366067361	9.55217805562466e-11	3.74997283401478e-09
"CaT2T09g03245"	25.2937075402114	-1.1841500948856	0.429094947025701	-2.75964586181592	0.00578640495004295	0.0271435554560432
"CaT2T08g01576"	63.9122879821682	-1.39373589170601	0.334742492883977	-4.16360611913435	3.13260329342515e-05	0.000317684097483632
"CaT2T02g03670"	43.0173858993121	-1.12987611567674	0.407024813698209	-2.77593915076268	0.00550425089310002	0.0261111966373536
"CaT2T06g01961"	33.0302591575701	-1.80401380218604	0.56969496213058	-3.16663113087621	0.00154215798859318	0.00916681124713562
"CaT2T06g01962"	117.49612151185	-2.10749705887704	0.374105305208678	-5.63343269805135	1.76657477428389e-08	4.10635657401304e-07
"CaT2T03g02099"	37.5263632856085	-1.65610441708204	0.436678864343262	-3.79249959709573	0.000149138492580926	0.00124571187230953
"CaT2T03g02542"	44.8570753563617	-1.21936627859852	0.44929428784808	-2.71395900544104	0.00664843929569769	0.0303693912516875
"CaT2T09g02961"	420.771978386498	-1.1104133836378	0.204534099324512	-5.42898904048281	5.66741637237636e-08	1.17100090800469e-06
"CaT2T10g00951"	25.8137698722197	-1.99630145035633	0.485544580549487	-4.11146891619536	3.93149810907639e-05	0.000388879314641341
"CaT2T04g02120"	46.5387117469575	-1.63541483427662	0.351841819852365	-4.64815363609378	3.3491942570395e-06	4.43197496216179e-05
"CaT2T04g00189"	18.5891230642176	-1.40711660107567	0.487318434732038	-2.88746844114239	0.00388355562646015	0.0196525046396577
"CaT2T04g00182"	279.045639622322	-1.23978879419115	0.302207168125166	-4.10244668213054	4.08804079531248e-05	0.000401664786929868
"CaT2T04g00180"	673.979665799538	-1.08322266627652	0.257027641900142	-4.21442090145837	2.50419894915982e-05	0.000262859053094815
"CaT2T09g01149"	111.768564992733	-1.38510238307406	0.371948315374892	-3.72391089250665	0.000196160186136275	0.00158743282101853
"CaT2T03g05066"	27.6364742536536	-1.53989054137265	0.614386202547653	-2.50638854679229	0.0121971504170227	0.0493523609285919
"CaT2T09g03160"	76.3970920472855	-1.04746099407809	0.347240012882525	-3.01653310453153	0.0025568329732782	0.0138853400878981
"CaT2T08g00891"	15.9775646757424	-1.8475608277647	0.730338283321833	-2.52973296067865	0.0114149367538339	0.0468750052750417
"CaT2T10g03306"	72.16264257082	-1.17401537515905	0.31107957677293	-3.77400338311509	0.00016064858013669	0.00132432002645579
"CaT2T12g03709"	172.298441844328	-1.1128167265561	0.264222498685873	-4.21166529001415	2.53494964756409e-05	0.000265613407318311
"CaT2T09g00379"	51.3403136755221	-1.12509517510582	0.416045727630576	-2.70425845138071	0.00684570207280358	0.0310331467329094
"CaT2T12g01939"	46.0159067810392	-1.15410805950426	0.450858107780451	-2.55980327200028	0.0104731431157768	0.0437189381576826
"CaT2T05g01275"	16.8173797687339	-1.70331894126947	0.559028061286359	-3.04692923169193	0.00231192133134738	0.0127592634300478
"CaT2T07g00067"	131.465721841702	-1.06024009699627	0.293685705213653	-3.61011815752135	0.000306057553306182	0.00234772589522666
"CaT2T08g02349"	189.070777528634	-1.14417425058568	0.297258981830803	-3.84908218260984	0.000118561228055527	0.00102170861211167
"CaT2T08g02344"	2023.08206918873	-1.41229315619496	0.220833823512061	-6.39527556845397	1.60258069458518e-10	5.93526007348885e-09
"CaT2T02g03326"	551.482561401424	-1.44904923325553	0.209484910364191	-6.91720100858981	4.60654254309658e-12	2.42199942161738e-10
"CaT2T02g03320"	116.833359445662	-1.02607938943324	0.307595789015928	-3.3358044097935	0.000850529801088252	0.00555264577458428
"CaT2T02g01873"	250.393486048215	-1.39657063481564	0.345641741155168	-4.04051498568479	5.33339567751601e-05	0.000509847229648257
"CaT2T01g00588"	42.2476320201557	-1.51040886250648	0.375443140467639	-4.02300295225841	5.74607758964724e-05	0.00054341652408302
"CaT2T12g00868"	125.822757295909	-1.26460109589211	0.308450874750953	-4.09984603516903	4.1342508814177e-05	0.000405303418818674
"CaT2T01g03961"	37.6302700977136	-1.42279266797255	0.440463327050382	-3.23021822838341	0.00123695763547622	0.00763792156180456
"CaT2T06g00892"	44.6142627320444	-1.45454281581466	0.366501425162187	-3.96872349178719	7.2258668436663e-05	0.000664163182415239
"CaT2T04g02427"	63.3572080840887	-2.10663946124625	0.391344177105333	-5.38308625626806	7.32194290356242e-08	1.47322828399013e-06
"CaT2T04g02396"	44.0659883198467	-1.85259723845978	0.355348673196237	-5.21346322133782	1.85347291558243e-07	3.35830282324915e-06
"CaT2T06g01138"	56.4947458161953	-1.58596762262005	0.324986583235072	-4.88010183938232	1.06031073885334e-06	1.59961140158695e-05
"CaT2T02g03900"	152.862840132048	-1.56286158255175	0.286599660168134	-5.45311736111236	4.949437982972e-08	1.03720962523349e-06
