""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g04733"	1038.41565196315	1.91141814268114	0.311632088324948	6.13357293517236	8.59269964940446e-10	2.71068985725677e-08
"CaT2T03g03176"	297.90685208079	1.30552311988627	0.231660247082205	5.63550775901141	1.74543284874887e-08	4.07646639096655e-07
"CaT2T03g03177"	305.052925960683	1.02730532039311	0.231072211077679	4.44581940685098	8.75574811679612e-06	0.000103811440423705
"CaT2T11g02055"	69.2162873150737	2.00537652360726	0.389394728408924	5.14998374991176	2.60509028791004e-07	4.54309230268694e-06
"CaT2T11g02056"	139.913562157306	1.12574884125674	0.401659357153258	2.80274521483934	0.0050669680845952	0.0244370893209006
"CaT2T03g02622"	145.318450473303	1.80980780796578	0.302577606576824	5.98130122199334	2.21362079937949e-09	6.41529148649121e-08
"CaT2T02g01059"	149.797161151406	3.31281040909765	0.520037830942028	6.37032579552265	1.88627081751485e-10	6.87069283757058e-09
"CaT2T03g00080"	879.4213283214	3.19796086486498	0.389405843078039	8.21241109169512	2.16790572589441e-16	2.49820048547295e-14
"CaT2T12g01718"	363.268715316825	2.80168691286697	0.405489624398621	6.90939235997007	4.86734025056876e-12	2.5376311438198e-10
"CaT2T02g00868"	362.703063268517	5.26522722389894	0.969202053490391	5.43253824621734	5.55580406632005e-08	1.15063112116776e-06
"CaT2T12g00040"	721.660557582103	3.70722440700502	0.424577256933517	8.73156615542767	2.51170041375699e-18	4.67070521151905e-16
"CaT2T07g00466"	352.807944690007	1.73702785998225	0.294727576270588	5.89367266532092	3.77705030483364e-09	1.03933599198117e-07
"CaT2T12g02192"	87.3401007605919	2.52899169971317	0.430943441821775	5.86850025846102	4.39754714532609e-09	1.18787565549435e-07
"CaT2T04g01469"	112.847711069966	3.74636714928369	0.438916586186594	8.53548776051726	1.39565381647269e-17	2.0719008673787e-15
"CaT2T10g02878"	1674.92441201602	5.32365744548511	1.06174659777346	5.01405651466096	5.3294321862572e-07	8.59815059382829e-06
"CaT2T02g02194"	760.845539054257	1.26191503579447	0.269205854590979	4.68754677609734	2.76499516170932e-06	3.75164397286918e-05
"CaT2T08g01806"	7176.84968871489	1.00528484802649	0.236921800453509	4.24310825809276	2.20445024289462e-05	0.000235310078495325
"CaT2T11g02245"	58.4229127110503	1.61718157749527	0.429649659179681	3.76395405638844	0.000167247624440938	0.00137104247488334
"CaT2T10g02241"	16.429829802087	1.66341474666789	0.527016852381196	3.1562837870405	0.00159793307408491	0.00944116578153311
"CaT2T08g01392"	166.800424199155	1.26510305352011	0.318014837533419	3.97812587403934	6.9460599172504e-05	0.000642119803757957
"CaT2T01g00465"	167.228396654434	1.24947757753661	0.480762572361352	2.59894935539507	0.00935095680778707	0.039863417704239
"CaT2T01g00461"	2223.12037528057	3.39880314158187	0.424475629521476	8.00706308019012	1.17480239019518e-15	1.19276201294184e-13
"CaT2T07g02073"	568.092400846166	1.4843809538569	0.238786372234729	6.21635539735802	5.08834855376482e-10	1.68967604418815e-08
"CaT2T07g02070"	325.334278560062	2.84950014662149	0.248984536827766	11.444486404361	2.50584093902118e-30	5.53352325359352e-27
"CaT2T06g03316"	345.290260178595	1.16568973354265	0.318735340335616	3.65723403095253	0.000254951583962634	0.00200020756826058
"CaT2T11g00622"	82.5848375212451	1.74282629701136	0.35751425583114	4.8748442015541	1.0889436204915e-06	1.63443313505546e-05
"CaT2T07g02915"	924.831064224081	3.33092451388816	0.83526166602503	3.98788146203317	6.66659571848815e-05	0.000619201261634131
"CaT2T07g02914"	1435.67277699316	3.97464938041451	0.456303310201575	8.7105425087946	3.02423884057158e-18	5.50785601624098e-16
"CaT2T05g01962"	321.363709510928	2.57134398247404	0.291676395060882	8.81574246670637	1.18894495051946e-18	2.44231412742754e-16
"CaT2T06g00035"	535.478251019713	1.18691636178183	0.324541841096152	3.6572059792752	0.000254979477172128	0.00200020756826058
"CaT2T04g01073"	304.022185321114	1.18109588097131	0.280264768050649	4.21421461279738	2.50648864328511e-05	0.000262943161355551
"CaT2T04g01076"	236.245165624023	1.08412218911883	0.302767523348096	3.58070831749149	0.000342664017693229	0.00258365451838181
"CaT2T01g05038"	651.00887940071	4.98088427724902	0.881792468681223	5.64859017757121	1.61768987737867e-08	3.80028050183132e-07
"CaT2T01g05037"	35.4529439391628	3.61169049615309	0.625857587049292	5.77078647105805	7.89024050707204e-09	1.99697691687586e-07
"CaT2T01g02482"	640.870110062276	2.01195090555061	0.321908057089498	6.25007936657902	4.10244161108235e-10	1.39641105012294e-08
"CaT2T01g02486"	638.481497146527	3.45966433774987	0.442058149184666	7.82626526426645	5.02576352776448e-15	4.64843656971138e-13
"CaT2T05g01105"	16.9554122615647	1.41153152884327	0.516087134264224	2.73506436244659	0.00623680798712313	0.0288050849413117
"CaT2T03g00231"	284.220395625364	1.77296566997957	0.276837420157402	6.40435700120132	1.51004406021084e-10	5.62794058389974e-09
"CaT2T10g00732"	41.2315714823126	1.63254948956919	0.472728761810473	3.45345919574853	0.000553446024519067	0.00385383424089627
"CaT2T04g00675"	660.211322903178	1.57207821128961	0.361504117513882	4.34871453775141	1.36937818324521e-05	0.000155073301187243
"CaT2T04g00674"	29.3505029217188	2.11520219834025	0.577234606739861	3.66437177127445	0.00024794642020761	0.00195522102501529
"CaT2T12g00634"	1087.12256793552	1.18515122523835	0.252573023887082	4.69231118588578	2.70135811442703e-06	3.6794288704293e-05
"CaT2T02g02014"	33.5960692258967	1.68125596411027	0.600465754343409	2.79991981549167	0.00511153019655181	0.0246251138402739
"CaT2T02g02016"	25.9827774425804	2.30177178654183	0.638537506328438	3.60475581109857	0.000312446562283889	0.00238435303189789
"CaT2T02g02011"	34.0322393188916	2.00643879868334	0.606747659590607	3.30687521734679	0.000943429073275429	0.00605600108760361
"CaT2T02g02013"	29.8350993766239	2.34101195286137	0.605128527581398	3.86861938606335	0.000109453341765948	0.000950640479664328
"CaT2T01g00740"	1800.29150589568	1.59642985059281	0.307384959059248	5.19358479828905	2.06282917896713e-07	3.70344921500338e-06
"CaT2T05g02055"	92.2139475825287	1.61448798299057	0.329526570844834	4.89941669605391	9.61215933969156e-07	1.47147666286821e-05
"CaT2T10g01104"	1011.78740003165	5.83752348372019	0.8858569602229	6.58969082576418	4.40743416529606e-11	1.85385076105048e-09
"CaT2T01g00054"	14.9189260116277	1.76689577879384	0.693585133120853	2.54748219709313	0.0108503389263893	0.0449852352672126
"CaT2T07g00196"	4476.27568615262	1.17058435255424	0.202909609072323	5.76899417383927	7.97460611245546e-09	2.01544193966578e-07
"CaT2T03g03240"	185.956422001089	1.40716159710246	0.245600510138018	5.72947342947981	1.00742867128825e-08	2.47872352464878e-07
