""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T05g00252"	168.387156167526	-1.76946731871482	0.20857766056767	-8.48349393649826	2.18530610465116e-17	9.05242463346243e-17
"CaT2T05g00251"	65.9545091523445	-3.13399030993449	0.342035320999876	-9.16276804621481	5.05828521191731e-20	2.29359745713296e-19
"CaT2T11g01315"	39.8704417819037	-2.16619632202866	0.372754048268124	-5.81132876247262	6.19789095433785e-09	1.80603728316989e-08
"CaT2T03g04738"	97.5807092340129	-1.40330143226929	0.250526663215005	-5.60140551213488	2.12620677784173e-08	6.00408083188999e-08
"CaT2T02g02455"	141.20490383069	-1.62648038737448	0.199717892444141	-8.14388920025976	3.82779520077819e-16	1.52240912048285e-15
"CaT2T05g02960"	114.069258484397	-1.61401288385529	0.217992905266218	-7.40396978463231	1.32172510313026e-13	4.82791328715539e-13
"CaT2T03g03173"	914.511113232244	-1.96471769963157	0.0868943139615219	-22.6104288078226	3.42198530341262e-113	5.41937361899384e-112
"CaT2T05g00137"	113.975103102624	-4.52303692533629	0.309659800335572	-14.606471102916	2.55408988992714e-48	2.03738895826217e-47
"CaT2T11g02059"	99.8100984649253	-3.19141519350144	0.267648519947333	-11.9239037605343	8.88458173273006e-33	5.4376958220827e-32
"CaT2T02g00016"	18.0554471870294	-1.72915748591104	0.515833986119101	-3.35215889693587	0.000801839831187862	0.00156989547748834
"CaT2T09g00779"	182.368425772923	-1.62870579490344	0.166488864379386	-9.78267105715874	1.33636365255996e-22	6.46008818613064e-22
"CaT2T07g03173"	25.0797499944995	-1.25462834918373	0.473039911366534	-2.65226742825847	0.00799531878699525	0.0137025281358822
"CaT2T01g00292"	270.311477550784	-2.40968187431022	0.167346442811892	-14.3993611923909	5.22239785339939e-47	4.08250053659053e-46
"CaT2T01g00293"	47.9532728132099	-1.69244480563748	0.347047390415375	-4.87669653303495	1.07877202348042e-06	2.75509398789246e-06
"CaT2T01g00294"	209.062108743692	-2.17650461467031	0.164995952675265	-13.1912606302166	9.85237774165225e-40	6.87083561732626e-39
"CaT2T06g02357"	34.5001919029254	-1.64755798708933	0.400771668301279	-4.11096421579079	3.94010267660984e-05	8.81206100026486e-05
"CaT2T01g00744"	11.8169273775852	-2.27252508704661	0.693464493561255	-3.27706048131774	0.00104893897867673	0.0020234655757868
