transcript_id,SRR24630893,SRR24630894,SRR24630896,SRR24630912,SRR24630913,SRR24630914,SRR24630931,SRR24630932,SRR24630933,SRR24630947,SRR24630948,SRR24630949,SRR24630967,SRR24630968,SRR24630969,SRR24630977,SRR24630978,SRR24630979,SRR25031738,SRR25031739,SRR25031740
CaT2T08g00035-mRNA,6,8,3,8,6,11,69,89,80,12,13,9,9,6,0,45,95,54,2,2,0
CaT2T10g00403-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CaT2T01g03718-mRNA,29,26,25,45,27,22,252,119,216,45,39,20,14,28,16,193,237,158,0,7,0
CaT2T04g02839-mRNA,222,184,156,346,263,221,2224,1121,1914,336,358,311,386,389,329,1435,1686,1417,25,31,34
CaT2T11g00484-mRNA,0,0,0,0,0,0,15,14,16,9,6,3,6,6,0,24,17,10,0,0,0
CaT2T10g02091-mRNA,91,112,165,95,60,115,3503,1791,3013,379,383,353,106,124,84,2293,1828,1341,21,12,18
CaT2T05g01206-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g03005-mRNA,24,57,27,59,79,50,220,92,120,32,25,25,122,100,98,167,219,171,0,0,0
CaT2T01g00683-mRNA,25,75,39,38,28,24,1326,526,858,198,138,149,110,152,109,645,567,437,230,162,231
CaT2T01g05585-mRNA,629,406,459,713,817,748,4918,2555,3691,492,598,501,826,929,865,3270,3781,2760,110,108,135
CaT2T12g00886-mRNA,0,16,4,0,3,0,65,47,83,9,17,0,0,0,5,48,87,61,0,0,0
CaT2T12g03865-mRNA,146,146,125,199,235,247,1307,883,1229,195,194,134,259,307,221,1158,1165,946,0,24,28
CaT2T04g02901-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00946-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T10g02503-mRNA,4,5,11,7,0,0,13,33,39,18,10,6,0,2,0,19,76,26,0,0,0
CaT2T04g02395-mRNA,13,32,14,0,8,8,47,17,18,0,0,0,0,0,0,24,25,32,0,0,0
CaT2T02g00702-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g01357-mRNA,6,15,8,0,4,8,90,58,110,23,18,14,12,15,0,66,107,141,6,6,0
CaT2T01g03245-mRNA,1007,922,895,809,1049,1231,5099,3074,4439,721,858,787,1397,1553,1307,3743,4345,3313,60,68,98
CaT2T05g02064-mRNA,6,4,6,2,6,5,37,32,27,10,13,11,13,5,10,12,48,21,0,4,5
CaT2T09g00243-mRNA,6,3,4,8,8,12,43,34,51,6,10,5,6,31,14,56,46,42,0,2,3
CaT2T11g00442-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g04940-mRNA,160,146,123,227,255,248,836,419,653,208,244,194,474,422,418,535,650,557,9,15,17
CaT2T06g03613-mRNA,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00944-mRNA,45,11,13,26,36,26,115,85,115,43,39,34,0,0,4,114,114,143,7,7,12
CaT2T05g01828-mRNA,31,31,36,12,20,36,216,199,241,22,15,20,6,29,6,212,266,254,7,0,9
CaT2T03g00058-mRNA,1562,1650,1493,1549,1350,1807,2371,1142,1767,1622,1701,1471,1998,2188,1891,1390,1893,1448,64,56,84
CaT2T09g02558-mRNA,4,5,4,3,2,3,45,33,43,0,0,0,3,2,0,92,87,53,1,1,1
CaT2T08g01349-mRNA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CaT2T06g03400-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g02897-mRNA,0,0,3,0,0,0,6,0,7,0,0,4,0,0,0,7,30,18,0,0,0
CaT2T12g01984-mRNA,0,5,0,0,3,6,11,0,0,0,2,0,0,0,3,0,0,0,0,0,0
CaT2T05g01883-mRNA,667,545,641,439,665,616,4734,2977,4220,603,624,485,1298,1327,1144,4005,4759,3403,42,40,14
CaT2T12g02616-mRNA,0,0,0,2,3,0,0,0,3,0,0,0,12,9,1,0,0,2,0,0,0
CaT2T04g02504-mRNA,30,17,29,28,30,62,319,206,270,32,19,26,62,73,45,220,228,231,0,0,0
CaT2T11g03329-mRNA,0,0,5,0,0,5,12,11,11,0,0,0,0,0,0,0,5,12,0,0,0
CaT2T07g03207-mRNA,436,435,419,418,452,451,3231,1670,2970,553,600,491,647,739,566,2185,2760,2147,69,49,40
CaT2T01g01319-mRNA,402,339,356,342,392,381,2987,1780,2802,543,545,602,704,736,642,2472,2799,2041,29,46,27
CaT2T04g02789-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g02612-mRNA,39,22,37,14,28,31,152,99,153,31,28,31,81,76,66,154,102,77,0,0,0
CaT2T05g01415-mRNA,354,329,299,452,415,376,2348,1291,2085,439,406,357,666,713,605,1788,2092,1540,30,44,28
CaT2T11g00501-mRNA,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,4,2,16,0,0,0
CaT2T12g00193-mRNA,0,0,0,0,0,0,22,19,17,7,0,3,5,20,6,17,18,21,0,0,0
CaT2T09g01292-mRNA,29,0,0,10,10,8,0,0,0,3,10,7,0,0,0,0,0,0,0,0,0
CaT2T09g02288-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g00104-mRNA,30,18,23,29,38,49,136,56,102,32,36,29,130,112,91,91,82,65,5,8,0
CaT2T05g02940-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g04194-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01665-mRNA,12,15,0,25,0,23,85,0,93,23,17,21,0,40,30,0,72,0,0,0,0
