gene_id,SRR24630895,SRR24630900,SRR24630901,SRR24630902,SRR24630906,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955,SRR24630956,SRR25031741,SRR25031747,SRR25031748
CaT2T05g00252,641,409,469,458,783,547,681,785,621,422,448,456,77,91,64
CaT2T11g01312,5,0,0,3,0,4,0,0,0,0,0,3,0,0,0
CaT2T11g01311,7,21,10,12,0,8,23,31,15,0,22,17,0,3,0
CaT2T05g00251,80,44,24,58,107,52,63,73,51,33,70,45,13,13,5
CaT2T11g01317,384,198,161,248,411,258,291,304,265,159,177,214,25,37,30
CaT2T11g01316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01315,173,0,0,0,179,109,0,3,0,44,66,72,18,25,11
CaT2T05g00255,39,42,53,44,53,33,54,60,53,30,33,25,14,12,0
CaT2T03g04733,890,561,508,501,1080,764,896,983,847,526,493,517,20,42,38
CaT2T11g01503,343,132,199,177,358,273,223,225,206,223,227,181,22,38,19
CaT2T03g04731,131,97,110,72,144,97,96,119,138,74,101,96,0,9,16
CaT2T11g01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g04737,244,94,130,139,267,150,191,156,181,159,165,136,37,48,39
CaT2T03g04736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g04735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01505,648,541,490,536,731,561,571,536,546,449,391,386,193,265,189
CaT2T03g04739,907,272,277,428,1097,673,579,574,527,623,582,612,38,55,39
CaT2T03g04738,223,183,208,237,220,134,261,211,289,177,191,164,32,41,27
CaT2T02g02455,233,97,136,141,306,195,210,256,301,162,157,149,12,34,14
CaT2T02g02454,234,89,150,151,299,208,230,232,150,170,171,146,35,53,37
CaT2T08g00592,175,90,130,134,167,150,142,178,207,130,105,104,13,22,18
CaT2T02g02456,193,120,122,129,233,178,110,164,125,145,119,112,18,18,15
CaT2T08g00594,68,19,38,50,94,62,56,54,41,20,15,23,14,18,16
CaT2T03g02839,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
CaT2T02g02450,1125,354,458,577,1197,879,735,760,644,821,688,761,102,101,97
CaT2T04g01386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00330,42,27,25,30,56,35,41,45,26,35,21,39,5,6,3
CaT2T04g01384,10,10,7,11,15,6,19,8,14,4,0,8,2,2,3
CaT2T04g01385,7717,322,394,385,8341,5752,2336,1967,2177,4339,4368,3947,183,186,202
CaT2T04g01382,118,53,76,49,115,82,119,124,85,97,102,57,15,10,9
CaT2T04g01383,18,34,32,36,20,9,22,19,9,14,9,17,0,0,12
CaT2T04g01380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T04g01381,33,8,8,12,27,15,6,17,8,11,16,28,0,0,0
CaT2T08g00597,182,55,66,75,158,133,102,106,113,94,149,103,8,0,0
CaT2T03g02834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T04g01388,342,122,161,176,489,235,329,329,296,243,179,217,26,22,26
CaT2T04g01389,3,0,0,0,6,4,0,0,0,0,0,2,0,0,0
CaT2T05g01516,1335,102,104,120,1426,953,235,144,158,734,609,658,87,122,83
CaT2T05g01517,73,22,27,20,56,52,34,49,27,33,32,45,10,10,0
CaT2T05g01514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g02835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g01512,98,51,71,67,124,75,85,85,77,59,76,65,10,11,13
CaT2T05g01513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g01510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g01511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00334,18,16,11,12,52,14,21,14,16,15,13,33,7,5,6
CaT2T05g01518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g01519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g02830,90,13,32,23,77,68,57,31,40,58,44,72,0,0,0
CaT2T03g02831,109,75,68,75,184,125,113,108,135,82,76,70,23,18,19
CaT2T05g00131,929,303,355,408,1082,657,550,533,508,483,584,490,50,62,41
CaT2T05g02968,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g02969,0,8,5,7,0,0,2,0,0,0,0,0,0,0,0
CaT2T05g02966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g02967,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0
CaT2T05g02964,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
CaT2T05g02965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g02962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g02963,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g02960,69,79,38,94,88,43,51,64,46,60,52,35,0,7,5
CaT2T05g02961,162,304,277,357,121,101,710,754,959,99,73,130,0,10,10
CaT2T03g03178,5,0,3,10,21,11,9,7,8,10,12,4,0,0,0
CaT2T03g03179,144,51,27,47,158,81,129,47,52,70,67,63,0,10,7
CaT2T03g03170,0,0,0,0,0,0,3,0,0,9,0,4,0,0,0
CaT2T03g03171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g03172,369,131,205,181,494,332,338,281,301,240,246,241,27,40,34
CaT2T03g03173,847,607,618,790,927,737,595,586,585,626,562,616,172,180,177
CaT2T03g03174,69,47,42,48,68,36,60,88,56,35,73,48,8,12,7
CaT2T03g03175,370,140,130,150,402,212,235,156,156,214,165,178,35,45,35
CaT2T03g03176,237,52,55,95,271,233,156,113,133,147,169,143,9,19,13
CaT2T03g03177,272,12,22,16,264,160,33,31,44,88,117,121,2,2,2
CaT2T05g00137,396,296,295,339,399,264,402,431,334,297,243,253,51,76,56
CaT2T02g03430,0,8,8,6,28,9,10,0,11,9,13,9,5,5,0
CaT2T02g03431,11,14,16,20,38,41,45,26,37,36,8,27,0,4,2
CaT2T02g03432,74,127,130,129,96,47,102,188,120,60,75,58,3,6,13
CaT2T02g03433,183,80,45,67,195,153,55,80,68,97,116,101,8,0,0
CaT2T02g03434,23,8,0,0,15,14,7,10,7,19,0,0,0,0,0
CaT2T02g03435,28,3,6,0,16,12,3,11,6,12,6,20,0,3,0
CaT2T02g03436,163,89,70,94,250,149,122,134,132,158,163,146,36,41,19
CaT2T02g03437,350,245,248,321,413,301,378,396,373,270,289,329,58,77,50
CaT2T02g03438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g03439,38,18,17,36,51,78,41,40,44,26,35,41,12,13,7
CaT2T11g02055,212,25,41,31,212,199,66,65,46,91,61,77,7,14,8
CaT2T11g02054,938,403,361,493,1005,664,637,591,490,599,519,468,50,63,47
CaT2T11g02057,385,74,77,109,407,338,108,100,82,231,226,240,32,36,28
CaT2T11g02056,1719,269,229,361,1960,1364,100,179,159,167,142,115,66,68,69
CaT2T11g02051,300,98,147,96,338,245,209,261,249,204,176,238,32,22,27
CaT2T11g02050,351,176,150,246,366,238,285,255,219,199,182,171,36,19,42
CaT2T11g02053,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
CaT2T11g02052,674,202,264,261,721,501,412,389,419,455,347,386,38,56,42
CaT2T11g02059,240,178,135,197,252,184,188,181,139,108,141,127,30,54,30
CaT2T11g02058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01502,26,17,18,27,31,0,29,39,36,24,29,27,0,7,0
CaT2T03g04732,107,46,73,78,93,91,159,109,111,68,67,62,24,28,25
CaT2T11g01500,16,28,19,21,20,20,32,27,53,17,14,15,0,0,0
CaT2T03g04730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01504,3,0,0,2,9,4,0,0,0,0,0,0,0,0,0
CaT2T09g01378,79,35,37,47,75,60,57,64,64,51,29,75,9,0,0
