GeneID	log2FoldChange	color	KO_number
CaT2T03g04733	2.361	#db7765	K03320
CaT2T02g02454	1.188	#e29182	K09489
CaT2T04g01382	1.112	#e29182	K14432
CaT2T05g00131	1.845	#e29182	K01537
CaT2T03g03177	2.457	#db7765	K13407, K20768, K20769
CaT2T02g03433	1.390	#e29182	K07297
CaT2T03g00665	1.118	#e29182	K00864
CaT2T03g00081	3.798	#d45d48	K00454
CaT2T03g00080	2.264	#db7765	K20623
CaT2T12g01718	2.800	#db7765	K18045
CaT2T12g01712	1.083	#e29182	K00939
CaT2T09g02193	1.247	#e29182	K00588
CaT2T09g02196	3.163	#d45d48	K14638
CaT2T06g02741	1.309	#e29182	K12831
CaT2T01g00618	1.105	#e29182	K20359
CaT2T10g02484	2.495	#db7765	K20618
CaT2T05g01332	1.095	#e29182	K12200
CaT2T03g00674	2.527	#db7765	K14992, K14993
CaT2T05g00172	1.873	#e29182	K05643
CaT2T04g01469	6.076	#903221	K01179
CaT2T04g01460	1.481	#e29182	K20725
CaT2T10g02878	4.033	#ca462e	K13494, K13495
CaT2T03g02872	2.489	#db7765	K00787
CaT2T01g05233	1.738	#e29182	K10777
CaT2T09g00929	1.390	#e29182	K15032
CaT2T01g00461	4.532	#ca462e	K01115
CaT2T12g01695	1.185	#e29182	K13379
CaT2T07g02070	4.062	#ca462e	K10840, K16465
CaT2T06g03316	2.986	#db7765	K14686
CaT2T11g00622	2.329	#db7765	K00606
CaT2T07g02915	1.878	#e29182	K07428, K10717, K20660
CaT2T05g01962	4.321	#ca462e	K17506
CaT2T01g05038	8.362	#561e14	K22427
CaT2T01g05037	7.627	#73281a	K01590, K01649, K22427
CaT2T01g02482	2.703	#db7765	K19363
CaT2T01g02485	1.129	#e29182	K15015
CaT2T01g02486	3.382	#d45d48	K13416
CaT2T12g00634	3.681	#d45d48	K00815
CaT2T03g02072	1.372	#e29182	K01057
CaT2T01g00740	2.426	#db7765	K21889
CaT2T08g00236	2.369	#db7765	K14709
CaT2T01g00051	1.483	#e29182	K01761
CaT2T01g00052	1.662	#e29182	K07019
CaT2T09g02351	2.568	#db7765	K02183, K16465
CaT2T12g01228	2.549	#db7765	K09422
CaT2T07g01821	1.088	#e29182	K18834
CaT2T07g01824	1.349	#e29182	K08867
CaT2T07g00196	2.809	#db7765	K17294
CaT2T10g02929	1.342	#e29182	K14664, K21604
CaT2T02g03983	2.909	#db7765	K08900
CaT2T01g02161	1.057	#e29182	K09595
CaT2T02g03674	2.005	#db7765	K20858
CaT2T02g02206	4.289	#ca462e	K09419
CaT2T06g02431	2.348	#db7765	K17583
CaT2T06g02435	1.052	#e29182	K11423
CaT2T09g02964	1.932	#e29182	K13525
CaT2T09g02965	2.009	#db7765	K13525
CaT2T12g02661	2.780	#db7765	K04733
CaT2T09g00231	2.324	#db7765	K09705
CaT2T10g00952	3.453	#d45d48	K13448
CaT2T01g04084	3.502	#d45d48	K08511
CaT2T05g01413	1.025	#e29182	K20027
CaT2T05g01414	1.109	#e29182	K20027
CaT2T01g05074	4.126	#ca462e	K08236
CaT2T05g03109	1.482	#e29182	K14509
CaT2T08g02560	3.921	#d45d48	K13449
CaT2T07g02788	1.429	#e29182	K07300
CaT2T06g00910	1.315	#e29182	K16675
CaT2T07g00545	1.140	#e29182	K07297
CaT2T07g00548	2.319	#db7765	K20043, K20044
CaT2T12g02252	1.379	#e29182	K21354
CaT2T12g02254	5.721	#ad3c28	K21354
CaT2T06g03391	1.137	#e29182	K11254
CaT2T06g03532	2.568	#db7765	K18723
CaT2T05g01272	1.547	#e29182	K01807
CaT2T06g01702	2.488	#db7765	K07195
CaT2T11g03460	1.618	#e29182	K20891
CaT2T05g00634	2.129	#db7765	K13495
CaT2T05g00636	5.780	#ad3c28	K03627
CaT2T11g00348	2.566	#db7765	K19748
CaT2T08g02345	1.928	#e29182	K13416, K13417, K13418
CaT2T04g00396	1.281	#e29182	K04733
CaT2T04g00394	3.234	#d45d48	K01723
CaT2T04g00395	3.290	#d45d48	K01723
CaT2T02g01804	2.532	#db7765	K05389
CaT2T10g02986	1.630	#e29182	K03124
CaT2T10g02987	2.265	#db7765	K09419
CaT2T09g02602	1.935	#e29182	K09523
CaT2T05g00445	1.409	#e29182	K20891
CaT2T10g00271	1.101	#e29182	K07428, K10717, K20660
CaT2T01g00638	2.033	#db7765	K13993
CaT2T12g01402	2.627	#db7765	K14156
CaT2T07g01535	1.014	#e29182	K02218
CaT2T06g00894	1.086	#e29182	K00913
CaT2T06g00893	1.353	#e29182	K09419
CaT2T06g01273	1.998	#e29182	K15442
CaT2T06g01276	3.775	#d45d48	K08509, K18211
CaT2T04g02399	1.846	#e29182	K13412
CaT2T01g01512	3.498	#d45d48	K20854, K20855, K20856
CaT2T12g02350	2.654	#db7765	K14003
CaT2T11g00101	1.423	#e29182	K19613
CaT2T11g00102	1.976	#e29182	K19613
CaT2T09g02284	1.933	#e29182	K04733
CaT2T12g01875	4.084	#ca462e	K15285
CaT2T08g03081	1.325	#e29182	K00764
CaT2T06g01625	1.047	#e29182	K12125
