Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,sample_type,SRA Study,temp,time,tissue,treatment
SRR25031734,six weeks,RNA-Seq,101,46847739,PRJNA987837,SAMN35992888,Plant,35482233,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not collected,SRX20786650,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-2D-1,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 1,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_10",RNA-seq,SRP445935,25,2d,Leaves,TMV-P2
SRR25031735,six weeks,RNA-Seq,101,56949961,PRJNA987837,SAMN35992887,Plant,43185179,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",not collected,SRX20786649,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-1D-3,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 3,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_9",RNA-seq,SRP445935,25,1d,Leaves,TMV-P2
SRR25031736,six weeks,RNA-Seq,101,63644443,PRJNA987837,SAMN35992886,Plant,48243150,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",not collected,SRX20786648,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-1D-2,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 2,2023-06-27T02:56:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_8",RNA-seq,SRP445935,25,1d,Leaves,TMV-P2
SRR25031737,six weeks,RNA-Seq,101,66602228,PRJNA987837,SAMN35992885,Plant,50374665,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not collected,SRX20786647,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-1D-1,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 1,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_7",RNA-seq,SRP445935,25,1d,Leaves,TMV-P2
SRR25031738,six weeks,RNA-Seq,101,69118441,PRJNA987837,SAMN35992884,Plant,52319663,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not collected,SRX20786646,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-4h-3,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 3,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_6",RNA-seq,SRP445935,25,4h,Leaves,TMV-P2
SRR25031739,six weeks,RNA-Seq,101,77033104,PRJNA987837,SAMN35992883,Plant,58336391,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",not collected,SRX20786645,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-4h-2,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 2,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_5",RNA-seq,SRP445935,25,4h,Leaves,TMV-P2
SRR25031740,six weeks,RNA-Seq,101,79612442,PRJNA987837,SAMN35992882,Plant,60006957,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not collected,SRX20786644,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-4h-1,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 1,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_4",RNA-seq,SRP445935,25,4h,Leaves,TMV-P2
SRR25031741,six weeks,RNA-Seq,101,101541360,PRJNA987837,SAMN35992881,Plant,76866078,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not collected,SRX20786643,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-30m-3,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 3,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_3",RNA-seq,SRP445935,25,30m,Leaves,TMV-P2
SRR25031742,six weeks,RNA-Seq,101,68690807,PRJNA987837,SAMN35992893,Plant,52218760,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not collected,SRX20786642,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-3D-3,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 3,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_15",RNA-seq,SRP445935,25,3d,Leaves,TMV-P2
SRR25031743,six weeks,RNA-Seq,101,69615967,PRJNA987837,SAMN35992892,Plant,52898714,GYEONGSANG NATIONAL UNIVERSITY,Missing,public,Capsicum annuum,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not collected,SRX20786641,South Korea,Asia,South Korea,Illumina HiSeq 2500,CM-P2-3D-2,SINGLE,size fractionation,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2023-06-27T00:00:00Z,biological replicate 2,2023-06-27T02:55:00Z,1,"RNA-Seq of Capsicum annuum: Biotic stress, TMV-P2 treatment_14",RNA-seq,SRP445935,25,3d,Leaves,TMV-P2
