.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
SRR24630893_1	1	1	1	0.25	0.5	1	1	0.5	1	1	0
SRR24630893_2	1	1	1	0.25	0.5	1	1	0.5	1	1	0
SRR24630894_1	1	1	1	0.25	1	1	1	0.5	0.5	1	0
SRR24630894_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630896_1	1	1	1	0.25	0.5	1	1	0.5	0.5	1	0
SRR24630896_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630912_1	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630912_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630913_1	1	1	1	0.25	0.5	1	1	0.5	1	1	0
SRR24630913_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630914_1	1	1	1	0.25	0.5	1	1	0.5	1	1	0
SRR24630914_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR24630931_1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25	0
SRR24630931_2	1	1	1	0.25	1	1	1	0.25	1	0.25	0
SRR24630932_1	1	1	1	0.25	1	1	1	0.25	1	0.5	0
SRR24630932_2	1	1	1	0.25	1	1	1	0.25	0.5	0.5	0
SRR24630933_1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5	0
SRR24630933_2	1	1	1	0.25	1	1	1	0.25	1	0.5	0
SRR24630947_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25	0
SRR24630947_2	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630948_1	1	1	1	0.25	0.5	1	1	0.5	1	0.25	0
SRR24630948_2	1	1	1	0.25	0.5	1	1	0.5	1	0.25	0
SRR24630949_1	1	1	1	0.25	0.5	1	1	0.5	1	0.25	0
SRR24630949_2	1	1	1	0.25	0.5	1	1	0.5	1	0.25	0
SRR24630967_1	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630967_2	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630968_1	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630968_2	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630969_1	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630969_2	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR24630977_1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25	1
SRR24630977_2	1	1	1	0.25	1	1	1	0.25	1	0.25	1
SRR24630978_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	1
SRR24630978_2	1	1	1	0.25	1	1	1	0.25	1	0.25	1
SRR24630979_1	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR24630979_2	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR25031738	1	1	1	0.25	1	0.5	1	1	1	1	0.25
SRR25031739	1	1	1	0.25	1	0.5	1	1	1	1	0.25
SRR25031740	1	1	1	0.25	1	0.5	1	1	1	1	0.25
