Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR24630881_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 6.857220128217673e-06)	(9, 6.857220128217673e-06)	(10, 2.331454843594009e-05)	(15, 0.00010422974594890865)	(20, 0.0003222893460262307)	(25, 0.0006966935650269156)	(30, 0.0011478986494636387)	(35, 0.0017403624685416452)	(40, 0.0023945412687736115)	(45, 0.0031927216916981483)	(50, 0.0041280465171870395)	(55, 0.005160743868496621)	(60, 0.0062057842160369945)	(65, 0.007260424671756872)	(70, 0.008481009854579618)	(75, 0.009719423809735731)	(80, 0.011136125488225502)	(85, 0.01347169466389644)	(90, 0.019544448809446013)	(95, 0.03647081097393852)	(100, 0.08290516279417733)	(105, 0.2056123741005813)	(110, 0.482033774689164)	(115, 1.0372711171351028)	(120, 2.0118631279662194)	(125, 3.5464678493405657)	(130, 5.71084652451055)	(135, 8.51694443093953)	(140, 10.472586582518518)
SRR24630881_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.057166038465302e-05)	(3, 9.600108179504742e-05)	(4, 0.0001577160629490065)	(5, 0.0001577160629490065)	(6, 0.00019885938371831254)	(7, 0.00019885938371831254)	(8, 0.0002331454843594009)	(9, 0.00024000270448761856)	(10, 0.00035108967056474486)	(15, 0.0005609206064882057)	(20, 0.001102640996617402)	(25, 0.0021943104410296556)	(30, 0.0035479256943398243)	(35, 0.005193658525112065)	(40, 0.0073043108805774665)	(45, 0.0095987367354791)	(50, 0.012122193742663203)	(55, 0.01508176995000195)	(60, 0.017699856594955456)	(65, 0.020094397863729067)	(70, 0.022711113064656934)	(75, 0.025207141191328164)	(80, 0.02783619938848682)	(85, 0.031411553963339514)	(90, 0.038862609354660835)	(95, 0.05702738547430945)	(100, 0.10438197623575507)	(105, 0.22778450966316033)	(110, 0.5065209077670293)	(115, 1.0660124695805144)	(120, 2.043580513947277)	(125, 3.5808581797276027)	(130, 5.742606425256403)	(135, 8.538699647518314)	(140, 10.487219890272135)
SRR24630882_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.9082659657139308e-05)	(4, 2.544354620951908e-05)	(5, 3.180443276189885e-05)	(6, 3.180443276189885e-05)	(7, 3.180443276189885e-05)	(8, 3.180443276189885e-05)	(9, 3.180443276189885e-05)	(10, 4.452620586665838e-05)	(15, 0.0001132237806323599)	(20, 0.0002951451360304213)	(25, 0.0006055563997865541)	(30, 0.0011156995012874117)	(35, 0.0016563748582396922)	(40, 0.00242731430838812)	(45, 0.003172810212327029)	(50, 0.004013719414551635)	(55, 0.004970396752029552)	(60, 0.005988138600410315)	(65, 0.00703386834962155)	(70, 0.008127940836630869)	(75, 0.009227102032882094)	(80, 0.010429309591281872)	(85, 0.012668341657719549)	(90, 0.01744791181317771)	(95, 0.03115180580162468)	(100, 0.07008679238874126)	(105, 0.17728045256944513)	(110, 0.42176494374209306)	(115, 0.9330110229711333)	(120, 1.851680791121271)	(125, 3.315058718297898)	(130, 5.378286057846283)	(135, 8.051250171823447)	(140, 9.908308456436101)
SRR24630882_2 - illumina_universal_adapter	(1, 0.0)	(2, 1.272177310475954e-05)	(3, 4.452620586665839e-05)	(4, 8.269152518093701e-05)	(5, 8.905241173331678e-05)	(6, 0.00010177418483807631)	(7, 0.00010177418483807631)	(8, 0.00010177418483807631)	(9, 0.00011449595794283586)	(10, 0.00017047175960377783)	(15, 0.0003485765830704114)	(20, 0.0007951108190474713)	(25, 0.0015876772834739906)	(30, 0.003001066275412775)	(35, 0.004579838317713435)	(40, 0.006423223240593091)	(45, 0.008416725086108913)	(50, 0.010676111989514205)	(55, 0.013319696440683237)	(60, 0.015733016798656123)	(65, 0.018086544823036642)	(70, 0.020305222052506698)	(75, 0.02248700613997296)	(80, 0.024628080553503996)	(85, 0.027846689149008157)	(90, 0.03365799510326232)	(95, 0.0479967055696368)	(100, 0.08623708334523349)	(105, 0.1905301792580522)	(110, 0.42957229589648394)	(115, 0.9279006867149514)	(120, 1.820437388553292)	(125, 3.2368350798313523)	(130, 5.22848717953774)	(135, 7.803993606291273)	(140, 9.595779017458026)
SRR24630883_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 6.275984143349503e-06)	(7, 6.275984143349503e-06)	(8, 6.275984143349503e-06)	(9, 1.2551968286699006e-05)	(10, 5.3973463632805724e-05)	(15, 0.00017070676869910647)	(20, 0.0003740486549436304)	(25, 0.000745586916229921)	(30, 0.0013141910796173857)	(35, 0.0018865608334908608)	(40, 0.002642189324350141)	(45, 0.003504509545646362)	(50, 0.004398209687659331)	(55, 0.005310737782102349)	(60, 0.00644418051839127)	(65, 0.007415702863781773)	(70, 0.008605629457360838)	(75, 0.009936138095750934)	(80, 0.011541534839619734)	(85, 0.014488736993336662)	(90, 0.022396477013957035)	(95, 0.044978723158557214)	(100, 0.1063013642232252)	(105, 0.2599424768397357)	(110, 0.5887689004400469)	(115, 1.222748735451955)	(120, 2.2814595629555265)	(125, 3.871988500388735)	(130, 6.010368176844179)	(135, 8.668197253679548)	(140, 10.485663267342614)
SRR24630883_2 - illumina_universal_adapter	(1, 6.275984143349503e-06)	(2, 4.393188900344652e-05)	(3, 9.413976215024254e-05)	(4, 0.00010669173043694155)	(5, 0.00010669173043694155)	(6, 0.00015062361944038807)	(7, 0.00015062361944038807)	(8, 0.00015062361944038807)	(9, 0.00016945157187043657)	(10, 0.0003175647976534848)	(15, 0.000567348966558795)	(20, 0.0011133595870302018)	(25, 0.002283203031350549)	(30, 0.003883578987904672)	(35, 0.005766374230909524)	(40, 0.007917781595249734)	(45, 0.010318973128495253)	(50, 0.012813049227062345)	(55, 0.0156422628788843)	(60, 0.018598251410401917)	(65, 0.021286883017412845)	(70, 0.024078440764374702)	(75, 0.02684238418110582)	(80, 0.029910085230375062)	(85, 0.03412378098421992)	(90, 0.043129818229926446)	(95, 0.06623799184573932)	(100, 0.12632175364051013)	(105, 0.2753387211402007)	(110, 0.5946595391569947)	(115, 1.2086064327833312)	(120, 2.2309629945381366)	(125, 3.761478461198979)	(130, 5.812639530817467)	(135, 8.356314732069452)	(140, 10.095767752437027)
SRR24630931_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.579408989718723e-06)	(5, 4.579408989718723e-06)	(6, 9.158817979437445e-06)	(7, 9.158817979437445e-06)	(8, 9.158817979437445e-06)	(9, 1.373822696915617e-05)	(10, 4.579408989718723e-05)	(15, 0.00016943813261959274)	(20, 0.0005898278778757716)	(25, 0.0011595063561967809)	(30, 0.001904118257925045)	(35, 0.0028502241552009334)	(40, 0.00392088997699717)	(45, 0.005078564569598065)	(50, 0.006344313214356319)	(55, 0.007887574043891529)	(60, 0.009311770239694052)	(65, 0.010609574747380338)	(70, 0.012096966787240978)	(75, 0.013805086340406064)	(80, 0.015955576801977976)	(85, 0.019696953946578173)	(90, 0.02910214412966249)	(95, 0.05656394395920772)	(100, 0.13046553035349054)	(105, 0.31716253957353524)	(110, 0.70801876037322)	(115, 1.4397139811050839)	(120, 2.6131701329663453)	(125, 4.313976369974848)	(130, 6.523793990890364)	(135, 9.207654628667402)	(140, 11.013712170132004)
SRR24630931_2 - illumina_universal_adapter	(1, 2.2897044948593615e-05)	(2, 6.411172585606213e-05)	(3, 9.158817979437446e-05)	(4, 0.0001419616786812804)	(5, 0.00014654108767099913)	(6, 0.00022439104049621744)	(7, 0.0002381292674653736)	(8, 0.0002381292674653736)	(9, 0.00026102631241396723)	(10, 0.00044878208099243487)	(15, 0.0007629295376871393)	(20, 0.0016540825270864028)	(25, 0.003207418056398993)	(30, 0.005332263827628482)	(35, 0.007907723443446292)	(40, 0.010877928114177855)	(45, 0.014041383844275548)	(50, 0.017812069206409948)	(55, 0.02241620700467315)	(60, 0.02621986411153352)	(65, 0.029390646896014762)	(70, 0.03263470022433151)	(75, 0.036150770446637545)	(80, 0.040142183322076384)	(85, 0.045635642346142966)	(90, 0.05646869225222158)	(95, 0.0848427103525188)	(100, 0.15862981152205863)	(105, 0.3426982399820047)	(110, 0.7285015409024339)	(115, 1.4502750141171732)	(120, 2.6035304770429883)	(125, 4.270105631853343)	(130, 6.428948019540703)	(135, 9.044309857649528)	(140, 10.803686735636536)
SRR24630932_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 7.148643459119911e-06)	(6, 7.148643459119911e-06)	(7, 7.148643459119911e-06)	(8, 7.148643459119911e-06)	(9, 7.148643459119911e-06)	(10, 2.4305387761007696e-05)	(15, 0.000158699884792462)	(20, 0.0005232807012075775)	(25, 0.0011666586125283695)	(30, 0.0020130579980881668)	(35, 0.0029709762216102347)	(40, 0.004007529523182622)	(45, 0.00511985844542168)	(50, 0.006486679074805407)	(55, 0.007924986138780333)	(60, 0.009510555258013129)	(65, 0.011121859493698757)	(70, 0.012817517722201998)	(75, 0.014723346068403368)	(80, 0.016999474145787147)	(85, 0.020445120293082944)	(90, 0.02697183177125942)	(95, 0.0443601921212227)	(100, 0.08828860617751455)	(105, 0.19985319545792352)	(110, 0.4474064292611706)	(115, 0.9390515237047588)	(120, 1.7897300872391853)	(125, 3.1136173937361296)	(130, 4.975916220186225)	(135, 7.385964124675773)	(140, 9.059054085778575)
SRR24630932_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.8594573836479644e-05)	(3, 7.863507805031901e-05)	(4, 0.00012152693880503848)	(5, 0.00012867558226415838)	(6, 0.0001358242257232783)	(7, 0.0001358242257232783)	(8, 0.00015727015610063802)	(9, 0.00017871608647799776)	(10, 0.00039031593286794713)	(15, 0.0007148643459119911)	(20, 0.0014383070639749263)	(25, 0.0030967923464907455)	(30, 0.005563074339887114)	(35, 0.008371061490629415)	(40, 0.011493588953572992)	(45, 0.01484201354982476)	(50, 0.018898153848529393)	(55, 0.02334461008010198)	(60, 0.027805363598592803)	(65, 0.03208883075929746)	(70, 0.03600771710358699)	(75, 0.04011818709258093)	(80, 0.04444168665665666)	(85, 0.04988752324381421)	(90, 0.05844016027830527)	(95, 0.07757707881836928)	(100, 0.1232583402508373)	(105, 0.2374822248980389)	(110, 0.48991226326909754)	(115, 0.9907705294027995)	(120, 1.8536232327481073)	(125, 3.1932861656306377)	(130, 5.071010334936821)	(135, 7.4950481346758675)	(140, 9.178522215267387)
