Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR24630881_1	(1, 0.18657810246867468)	(2, 0.0)	(3, 0.0)	(4, 0.06822248305563763)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.034353712831553e-05)	(20, 0.0004964627372829595)	(25, 0.0003689184428981108)	(30, 0.0006130354794626601)	(35, 8.365808556425562e-05)	(40, 0.00024823136864147977)	(45, 0.000492348405206029)	(50, 8.228664153861209e-05)	(55, 0.00032640367810316125)	(60, 5.074342894881078e-05)	(65, 0.00014948739879514528)	(70, 0.0)	(75, 0.00030034624161593413)	(80, 0.0014194445665410584)	(85, 0.0007446941059244393)	(90, 0.0018994499755162954)	(95, 0.00015497317489771942)	(100, 0.0006788647926935496)	(105, 0.00023314548435940087)	(110, 0.00047726252092395)	(115, 0.0006637789084114708)	(120, 7.680086543603795e-05)	(125, 0.010606748094327097)	(130, 0.007793916397732208)	(135, 0.004222676154956443)	(140, 0.0033888381873651745)	(145, 0.006555502442576095)	(150, 0.00733722553719291)																	
SRR24630881_2	(1, 0.11474186440546633)	(2, 0.000774865874488597)	(3, 0.015613890231951642)	(4, 0.010560118997455218)	(5, 0.004621766366418712)	(6, 0.01019668633065968)	(7, 0.014269875086820979)	(8, 0.00987439698463345)	(9, 0.017499625767211504)	(10, 0.006869563124448466)	(15, 0.007980432785219729)	(20, 0.00873746988737496)	(25, 0.009664566048709989)	(30, 0.010575204881737296)	(35, 0.010442174811249873)	(40, 0.01369249715202505)	(45, 0.009132445766760297)	(50, 0.009730395361940878)	(55, 0.011125153936020354)	(60, 0.011688817430559845)	(65, 0.01164355977771361)	(70, 0.010806978922071053)	(75, 0.010639662750942542)	(80, 0.01009931380483899)	(85, 0.011898648366483307)	(90, 0.012041278545150235)	(95, 0.011557158804098066)	(100, 0.012980717702716055)	(105, 0.010167886006121165)	(110, 0.009911425973325826)	(115, 0.009741366914146028)	(120, 0.010528575784865416)	(125, 0.0107548640490966)	(130, 0.00968788059714593)	(135, 0.012093393418124689)	(140, 0.012296367133919931)	(145, 0.008464552526271896)	(150, 0.008708669562836445)																	
SRR24630882_1	(1, 0.18520357285908937)	(2, 0.0)	(3, 0.0)	(4, 0.06890748402193005)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 4.70705604876103e-05)	(20, 0.0004821552006703865)	(25, 0.0003396713418970797)	(30, 0.0006157338182703617)	(35, 7.760281593903318e-05)	(40, 0.0002544354620951908)	(45, 0.0004885160872227664)	(50, 9.541329828569656e-05)	(55, 0.00032186085955041634)	(60, 3.434878738285076e-05)	(65, 0.00014757256801521066)	(70, 0.0)	(75, 0.0002646128805789984)	(80, 0.001410844637317833)	(85, 0.0007645785635960483)	(90, 0.001800130894323475)	(95, 0.00010050200752760035)	(100, 0.0006335443006170251)	(105, 0.00020354836967615263)	(110, 0.00046816125025515105)	(115, 0.0006475382510322605)	(120, 5.3431447039990065e-05)	(125, 0.011050132118794137)	(130, 0.00814066260973563)	(135, 0.004334308096791575)	(140, 0.003456505752563167)	(145, 0.0065975115321282975)	(150, 0.007540831007846217)																	
SRR24630882_2	(1, 0.11545645181224522)	(2, 0.0006170059955808377)	(3, 0.016112125637177958)	(4, 0.010043839866207657)	(5, 0.0045861992042658135)	(6, 0.009719434652036289)	(7, 0.0149353616249877)	(8, 0.009566773374779174)	(9, 0.018192135539806142)	(10, 0.007066944959693924)	(15, 0.008197910588707048)	(20, 0.008909057705263105)	(25, 0.00995733180909529)	(30, 0.010663390216409446)	(35, 0.01065575715254659)	(40, 0.01396977904633645)	(45, 0.00930979355806303)	(50, 0.00994206568136958)	(55, 0.011331283304409322)	(60, 0.011927934463022545)	(65, 0.01180707761852733)	(70, 0.011018327686032238)	(75, 0.010967440593613199)	(80, 0.010341529356859029)	(85, 0.012126394123456792)	(90, 0.012338847734306277)	(95, 0.011879591725224459)	(100, 0.013299341603715624)	(105, 0.010336440647617127)	(110, 0.01010872090904193)	(115, 0.009832658432668649)	(120, 0.010654484975236115)	(125, 0.010836406330634176)	(130, 0.009704168524310577)	(135, 0.01228796064188724)	(140, 0.012392279181346267)	(145, 0.00865589442047839)	(150, 0.008628542608303157)																	
SRR24630883_1	(1, 0.1862272774856098)	(2, 0.0)	(3, 0.0)	(4, 0.06892285786226424)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.6483857290145524e-05)	(20, 0.0005121203060973194)	(25, 0.0003966421978596886)	(30, 0.000620067233362931)	(35, 8.033259703487364e-05)	(40, 0.0002560601530486597)	(45, 0.0004995683378106204)	(50, 9.916054946492215e-05)	(55, 0.000327606372282844)	(60, 4.393188900344652e-05)	(65, 0.00017070676869910647)	(70, 0.0)	(75, 0.00033639275008353334)	(80, 0.0014736010768584633)	(85, 0.0007907740020620373)	(90, 0.0018978576049488896)	(95, 0.00013430606066767937)	(100, 0.000656467941394358)	(105, 0.00024350818476196072)	(110, 0.000466933220265203)	(115, 0.0006489367604223386)	(120, 8.284299069221344e-05)	(125, 0.010642813910292086)	(130, 0.007843724982358209)	(135, 0.004242565280904264)	(140, 0.0033601619103493237)	(145, 0.006535809886884172)	(150, 0.007220519756923603)																	
SRR24630883_2	(1, 0.11422291140896096)	(2, 0.0007091862081984938)	(3, 0.015482852881643224)	(4, 0.01060013721811731)	(5, 0.004606572361218535)	(6, 0.010292613995093184)	(7, 0.01427786392612012)	(8, 0.010129438407366097)	(9, 0.0176480674110988)	(10, 0.0068609058655096766)	(15, 0.007965479074739188)	(20, 0.008741190714857187)	(25, 0.009646187628328185)	(30, 0.01059762682445997)	(35, 0.010452023992334263)	(40, 0.013807165115368907)	(45, 0.009058755512510673)	(50, 0.009706437076104342)	(55, 0.011075856816183203)	(60, 0.01162939861762663)	(65, 0.011618101846168601)	(70, 0.010792182332903806)	(75, 0.010631517138834057)	(80, 0.01021353659488698)	(85, 0.011915583494563366)	(90, 0.012059931129860405)	(95, 0.011512665312560328)	(100, 0.01300760473550618)	(105, 0.010118141635908068)	(110, 0.00984450872725803)	(115, 0.0095871933773807)	(120, 0.010524825408397116)	(125, 0.010542398163998495)	(130, 0.009498074402545137)	(135, 0.012082524672776462)	(140, 0.012280845771706305)	(145, 0.008438688279147741)	(150, 0.008623202212962217)																	
SRR24630893_1	(1, 0.013866256537952164)	(2, 0.0)	(3, 0.0)	(4, 0.004003637451098864)	(5, 0.009472020311136337)	(6, 0.022508254450689956)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0001830931761173261)	(34, 0.0)	(36, 0.00017088696437617105)	(38, 0.0003417739287523421)	(40, 0.0)	(42, 0.0)	(44, 0.0019407876668436567)	(46, 0.0015990137380913149)	(48, 0.003564213828417282)	(50, 0.0039670188158753995)	(52, 0.006310611470177174)	(54, 0.0005126608931285132)	(56, 0.00026853665830541164)	(58, 0.00654252949325912)	(60, 0.005956631329683677)	(62, 0.006627972975447205)	(64, 0.005675888459637109)	(66, 0.009508638946359803)	(68, 0.016002343592654303)	(70, 0.01583145662827813)	(72, 0.012157386894190454)	(74, 0.0174426765781106)	(76, 0.021312045700056757)	(78, 0.014610835454162625)	(80, 0.016295292674442022)	(82, 0.006603560551964895)	(84, 0.007653294761704231)	(86, 0.003161408840959164)	(88, 0.0022459429603725336)	(90, 0.00012206211741155074)	(92, 0.0021116746312198277)	(94, 0.0021727056899256032)	(96, 0.0031858212644414745)	(98, 0.0015013640441620742)	(100, 0.0)
SRR24630893_2	(1, 0.12550426912255647)	(2, 0.1580460296244759)	(3, 0.1801636852994489)	(4, 0.18463115879671163)	(5, 0.19639794691518514)	(6, 0.1053640197496506)	(7, 0.09479344038181031)	(8, 0.09972474992523696)	(9, 0.09017949234365369)	(10, 0.08821429225332772)	(12, 0.08043893537421193)	(14, 0.07512923326680948)	(16, 0.07270019713031962)	(18, 0.07616676126480766)	(20, 0.07106456475700483)	(22, 0.06734167017595254)	(24, 0.06634076081317783)	(26, 0.060750315835728805)	(28, 0.054512941635998555)	(30, 0.05706403988989998)	(32, 0.05828466106401548)	(34, 0.05544061372832634)	(36, 0.06138503884626886)	(38, 0.0533045266736242)	(40, 0.052657597451342984)	(42, 0.04655449158076545)	(44, 0.047396720190905156)	(46, 0.04700612141518819)	(48, 0.046224923863754264)	(50, 0.04854410409457373)	(52, 0.04550475737102611)	(54, 0.04931309543426649)	(56, 0.05082666569016973)	(58, 0.0567832970198534)	(60, 0.05716168958382921)	(62, 0.05761331941825195)	(64, 0.06353333211271216)	(66, 0.06253242274993744)	(68, 0.05868746605147359)	(70, 0.05995691207255372)	(72, 0.05695418398422958)	(74, 0.05810156788789815)	(76, 0.06065266614179956)	(78, 0.05717389579557036)	(80, 0.05909027103893172)	(82, 0.055342964034397105)	(84, 0.0567832970198534)	(86, 0.061885493527656224)	(88, 0.05691756534900611)	(90, 0.05603871810364294)	(92, 0.05789406228829851)	(94, 0.05994470586081256)	(96, 0.06263007244386667)	(98, 0.0584433418166505)	(100, 0.053768362719788104)
SRR24630894_1	(1, 0.014897825954440981)	(2, 0.0)	(3, 0.0)	(4, 0.004401055545114992)	(5, 0.009915021687845272)	(6, 0.023017014632497952)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00012646711336537336)	(34, 0.0)	(36, 0.00011382040202883602)	(38, 0.00021499409272113468)	(40, 0.0)	(42, 0.0)	(44, 0.0018464198551344508)	(46, 0.0014164316696921816)	(48, 0.0033007916588362446)	(50, 0.0036801929989323644)	(52, 0.005716313524114876)	(54, 0.00042998818544226936)	(56, 0.0003161677834134334)	(58, 0.00622218197757637)	(60, 0.005627786544759115)	(62, 0.006133654998220608)	(64, 0.005387499029364905)	(66, 0.008789464378893448)	(68, 0.01491047266577752)	(70, 0.014606951593700623)	(72, 0.01125557308951823)	(74, 0.016263670778787015)	(76, 0.019526522303613646)	(78, 0.0132790469033642)	(80, 0.01494841279978713)	(82, 0.005969247750845622)	(84, 0.007271859018508967)	(86, 0.002908743607403587)	(88, 0.0021878810612209593)	(90, 0.00016440724737498536)	(92, 0.0020867073705286604)	(94, 0.0021752343498844216)	(96, 0.002832863339384363)	(98, 0.001542898783057555)	(100, 0.0)
SRR24630894_2	(1, 0.12330543553123902)	(2, 0.15504868098594773)	(3, 0.1768516113301381)	(4, 0.1821379366688107)	(5, 0.19357056371704046)	(6, 0.10400655403168305)	(7, 0.09340860993166475)	(8, 0.09841670762093355)	(9, 0.08880520700516517)	(10, 0.08635174500587693)	(12, 0.078586664245243)	(14, 0.07323710534988771)	(16, 0.07082158348460908)	(18, 0.07450177648354145)	(20, 0.06953161892828227)	(22, 0.06577554566133069)	(24, 0.06513056338316728)	(26, 0.05850368664282172)	(28, 0.05344500210820678)	(30, 0.05580993712813926)	(32, 0.056986081282437234)	(34, 0.05434291861310093)	(36, 0.059995998580533116)	(38, 0.05249649875796648)	(40, 0.05180092963445693)	(42, 0.04542698712084211)	(44, 0.04660313127514008)	(46, 0.04627431678039011)	(48, 0.04521199302812097)	(50, 0.04756428133671692)	(52, 0.044718771285996016)	(54, 0.04850013797562068)	(56, 0.04975216239793788)	(58, 0.055215541695322)	(60, 0.056138751622889234)	(62, 0.05549376934472583)	(64, 0.06069156770404267)	(66, 0.060931855219436885)	(68, 0.0566699134990238)	(70, 0.0581622254367352)	(72, 0.0556202364580912)	(74, 0.056227278602244996)	(76, 0.059490130127071626)	(78, 0.05544318249937968)	(80, 0.05793458463267753)	(82, 0.05420380478839902)	(84, 0.05536730223136046)	(86, 0.060501867033994614)	(88, 0.05580993712813926)	(90, 0.055898464107495015)	(92, 0.05756783000391795)	(94, 0.05950277683840816)	(96, 0.06182977172433103)	(98, 0.0583645728181198)	(100, 0.052977073788754894)
