Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR24630881_1	(1, 31.47984145284197)	(2, 31.56897880014968)	(3, 35.613439575444815)	(4, 36.15215993176792)	(5, 36.36668292056411)	(6, 39.818922828090386)	(7, 39.919161054774854)	(8, 39.99751158338767)	(9, 40.0257618217275)	(10, 40.124018435224876)	(15, 40.1313485841109)	(20, 40.106568332301435)	(25, 39.98519519317098)	(30, 39.93452007584908)	(35, 39.9141769666113)	(40, 39.8976212234803)	(45, 39.874417734581556)	(50, 39.820318135242076)	(55, 39.817366129405755)	(60, 39.78526683740687)	(65, 39.72228258480718)	(70, 39.6804505934204)	(75, 39.53297148239865)	(80, 39.773639501811985)	(85, 39.73531885970738)	(90, 39.71853815861285)	(95, 39.64107712116619)	(100, 39.61446706130883)	(105, 39.573499326518125)	(110, 39.52838845932596)	(115, 39.48467385929629)	(120, 39.39121961762906)	(125, 39.35923711780341)	(130, 39.2657403339425)	(135, 39.233321221196846)	(140, 39.101039657429745)	(145, 38.9819030692163)	(150, 38.11761891396856)																	
SRR24630881_2	(1, 31.346256153240766)	(2, 31.34356620292887)	(3, 35.03774851680043)	(4, 35.68048844527551)	(5, 35.9745535418262)	(6, 39.284528829090576)	(7, 39.32522704770136)	(8, 39.48905707668889)	(9, 39.464967113800846)	(10, 39.45947565992001)	(15, 39.391762805464296)	(20, 39.33336787086538)	(25, 39.296810000624696)	(30, 39.240850736900875)	(35, 39.19627343000688)	(40, 39.116770038117224)	(45, 39.07887588767572)	(50, 39.02362134046448)	(55, 38.95479163685204)	(60, 38.89651383728735)	(65, 38.824499654361816)	(70, 38.73416913703736)	(75, 38.41800557889715)	(80, 38.76899262430546)	(85, 38.72975031695786)	(90, 38.69514975791613)	(95, 38.621781603161836)	(100, 38.572788507079636)	(105, 38.48967374649502)	(110, 38.36583822075984)	(115, 38.29614239538745)	(120, 38.167065539732825)	(125, 37.99898677715386)	(130, 37.849528110111045)	(135, 37.65669160111907)	(140, 37.35601606207814)	(145, 37.102498489868694)	(150, 35.354854695848346)																	
SRR24630882_1	(1, 31.449137047145427)	(2, 31.54028727926372)	(3, 35.549758893775675)	(4, 36.10285133736686)	(5, 36.325820447820405)	(6, 39.75144555917568)	(7, 39.84877647393032)	(8, 39.93276765545164)	(9, 39.96405011386305)	(10, 40.069275130542884)	(15, 40.07761436730901)	(20, 40.05046215975379)	(25, 39.921703402164695)	(30, 39.86496354353286)	(35, 39.83535740771992)	(40, 39.825131035853204)	(45, 39.80424498852783)	(50, 39.748296869445156)	(55, 39.74571639771036)	(60, 39.71439485801197)	(65, 39.64777443074995)	(70, 39.60370721373514)	(75, 39.45430931299309)	(80, 39.70270044441607)	(85, 39.66210620784998)	(90, 39.64210479446099)	(95, 39.563854580210425)	(100, 39.534467996757726)	(105, 39.49252273333148)	(110, 39.44609075496662)	(115, 39.404071374490265)	(120, 39.31431987588129)	(125, 39.283905322274634)	(130, 39.19437378312264)	(135, 39.163023772096054)	(140, 39.031279532403595)	(145, 38.91351932014335)	(150, 38.037422622200424)																	
SRR24630882_2	(1, 31.2898979771045)	(2, 31.255020282004818)	(3, 34.88141163847596)	(4, 35.54151327653783)	(5, 35.85958559205764)	(6, 39.101084283082606)	(7, 39.16867748072508)	(8, 39.35223033991496)	(9, 39.32373852965181)	(10, 39.32015807566388)	(15, 39.244987217480436)	(20, 39.1774686839243)	(25, 39.138888278597165)	(30, 39.08289672738111)	(35, 39.0378588009131)	(40, 38.96059580897724)	(45, 38.91762982680769)	(50, 38.86351210371757)	(55, 38.78952365801355)	(60, 38.73096752455732)	(65, 38.65397139725587)	(70, 38.56036226266658)	(75, 38.23856745456212)	(80, 38.60290338850151)	(85, 38.55865858825594)	(90, 38.5235545346474)	(95, 38.44849913927664)	(100, 38.39528826233874)	(105, 38.307551612710554)	(110, 38.17762826584613)	(115, 38.10170016956215)	(120, 37.96709730928774)	(125, 37.79045690184496)	(130, 37.63454999494628)	(135, 37.43364612568895)	(140, 37.11907133091819)	(145, 36.85742630006503)	(150, 35.10496060734762)																	
SRR24630883_1	(1, 31.468773715375082)	(2, 31.555943683334927)	(3, 35.5720786737289)	(4, 36.11515338881805)	(5, 36.33788367287663)	(6, 39.75778893564079)	(7, 39.85073262073299)	(8, 39.93197950313787)	(9, 39.96826598825788)	(10, 40.08015610380879)	(15, 40.09096258283357)	(20, 40.0627554859005)	(25, 39.94279259704994)	(30, 39.89045194365973)	(35, 39.858901918668764)	(40, 39.85114703651794)	(45, 39.82364711747813)	(50, 39.77390801013898)	(55, 39.7760264936905)	(60, 39.745635329171606)	(65, 39.677161630942514)	(70, 39.638893001750496)	(75, 39.48844867462511)	(80, 39.735308184711755)	(85, 39.692475295843614)	(90, 39.67462580699742)	(95, 39.60353513634826)	(100, 39.57243128362202)	(105, 39.52945786291694)	(110, 39.48287174725156)	(115, 39.43605330720516)	(120, 39.34381445278815)	(125, 39.317379292114175)	(130, 39.22341963815688)	(135, 39.188945330906286)	(140, 39.05971556235705)	(145, 38.92964565291448)	(150, 38.03886032897705)																	
SRR24630883_2	(1, 31.27717099471085)	(2, 31.29258707112121)	(3, 34.99968726771014)	(4, 35.58671332735358)	(5, 35.86640889944593)	(6, 39.145700298159454)	(7, 39.20175312085863)	(8, 39.364398764484655)	(9, 39.324388110373974)	(10, 39.33212302234326)	(15, 39.2633804107456)	(20, 39.172582936502856)	(25, 39.14120609101833)	(30, 39.08161263420878)	(35, 39.041597988572185)	(40, 38.95486667424806)	(45, 38.91337385861815)	(50, 38.85199886329376)	(55, 38.77955478921605)	(60, 38.719517444600015)	(65, 38.64243790353008)	(70, 38.54709395575029)	(75, 38.224596259664075)	(80, 38.58051639550649)	(85, 38.5368763021098)	(90, 38.497304653089955)	(95, 38.41932723207258)	(100, 38.36643755558953)	(105, 38.27781866372247)	(110, 38.147245031240594)	(115, 38.069710406008475)	(120, 37.927656580156)	(125, 37.74442257054771)	(130, 37.58698044579069)	(135, 37.377315543177644)	(140, 37.05975940638227)	(145, 36.792713808345)	(150, 35.01685748168856)																	
SRR24630893_1	(1, 34.663786733068456)	(2, 34.72447699434242)	(3, 34.66845121482322)	(4, 34.66364001440333)	(5, 34.66202098247798)	(6, 38.50964644707692)	(7, 38.88285967128672)	(8, 39.127398917309016)	(9, 39.21687508773215)	(10, 39.266902002429035)	(12, 39.27481077320249)	(14, 39.257351496176405)	(16, 39.260033933268645)	(18, 39.248685452026535)	(20, 39.23319723407242)	(22, 39.221366607466535)	(24, 39.21133236904261)	(26, 39.19121775271435)	(28, 39.17492624396555)	(30, 39.17432508803731)	(32, 39.1472922350184)	(34, 39.1285561882442)	(36, 39.10716272711183)	(38, 39.1012759153133)	(40, 39.073207365228164)	(42, 39.04805024076752)	(44, 39.03025517085645)	(46, 39.01750419588528)	(48, 38.981215616627296)	(50, 38.9542430622944)	(52, 38.918615693526434)	(54, 38.8978814898902)	(56, 38.87446777865256)	(58, 38.84716724341017)	(60, 38.82897303037515)	(62, 38.80817388969247)	(64, 38.78280938169435)	(66, 38.76604390574363)	(68, 38.72336586288762)	(70, 38.68947397330501)	(72, 38.669681112718266)	(74, 38.64231918023082)	(76, 38.60355225174091)	(78, 38.59124411813171)	(80, 38.555652513564155)	(82, 38.5265470457916)	(84, 38.493190886842314)	(86, 38.48902331996753)	(88, 38.45300584067232)	(90, 38.4440912780514)	(92, 38.38944760788766)	(94, 38.355912994122704)	(96, 38.31766214426521)	(98, 38.28205943204497)	(100, 37.09360443329611)
SRR24630893_2	(1, 34.211314914159814)	(2, 34.189092040939634)	(3, 34.17312656010644)	(4, 34.14778939402262)	(5, 34.13011333467602)	(6, 38.953930095025356)	(7, 39.04042917040482)	(8, 39.08129092895374)	(9, 39.08145058620332)	(10, 39.09476207041764)	(12, 39.08489200554162)	(14, 39.073562321865595)	(16, 39.07120225082544)	(18, 39.06296195934111)	(20, 39.06151552324978)	(22, 39.047862631293064)	(24, 39.033311240090086)	(26, 39.01823852158363)	(28, 39.00193090063533)	(30, 38.98227206425349)	(32, 38.95311728338552)	(34, 38.92771762149758)	(36, 38.89972218662077)	(38, 38.883796375975734)	(40, 38.825951870907105)	(42, 38.75204728686428)	(44, 38.708707789394026)	(46, 38.68878590914917)	(48, 38.65968654448248)	(50, 38.623014934300066)	(52, 38.59740227401725)	(54, 38.55110203782705)	(56, 38.53285594839214)	(58, 38.49559502230685)	(60, 38.47077771878109)	(62, 38.43439197807764)	(64, 38.407269531464564)	(66, 38.36359363079872)	(68, 38.32863809192498)	(70, 38.30532935410831)	(72, 38.253918132937855)	(74, 38.22432722412435)	(76, 38.17480491422084)	(78, 38.14171143294823)	(80, 38.10296928306815)	(82, 38.05056813812549)	(84, 37.99318807941361)	(86, 38.00269684042209)	(88, 37.9721714240377)	(90, 37.92117033158175)	(92, 37.8874962008166)	(94, 37.844485050442174)	(96, 37.783135531672066)	(98, 37.744923009319436)	(100, 36.360313211393276)
SRR24630894_1	(1, 34.653798300636105)	(2, 34.71798061360326)	(3, 34.660994026452364)	(4, 34.65553342943148)	(5, 34.65403277066429)	(6, 38.49491665437828)	(7, 38.8851041216391)	(8, 39.13132496812396)	(9, 39.221418116211645)	(10, 39.272454299211574)	(12, 39.28237842653159)	(14, 39.26605291333436)	(16, 39.2694208590304)	(18, 39.25894773797127)	(20, 39.24485791040412)	(22, 39.235207837318775)	(24, 39.22546847845139)	(26, 39.20460102534477)	(28, 39.191255456739775)	(30, 39.18949541392307)	(32, 39.166835415951596)	(34, 39.14808641346096)	(36, 39.131419565524766)	(38, 39.125271366808505)	(40, 39.09717429469923)	(42, 39.077226510441)	(44, 39.06128748074222)	(46, 39.04768872497627)	(48, 39.01533236695596)	(50, 38.992151703878775)	(52, 38.96014338335445)	(54, 38.93846590838672)	(56, 38.92133075272973)	(58, 38.89521858196473)	(60, 38.87790207246718)	(62, 38.86195317833355)	(64, 38.837057494732015)	(66, 38.823588747158595)	(68, 38.781169906796265)	(70, 38.74988472522617)	(72, 38.73270985889558)	(74, 38.70440171317411)	(76, 38.667769754985144)	(78, 38.656509123211094)	(80, 38.6234990566818)	(82, 38.59529423459195)	(84, 38.566675865041375)	(86, 38.56233867538852)	(88, 38.53060757077669)	(90, 38.52118463262695)	(92, 38.46718798097024)	(94, 38.432700019754165)	(96, 38.39944448055783)	(98, 38.365020132299776)	(100, 37.17878263768411)
SRR24630894_2	(1, 34.20268302510347)	(2, 34.14874682472695)	(3, 34.12280513163076)	(4, 34.08256886071089)	(5, 34.19346787242099)	(6, 38.921712304010754)	(7, 39.03718133132942)	(8, 39.07972891521316)	(9, 39.08332488111459)	(10, 39.09724347221024)	(12, 39.08632000176042)	(14, 39.07662300937602)	(16, 39.07434166911802)	(18, 39.06536718335227)	(20, 39.06520872005923)	(22, 39.052715033929864)	(24, 39.0358809964698)	(26, 39.020545467836)	(28, 39.00823212381029)	(30, 38.991291727507885)	(32, 38.964510925114524)	(34, 38.9425686280114)	(36, 38.91568083444013)	(38, 38.90069524030902)	(40, 38.85158236916914)	(42, 38.782047335628796)	(44, 38.73932636533263)	(46, 38.71972560683348)	(48, 38.695129523823496)	(50, 38.66585200767807)	(52, 38.64225311785698)	(54, 38.60144787139407)	(56, 38.584627239448025)	(58, 38.552278090053186)	(60, 38.52950186880453)	(62, 38.49356889435114)	(64, 38.47354004467324)	(66, 38.43452544606848)	(68, 38.40508668435352)	(70, 38.37927563178543)	(72, 38.33302901130287)	(74, 38.309222462481635)	(76, 38.262440759642416)	(78, 38.227885264987805)	(80, 38.19115655945712)	(82, 38.14501566548133)	(84, 38.086941967023954)	(86, 38.09956401727338)	(88, 38.072235106410695)	(90, 38.0168844978383)	(92, 37.98275949723758)	(94, 37.94920081637051)	(96, 37.887571242086636)	(98, 37.850256614419735)	(100, 36.44976549203169)
