Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR24630893_1	(14.0, 1.0)	(15.0, 19.0)	(16.0, 188.0)	(17.0, 380.0)	(18.0, 328.0)	(19.0, 351.0)	(20.0, 441.0)	(21.0, 522.0)	(22.0, 707.0)	(23.0, 1124.0)	(24.0, 2050.0)	(25.0, 3448.0)	(26.0, 5359.0)	(27.0, 7231.0)	(28.0, 9832.0)	(29.0, 13167.0)	(30.0, 17187.0)	(31.0, 23117.0)	(32.0, 30965.0)	(33.0, 41096.0)	(34.0, 54783.0)	(35.0, 74598.0)	(36.0, 109428.0)	(37.0, 197602.0)	(38.0, 777395.0)	(39.0, 2724956.0)													
SRR24630893_2	(2.0, 1780.0)	(3.0, 89.0)	(4.0, 77.0)	(5.0, 67.0)	(6.0, 36.0)	(7.0, 26.0)	(8.0, 47.0)	(9.0, 22.0)	(10.0, 36.0)	(11.0, 31.0)	(12.0, 36.0)	(13.0, 36.0)	(14.0, 37.0)	(15.0, 47.0)	(16.0, 97.0)	(17.0, 184.0)	(18.0, 288.0)	(19.0, 749.0)	(20.0, 1644.0)	(21.0, 2470.0)	(22.0, 3266.0)	(23.0, 4279.0)	(24.0, 5459.0)	(25.0, 7276.0)	(26.0, 9149.0)	(27.0, 12007.0)	(28.0, 15878.0)	(29.0, 20556.0)	(30.0, 26468.0)	(31.0, 33400.0)	(32.0, 41053.0)	(33.0, 49863.0)	(34.0, 59963.0)	(35.0, 76620.0)	(36.0, 111718.0)	(37.0, 227061.0)	(38.0, 1109910.0)	(39.0, 2274550.0)	
SRR24630894_1	(15.0, 9.0)	(16.0, 165.0)	(17.0, 303.0)	(18.0, 320.0)	(19.0, 333.0)	(20.0, 377.0)	(21.0, 463.0)	(22.0, 621.0)	(23.0, 998.0)	(24.0, 1814.0)	(25.0, 3071.0)	(26.0, 4679.0)	(27.0, 6448.0)	(28.0, 8818.0)	(29.0, 11568.0)	(30.0, 15403.0)	(31.0, 20534.0)	(32.0, 28115.0)	(33.0, 37291.0)	(34.0, 49824.0)	(35.0, 67824.0)	(36.0, 100932.0)	(37.0, 184982.0)	(38.0, 747634.0)	(39.0, 2661071.0)														
SRR24630894_2	(2.0, 1683.0)	(3.0, 87.0)	(4.0, 78.0)	(5.0, 55.0)	(6.0, 36.0)	(7.0, 18.0)	(8.0, 45.0)	(9.0, 45.0)	(10.0, 36.0)	(11.0, 21.0)	(12.0, 29.0)	(13.0, 25.0)	(14.0, 21.0)	(15.0, 37.0)	(16.0, 183.0)	(17.0, 391.0)	(18.0, 410.0)	(19.0, 765.0)	(20.0, 1493.0)	(21.0, 2264.0)	(22.0, 2960.0)	(23.0, 3886.0)	(24.0, 5110.0)	(25.0, 6463.0)	(26.0, 8278.0)	(27.0, 10672.0)	(28.0, 13393.0)	(29.0, 17695.0)	(30.0, 22955.0)	(31.0, 28827.0)	(32.0, 35489.0)	(33.0, 44060.0)	(34.0, 54493.0)	(35.0, 71039.0)	(36.0, 105870.0)	(37.0, 222488.0)	(38.0, 1104221.0)	(39.0, 2187976.0)	
SRR24630896_1	(15.0, 14.0)	(16.0, 173.0)	(17.0, 313.0)	(18.0, 319.0)	(19.0, 337.0)	(20.0, 380.0)	(21.0, 495.0)	(22.0, 635.0)	(23.0, 1029.0)	(24.0, 1920.0)	(25.0, 3186.0)	(26.0, 4832.0)	(27.0, 6733.0)	(28.0, 8739.0)	(29.0, 11513.0)	(30.0, 15190.0)	(31.0, 19504.0)	(32.0, 26017.0)	(33.0, 34401.0)	(34.0, 46187.0)	(35.0, 63703.0)	(36.0, 94965.0)	(37.0, 178123.0)	(38.0, 733435.0)	(39.0, 2549532.0)														
SRR24630896_2	(2.0, 1643.0)	(3.0, 74.0)	(4.0, 68.0)	(5.0, 55.0)	(6.0, 44.0)	(7.0, 28.0)	(8.0, 45.0)	(9.0, 19.0)	(10.0, 41.0)	(11.0, 23.0)	(12.0, 30.0)	(13.0, 35.0)	(14.0, 30.0)	(15.0, 40.0)	(16.0, 171.0)	(17.0, 294.0)	(18.0, 350.0)	(19.0, 817.0)	(20.0, 1753.0)	(21.0, 2660.0)	(22.0, 3419.0)	(23.0, 4493.0)	(24.0, 5823.0)	(25.0, 7277.0)	(26.0, 9152.0)	(27.0, 11462.0)	(28.0, 14515.0)	(29.0, 18512.0)	(30.0, 23415.0)	(31.0, 28859.0)	(32.0, 35396.0)	(33.0, 42844.0)	(34.0, 52838.0)	(35.0, 69814.0)	(36.0, 106294.0)	(37.0, 231245.0)	(38.0, 1143712.0)	(39.0, 1984385.0)	
SRR24630912_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 187.0)	(17.0, 279.0)	(18.0, 279.0)	(19.0, 281.0)	(20.0, 295.0)	(21.0, 377.0)	(22.0, 552.0)	(23.0, 1003.0)	(24.0, 1985.0)	(25.0, 3360.0)	(26.0, 4905.0)	(27.0, 6584.0)	(28.0, 8855.0)	(29.0, 11231.0)	(30.0, 14846.0)	(31.0, 19783.0)	(32.0, 26030.0)	(33.0, 34524.0)	(34.0, 46476.0)	(35.0, 63861.0)	(36.0, 96360.0)	(37.0, 182887.0)	(38.0, 781983.0)	(39.0, 2869761.0)												
SRR24630912_2	(2.0, 1676.0)	(3.0, 83.0)	(4.0, 73.0)	(5.0, 66.0)	(6.0, 58.0)	(7.0, 31.0)	(8.0, 55.0)	(9.0, 36.0)	(10.0, 37.0)	(11.0, 25.0)	(12.0, 27.0)	(13.0, 36.0)	(14.0, 33.0)	(15.0, 42.0)	(16.0, 480.0)	(17.0, 812.0)	(18.0, 591.0)	(19.0, 999.0)	(20.0, 1904.0)	(21.0, 2881.0)	(22.0, 3936.0)	(23.0, 5084.0)	(24.0, 6417.0)	(25.0, 8076.0)	(26.0, 10014.0)	(27.0, 12489.0)	(28.0, 15140.0)	(29.0, 19088.0)	(30.0, 23983.0)	(31.0, 29694.0)	(32.0, 36582.0)	(33.0, 45095.0)	(34.0, 56694.0)	(35.0, 75684.0)	(36.0, 116601.0)	(37.0, 260786.0)	(38.0, 1283438.0)	(39.0, 2157950.0)	
SRR24630913_1	(15.0, 13.0)	(16.0, 213.0)	(17.0, 344.0)	(18.0, 299.0)	(19.0, 382.0)	(20.0, 378.0)	(21.0, 458.0)	(22.0, 613.0)	(23.0, 1213.0)	(24.0, 2219.0)	(25.0, 3807.0)	(26.0, 5477.0)	(27.0, 7528.0)	(28.0, 10056.0)	(29.0, 13099.0)	(30.0, 17487.0)	(31.0, 22980.0)	(32.0, 30705.0)	(33.0, 40357.0)	(34.0, 54464.0)	(35.0, 74447.0)	(36.0, 110195.0)	(37.0, 207556.0)	(38.0, 865883.0)	(39.0, 3236919.0)														
SRR24630913_2	(2.0, 2057.0)	(3.0, 105.0)	(4.0, 102.0)	(5.0, 67.0)	(6.0, 58.0)	(7.0, 23.0)	(8.0, 50.0)	(9.0, 39.0)	(10.0, 37.0)	(11.0, 36.0)	(12.0, 48.0)	(13.0, 38.0)	(14.0, 41.0)	(15.0, 57.0)	(16.0, 337.0)	(17.0, 759.0)	(18.0, 680.0)	(19.0, 1065.0)	(20.0, 2235.0)	(21.0, 3234.0)	(22.0, 4195.0)	(23.0, 5464.0)	(24.0, 6758.0)	(25.0, 8748.0)	(26.0, 11048.0)	(27.0, 13719.0)	(28.0, 17627.0)	(29.0, 22157.0)	(30.0, 27782.0)	(31.0, 34554.0)	(32.0, 42376.0)	(33.0, 51583.0)	(34.0, 63650.0)	(35.0, 82823.0)	(36.0, 125672.0)	(37.0, 270904.0)	(38.0, 1355114.0)	(39.0, 2551850.0)	
