Sample	Unique Reads	Duplicate Reads
SRR24630893_1	2212897.0	1883378.0
SRR24630893_2	2280079.0	1816196.0
SRR24630894_1	2132424.0	1821173.0
SRR24630894_2	2200857.0	1752740.0
SRR24630896_1	2051568.0	1750107.0
SRR24630896_2	2125592.0	1676083.0
SRR24630912_1	2251137.0	1925559.0
SRR24630912_2	2355249.0	1821447.0
SRR24630913_1	2556633.0	2150459.0
SRR24630913_2	2689099.0	2017993.0
SRR24630914_1	2554551.0	2252066.0
SRR24630914_2	2688809.0	2117808.0
SRR24630931_1	7064267.0	14772612.0
SRR24630931_2	8608956.0	13227923.0
SRR24630932_1	5222738.0	8765930.0
SRR24630932_2	6378374.0	7610294.0
SRR24630933_1	6488200.0	12761610.0
SRR24630933_2	7965566.0	11284244.0
SRR24630947_1	1883571.0	1488346.0
SRR24630947_2	2007287.0	1364630.0
SRR24630948_1	2027349.0	1689281.0
SRR24630948_2	2146635.0	1569995.0
SRR24630949_1	1955006.0	1554616.0
SRR24630949_2	2062563.0	1447059.0
SRR24630967_1	4037314.0	3588157.0
SRR24630967_2	4683522.0	2941949.0
SRR24630968_1	4177064.0	3840685.0
SRR24630968_2	4984329.0	3033420.0
SRR24630969_1	3659127.0	3087651.0
SRR24630969_2	4251476.0	2495302.0
SRR24630977_1	6186634.0	11932584.0
SRR24630977_2	7515525.0	10603693.0
SRR24630978_1	6775426.0	14869655.0
SRR24630978_2	8199084.0	13445997.0
SRR24630979_1	5689518.0	9805018.0
SRR24630979_2	6685754.0	8808782.0
SRR25031738	598545.0	85796.0
SRR25031739	668156.0	94548.0
SRR25031740	659903.0	128339.0
