Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24630881_1	(1.0, 25.522671930479657)	(2.0, 10.30315146590818)	(3.0, 6.1303124272733305)	(4.0, 4.341152511192887)	(5.0, 3.2502065015293082)	(6.0, 2.638302343635288)	(7.0, 2.087402493965434)	(8.0, 1.8357201810587003)	(9.0, 1.6348737210814548)	('>10', 18.81774350913438)	('>50', 5.604299126128534)	('>100', 10.037801676517425)	('>500', 3.35601272920275)	('>1k', 3.8119469399192543)	('>5k', 0.4162478813317451)	('>10k+', 0.21215456164179902)
SRR24630881_2	(1.0, 32.25301820520073)	(2.0, 11.383507894693631)	(3.0, 6.580261633364519)	(4.0, 4.390065823275976)	(5.0, 3.1828580855538684)	(6.0, 2.47721082689785)	(7.0, 1.9942963944719294)	(8.0, 1.6198767256090578)	(9.0, 1.3499073548782836)	('>10', 15.72496574899602)	('>50', 4.673957648443379)	('>100', 8.626090929836696)	('>500', 2.718551084947763)	('>1k', 2.86415478140579)	('>5k', 0.16127686242437597)	('>10k+', 0.0)
SRR24630882_1	(1.0, 24.348497975063413)	(2.0, 10.265633179776062)	(3.0, 6.032146217777705)	(4.0, 4.356593715752051)	(5.0, 3.2274708171959015)	(6.0, 2.666118005892293)	(7.0, 2.226498558075441)	(8.0, 1.8652493205074543)	(9.0, 1.5954858491763046)	('>10', 19.132899272806767)	('>50', 5.775869964662746)	('>100', 10.279575635091177)	('>500', 3.385364308615408)	('>1k', 4.1451138070974265)	('>5k', 0.4793727654458498)	('>10k+', 0.21811060706411609)
SRR24630882_2	(1.0, 31.69019118406477)	(2.0, 11.226871974083712)	(3.0, 6.4330216362302695)	(4.0, 4.41012549994628)	(5.0, 3.219332300245159)	(6.0, 2.4421532503876726)	(7.0, 2.0350964595381713)	(8.0, 1.6967776244426362)	(9.0, 1.468637924583926)	('>10', 15.862706923619738)	('>50', 4.724584538542709)	('>100', 8.754466579014533)	('>500', 2.855009875405455)	('>1k', 2.9849956963784914)	('>5k', 0.19602853351646526)	('>10k+', 0.0)
SRR24630883_1	(1.0, 23.256779552152903)	(2.0, 10.02326646380736)	(3.0, 5.848621334368703)	(4.0, 3.9697656128434393)	(5.0, 2.9461426714409633)	(6.0, 2.2896725999431142)	(7.0, 1.8523096427991892)	(8.0, 1.5865548853488036)	(9.0, 1.4253166294792492)	('>10', 16.96258446390742)	('>50', 5.402107953664894)	('>100', 11.607191631030373)	('>500', 4.7374520687776265)	('>1k', 6.642237698984496)	('>5k', 1.1329012548489206)	('>10k+', 0.31709553660268075)
SRR24630883_2	(1.0, 31.110541040147723)	(2.0, 10.818589938886982)	(3.0, 5.920520188136143)	(4.0, 3.8579647115532625)	(5.0, 2.7456936857396546)	(6.0, 2.1329799847991953)	(7.0, 1.6638193883853187)	(8.0, 1.406949427533921)	(9.0, 1.1905196149272192)	('>10', 13.366293640518872)	('>50', 4.479390189842977)	('>100', 11.032029169768446)	('>500', 4.644521990571551)	('>1k', 5.109242149802079)	('>5k', 0.4349216997499621)	('>10k+', 0.08602317963672428)
SRR24630893_1	(1.0, 42.42361930800638)	(2.0, 12.42841542809284)	(3.0, 6.297809338514762)	(4.0, 3.9332867691187814)	(5.0, 2.803471208635523)	(6.0, 2.247860622850405)	(7.0, 1.7458133981387096)	(8.0, 1.4325107127839378)	(9.0, 1.2347197196128805)	('>10', 12.867664036259008)	('>50', 3.2529240325887416)	('>100', 6.282504525287393)	('>500', 1.8644734004583021)	('>1k', 1.1849274996523704)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630893_2	(1.0, 43.86145033318664)	(2.0, 12.952866683269528)	(3.0, 6.475732203943768)	(4.0, 3.9756192768545424)	(5.0, 2.78523086235945)	(6.0, 2.037706975895476)	(7.0, 1.6697232302924006)	(8.0, 1.320562343686941)	(9.0, 1.1849212019735167)	('>10', 11.952484181914757)	('>50', 3.0922776913771814)	('>100', 5.3273835581304905)	('>500', 2.032438656566008)	('>1k', 1.3316028005493117)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630894_1	(1.0, 42.61154029171287)	(2.0, 12.061466353943107)	(3.0, 6.170351676075658)	(4.0, 3.908603808246486)	(5.0, 2.754629446378059)	(6.0, 2.1629499164426207)	(7.0, 1.6841901705283597)	(8.0, 1.344599306651896)	(9.0, 1.2014182656099837)	('>10', 12.98133485405529)	('>50', 3.556042096824856)	('>100', 6.806631774467059)	('>500', 1.7249184408972238)	('>1k', 1.0313235981665638)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630894_2	(1.0, 44.36246132445207)	(2.0, 12.299705645900335)	(3.0, 6.125221428045304)	(4.0, 3.8433056195904265)	(5.0, 2.706639609796722)	(6.0, 2.002078976400056)	(7.0, 1.5588786263490912)	(8.0, 1.3309075777795645)	(9.0, 1.1394108325275372)	('>10', 12.306952265663798)	('>50', 3.6235142725996523)	('>100', 5.960682667799608)	('>500', 1.9403879368777046)	('>1k', 0.7998532162181369)	('>5k', 0.0)	('>10k+', 0.0)
