Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR24630881_1	63.24294723029785	44.0	151.0	151	27.27272727272727	14.583169
SRR24630881_2	56.09812294813186	44.0	151.0	151	27.27272727272727	14.583169
SRR24630882_1	64.42468558648378	44.0	151.0	151	20.0	15.721079
SRR24630882_2	56.742548381609566	44.0	151.0	151	20.0	15.721079
SRR24630883_1	66.13321709916383	45.0	151.0	151	30.0	15.933755999999999
SRR24630883_2	58.23327158271348	46.0	151.0	151	20.0	15.933755999999999
SRR24630893_1	45.977821398120476	43.0	101.0	101	10.0	4.0962749999999994
SRR24630893_2	44.337764955601735	44.0	101.0	101	10.0	4.0962749999999994
SRR24630894_1	46.06372297696907	43.0	101.0	101	10.0	3.953597
SRR24630894_2	44.3328096149477	44.0	101.0	101	10.0	3.953597
SRR24630896_1	46.03516153384445	43.0	101.0	101	10.0	3.801675
SRR24630896_2	44.088036925355134	44.0	101.0	101	10.0	3.801675
SRR24630912_1	46.10245112565624	43.0	101.0	101	10.0	4.176696
SRR24630912_2	43.60976078135958	43.0	101.0	101	10.0	4.176696
SRR24630913_1	45.68552957127401	43.0	101.0	101	10.0	4.707091999999999
SRR24630913_2	42.871347470461686	43.0	101.0	101	10.0	4.707091999999999
SRR24630914_1	46.853461335456316	43.0	101.0	101	10.0	4.806617
SRR24630914_2	44.06026861346396	43.0	101.0	101	10.0	4.806617
SRR24630931_1	67.64983636357152	44.0	151.0	151	30.0	21.836879
SRR24630931_2	60.57607159492463	44.0	151.0	151	30.0	21.836879
SRR24630932_1	62.66450923161616	44.0	151.0	151	20.0	13.988667999999999
SRR24630932_2	54.40328475724898	45.0	151.0	151	20.0	13.988667999999999
SRR24630933_1	66.29473248919746	44.0	151.0	151	20.0	19.24981
SRR24630933_2	58.62003112714469	44.0	151.0	151	20.0	19.24981
SRR24630947_1	44.139477577102625	43.0	151.0	151	20.0	3.371917
SRR24630947_2	40.4704537492784	43.0	151.0	151	20.0	3.371917
SRR24630948_1	45.4519694236298	43.0	151.0	151	20.0	3.71663
SRR24630948_2	42.242455426350524	44.0	151.0	151	20.0	3.71663
SRR24630949_1	44.29584098538335	44.0	151.0	151	20.0	3.509622
SRR24630949_2	41.2312108764602	44.0	151.0	151	20.0	3.509622
SRR24630967_1	47.05489110288351	42.0	151.0	151	20.0	7.625470999999999
SRR24630967_2	38.58055691576078	42.0	151.0	151	20.0	7.625470999999999
SRR24630968_1	47.9022928997322	42.0	151.0	151	20.0	8.017749
SRR24630968_2	37.83382114981728	42.0	151.0	151	20.0	8.017749
SRR24630969_1	45.76483501885645	42.0	151.0	151	20.0	6.746778
SRR24630969_2	36.985093626887014	42.0	151.0	151	20.0	6.746778
SRR24630977_1	65.85595917291565	44.0	151.0	151	27.27272727272727	18.119218
SRR24630977_2	58.521804912636696	44.0	151.0	151	27.27272727272727	18.119218
SRR24630978_1	68.69761831241833	44.0	151.0	151	27.27272727272727	21.645080999999998
SRR24630978_2	62.120337186785825	45.0	151.0	151	27.27272727272727	21.645080999999998
SRR24630979_1	63.28049149801186	44.0	151.0	151	18.181818181818183	15.494536
SRR24630979_2	56.85089870021924	44.0	151.0	151	18.181818181818183	15.494536
SRR25031738	12.537036938623075	43.0	101.0	101	18.181818181818183	0.684341
SRR25031739	12.396493395689475	43.0	101.0	101	18.181818181818183	0.7627039999999999
SRR25031740	16.28172580757969	42.0	101.0	101	18.181818181818183	0.788242
