transcript_id,SRR24630900,SRR24630901,SRR24630902,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955
CaT2T08g00035-mRNA,5,7,6,2,13,10,3,10,3
CaT2T10g00403-mRNA,0,4,0,10,0,0,0,4,0
CaT2T01g03718-mRNA,26,25,33,36,47,46,38,30,23
CaT2T04g02839-mRNA,119,146,134,205,234,186,241,166,236
CaT2T10g02091-mRNA,29,46,64,219,145,95,137,248,239
CaT2T05g01206-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g03005-mRNA,27,30,62,38,33,35,31,22,24
CaT2T01g00683-mRNA,14,13,58,0,16,12,20,7,0
CaT2T01g05585-mRNA,398,542,529,835,840,829,1062,732,653
CaT2T12g00886-mRNA,14,18,27,6,9,17,12,23,8
CaT2T12g03865-mRNA,126,105,146,218,270,262,189,153,213
CaT2T04g02901-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g00946-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g02503-mRNA,0,11,0,0,8,18,6,0,7
CaT2T04g02395-mRNA,29,15,23,3,28,27,23,3,9
CaT2T02g00702-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g01357-mRNA,12,0,13,11,0,17,6,14,0
CaT2T01g03245-mRNA,760,843,913,1232,1303,1321,1079,1063,992
CaT2T05g02064-mRNA,3,3,0,6,5,5,7,9,0
CaT2T09g00243-mRNA,6,3,9,14,10,8,8,5,4
CaT2T11g00442-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04940-mRNA,123,106,90,165,183,187,188,182,124
CaT2T06g03613-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g00944-mRNA,24,17,39,64,53,49,68,49,50
CaT2T05g01828-mRNA,31,24,18,19,34,66,27,44,12
CaT2T03g00058-mRNA,182,163,199,170,259,248,278,217,192
CaT2T09g02558-mRNA,7,5,9,3,4,8,4,3,0
CaT2T08g01349-mRNA,0,5,3,0,0,0,0,0,0
CaT2T06g03400-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02897-mRNA,0,0,0,0,6,16,15,8,0
CaT2T12g01984-mRNA,9,0,4,0,26,12,0,0,0
CaT2T05g01883-mRNA,368,313,441,690,644,647,516,559,439
CaT2T12g02616-mRNA,0,0,0,2,0,0,0,0,0
CaT2T04g02504-mRNA,24,25,27,48,42,37,43,36,37
CaT2T11g03329-mRNA,0,6,0,5,6,6,1,0,0
CaT2T07g03207-mRNA,312,451,457,502,640,542,533,608,579
CaT2T01g01319-mRNA,188,211,226,406,336,348,283,335,286
CaT2T04g02789-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g02612-mRNA,18,7,12,12,16,0,8,5,7
CaT2T05g01415-mRNA,222,245,253,529,431,398,392,389,393
CaT2T11g00501-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00193-mRNA,0,0,0,15,0,0,0,15,11
CaT2T09g01292-mRNA,2,9,5,9,13,7,8,0,2
CaT2T09g02288-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g00104-mRNA,24,14,19,39,45,23,29,22,23
CaT2T05g02940-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04194-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01665-mRNA,5,7,7,16,0,0,15,24,11
CaT2T10g00051-mRNA,47,33,41,32,54,57,43,25,51
CaT2T05g01881-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g02984-mRNA,50,64,45,86,122,160,155,73,38
CaT2T03g00702-mRNA,0,0,0,0,0,0,2,3,0
CaT2T02g02365-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01900-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g03438-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01268-mRNA,227,266,266,140,378,378,411,184,134
CaT2T11g00064-mRNA,3,0,0,4,6,5,0,11,6
CaT2T06g01473-mRNA,216,346,215,505,442,405,543,318,334
CaT2T07g02308-mRNA,38,30,22,0,28,88,52,0,0
CaT2T11g02344-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g02131-mRNA,10,19,12,17,26,18,17,14,17
CaT2T01g04463-mRNA,73,70,76,90,117,88,73,39,65
CaT2T10g00611-mRNA,1401,1931,1651,892,1156,1536,1340,913,828
CaT2T01g02873-mRNA,10,0,11,5,0,5,0,0,0
CaT2T07g00713-mRNA,876,1348,1292,1259,1604,1692,1791,1357,1337
CaT2T01g03407-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00797-mRNA,245,420,360,945,751,680,717,816,765
CaT2T04g01480-mRNA,107,94,123,142,168,108,154,169,185
CaT2T10g01143-mRNA,24,28,28,67,37,31,18,26,42
CaT2T11g00542-mRNA,2,2,1,3,3,2,0,3,6
CaT2T05g02875-mRNA,1,1,0,0,0,2,2,1,1
CaT2T05g01999-mRNA,12,13,0,26,9,0,6,42,26
CaT2T01g04218-mRNA,169,332,214,1163,1229,964,1248,1125,1099
CaT2T02g03789-mRNA,0,0,3,0,0,0,0,0,0
CaT2T12g00055-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02662-mRNA,5,6,18,20,17,23,32,7,17
CaT2T02g00498-mRNA,10,30,28,57,43,32,26,36,39
CaT2T10g00285-mRNA,496,559,624,449,369,474,430,284,317
CaT2T12g02262-mRNA,61,60,43,114,106,84,75,42,58
CaT2T09g00057-mRNA,14,15,19,0,28,27,27,0,0
CaT2T06g00922-mRNA,333,378,644,340,505,416,394,285,364
CaT2T12g01303-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g03701-mRNA,38,20,74,56,101,66,50,39,52
CaT2T04g01050-mRNA,36,90,59,88,109,104,77,79,102
CaT2T01g04407-mRNA,60,49,127,49,85,91,86,35,57
CaT2T11g02258-mRNA,0,0,0,0,2,0,0,0,1
CaT2T07g01896-mRNA,33,52,41,43,57,80,42,44,53
CaT2T01g00329-mRNA,36,38,78,165,186,146,99,144,160
CaT2T03g01001-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g00371-mRNA,94,117,143,87,152,193,124,66,97
CaT2T02g00946-mRNA,0,0,0,0,0,0,0,1,0
CaT2T06g03541-mRNA,311,442,451,452,568,576,524,433,371
CaT2T04g00200-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02141-mRNA,196,170,157,111,185,174,211,93,91
CaT2T03g02531-mRNA,22,18,38,38,21,20,30,32,27
CaT2T06g03291-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g00196-mRNA,98,109,125,93,125,154,133,92,58
CaT2T01g05412-mRNA,0,0,0,3,3,0,0,0,0
CaT2T12g00828-mRNA,0,0,0,0,0,0,0,3,0
CaT2T01g04040-mRNA,33,32,20,37,40,32,17,32,43
CaT2T10g00717-mRNA,6578,6212,7793,2356,4927,6201,5494,1883,1836
CaT2T01g00207-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g02751-mRNA,318,321,458,903,717,699,770,666,621
CaT2T02g03028-mRNA,201,298,242,484,461,398,343,349,276
CaT2T09g00460-mRNA,201,215,263,356,339,355,331,243,244
CaT2T07g00338-mRNA,182,173,167,139,184,209,218,139,125
CaT2T12g01198-mRNA,4,0,2,6,3,5,4,3,7
CaT2T09g01563-mRNA,104,122,98,166,146,153,164,215,135
CaT2T07g00187-mRNA,8,11,7,24,15,17,12,6,11
CaT2T10g00316-mRNA,0,0,0,0,0,0,0,2,0
CaT2T01g01395-mRNA,0,0,0,0,3,0,0,0,0
CaT2T07g00660-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g01435-mRNA,11,25,16,10,26,15,13,22,17
CaT2T10g03017-mRNA,11,13,8,8,14,9,0,11,0
CaT2T04g02121-mRNA,172,195,209,255,289,229,269,239,226
CaT2T11g00168-mRNA,0,0,8,2,0,5,4,0,0
CaT2T03g01722-mRNA,21,16,39,49,85,71,89,48,42
CaT2T12g02113-mRNA,261,233,288,459,378,359,389,274,328
CaT2T10g02785-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g00634-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g02332-mRNA,27,34,32,42,28,50,41,53,30
CaT2T01g00039-mRNA,90,135,117,152,193,233,172,126,106
CaT2T02g03756-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g04213-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g00666-mRNA,111,161,182,75,176,189,173,66,56
CaT2T09g03102-mRNA,102,64,85,96,98,71,68,49,24
CaT2T12g03644-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g00185-mRNA,33,42,52,57,74,64,66,55,60
CaT2T12g01882-mRNA,94,73,122,101,80,94,90,118,100
CaT2T10g01090-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g00879-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g01134-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g00530-mRNA,123,85,174,245,254,178,183,140,163
CaT2T01g01007-mRNA,16589,19013,18259,14353,16061,21880,18194,14516,14076
CaT2T08g02901-mRNA,8,5,0,11,5,11,12,30,0
CaT2T02g02800-mRNA,53,70,80,179,191,126,131,108,89
CaT2T01g00667-mRNA,0,0,0,22,8,8,0,0,3
CaT2T09g02596-mRNA,62,37,39,7,12,18,22,10,7
CaT2T04g00389-mRNA,21,28,30,69,43,51,79,45,48
CaT2T10g00305-mRNA,147,129,149,64,144,184,152,52,71
CaT2T04g02840-mRNA,201,211,220,526,533,344,327,363,383
CaT2T08g02813-mRNA,2193,2611,2913,2196,3165,3284,3182,2041,1949
CaT2T09g02468-mRNA,7,10,6,22,17,11,10,22,13
CaT2T11g01351-mRNA,15,19,22,34,37,28,27,67,29
CaT2T06g00127-mRNA,31,18,17,25,13,17,20,7,9
CaT2T03g02896-mRNA,87,75,54,60,101,112,109,62,77
CaT2T04g01820-mRNA,0,4,4,9,0,0,0,5,6
CaT2T07g00831-mRNA,0,16,0,21,20,24,29,13,11
CaT2T08g00341-mRNA,644,799,959,811,988,1068,1076,739,752
CaT2T09g03015-mRNA,12,5,14,0,0,15,7,0,3
CaT2T03g04606-mRNA,0,0,0,0,0,0,0,2,5
CaT2T12g03629-mRNA,0,0,2,0,0,0,0,0,0
CaT2T06g02032-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00707-mRNA,9,14,0,21,5,0,0,19,15
CaT2T10g01934-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g03251-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02248-mRNA,0,0,0,15,3,2,3,0,4
CaT2T07g02828-mRNA,23,34,36,225,92,38,90,91,125
CaT2T03g00259-mRNA,541,556,579,610,899,830,841,570,471
CaT2T02g01913-mRNA,851,842,1068,1928,1101,1164,1199,1175,1311
CaT2T03g00797-mRNA,304,371,482,472,323,415,426,293,284
CaT2T11g00030-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g00530-mRNA,639,860,745,636,936,1025,1009,814,645
CaT2T03g03160-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g02530-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g02059-mRNA,153,163,137,727,362,297,379,552,468
CaT2T08g02696-mRNA,490,285,448,400,418,542,419,350,379
CaT2T05g01368-mRNA,7,6,6,18,11,9,5,4,14
CaT2T06g00761-mRNA,171,157,195,548,324,268,246,469,425
CaT2T06g02971-mRNA,36,36,27,54,66,54,68,37,25
CaT2T03g03287-mRNA,3,0,0,0,2,3,4,4,3
CaT2T05g01569-mRNA,16,4,13,12,17,11,14,12,10
CaT2T11g00578-mRNA,24,35,33,42,91,42,51,23,30
CaT2T11g01424-mRNA,7,13,0,18,11,12,27,19,0
CaT2T09g02164-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g01524-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g00505-mRNA,1520,1394,1449,610,1504,2005,1545,482,568
CaT2T02g00301-mRNA,0,0,2,24,0,5,6,10,0
CaT2T10g01929-mRNA,0,0,6,4,2,3,3,0,2
CaT2T08g02694-mRNA,38,37,33,142,85,87,78,97,107
CaT2T12g00646-mRNA,13,29,30,44,22,23,20,22,44
CaT2T06g00477-mRNA,134,106,164,768,226,193,184,580,647
CaT2T06g03162-mRNA,0,0,0,757,0,0,0,1114,1087
CaT2T08g01514-mRNA,0,0,3,0,0,2,0,0,0
CaT2T05g00114-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g05606-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g00173-mRNA,92,102,120,103,158,138,120,108,67
CaT2T01g01604-mRNA,140,182,176,222,248,233,200,244,204
CaT2T07g01606-mRNA,22,16,23,72,18,40,38,51,60
CaT2T06g03483-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01230-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g00669-mRNA,2257,2666,3016,2394,3091,3139,2844,2187,2310
CaT2T01g01701-mRNA,38,43,52,166,119,72,50,142,104
CaT2T11g02414-mRNA,3,3,1,0,1,2,0,2,0
CaT2T05g01376-mRNA,46,45,87,101,133,111,110,84,80
CaT2T01g04573-mRNA,0,6,3,0,29,12,40,3,0
CaT2T08g00195-mRNA,194,210,158,168,235,324,274,188,172
CaT2T08g00117-mRNA,104,67,127,213,165,162,111,205,144
CaT2T06g02039-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g00958-mRNA,7,27,21,25,25,23,27,0,10
CaT2T11g03470-mRNA,8,0,5,194,10,10,4,43,62
CaT2T12g03636-mRNA,3,2,2,0,3,7,0,0,0
CaT2T06g01513-mRNA,86,78,70,222,128,125,165,244,226
CaT2T10g02902-mRNA,5,6,0,0,8,8,0,0,0
CaT2T05g02898-mRNA,0,0,0,21,0,0,0,0,0
CaT2T11g02230-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g04492-mRNA,0,0,0,0,0,3,0,0,0
CaT2T12g02071-mRNA,0,0,22,0,0,49,65,0,0
CaT2T01g04774-mRNA,24,14,27,43,34,36,26,18,33
CaT2T03g00836-mRNA,27,55,56,206,72,64,53,95,76
CaT2T02g02861-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g00198-mRNA,87,88,81,51,135,160,172,44,49
CaT2T07g03226-mRNA,107,111,136,141,198,146,156,107,101
CaT2T12g01827-mRNA,316,418,441,520,629,546,447,567,498
CaT2T06g03435-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00269-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g00154-mRNA,51,61,56,37,53,100,71,12,42
CaT2T05g01156-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g00475-mRNA,17,16,23,66,56,35,28,36,50
CaT2T05g01525-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04020-mRNA,15,23,42,13,11,24,15,18,8
CaT2T03g02818-mRNA,154,168,187,138,231,225,190,132,176
CaT2T06g00064-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g00301-mRNA,171,146,243,250,333,341,249,182,180
CaT2T02g03797-mRNA,288,360,326,438,544,520,550,418,326
CaT2T10g00650-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g02966-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g01076-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g04023-mRNA,33,19,28,32,41,24,21,16,29
CaT2T01g00102-mRNA,17,0,5,27,36,18,37,6,20
CaT2T02g03626-mRNA,0,0,0,0,0,5,0,0,2
CaT2T09g01334-mRNA,36,79,41,165,107,102,81,108,121
CaT2T08g01669-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g01163-mRNA,275,235,227,160,147,311,167,89,149
CaT2T02g00143-mRNA,76,132,122,252,212,217,139,134,221
CaT2T02g03040-mRNA,578,1075,682,1451,1559,1670,1956,1152,1036
CaT2T01g03288-mRNA,4646,5072,4588,4425,4616,5893,5163,4491,4277
CaT2T03g01908-mRNA,222,432,207,1258,581,514,583,1051,917
CaT2T01g01281-mRNA,19,8,28,21,36,31,17,34,34
